cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009968,C0450254,NEG_PART_OF,copper,Pathogenic organism,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
C0012854,C0314732,NEG_PART_OF,DNA,Infectious agent,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
C0012854,C0445623,NEG_PART_OF,DNA,Microorganism,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
C0030054,C0445623,NEG_PART_OF,oxygen,Microorganism,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
C0034304,C0445623,NEG_PART_OF,Pyrogens,Microorganism,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
C0040549,C0450254,NEG_PART_OF,Toxin,Pathogenic organism,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
C0040549,C0599383,NEG_PART_OF,Toxin,Marine Organisms,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
C0142281,C0445623,NEG_PART_OF,Siderophores,Microorganism,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
C0178555,C0445623,NEG_PART_OF,chemical cofactor,Microorganism,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
C0242494,C0686817,NEG_PART_OF,Poly(A) Tail,Prokaryote,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
C0599589,C0686817,NEG_PART_OF,uridylate,Prokaryote,bacs,orgm,2,NEG_PART_OF_BACSnprtfORGM
C1136170,C0445623,NEG_PART_OF,Virulence Factors,Microorganism,bacs,orgm,2,NEG_PART_OF_BACSnprtfORGM
C1136170,C0450254,NEG_PART_OF,Virulence Factors,Pathogenic organism,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
C1173482,C0445623,NEG_PART_OF,dragmacidin D,Microorganism,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
C1764827,C0450254,NEG_PART_OF,Isolate - microorganism,Pathogenic organism,bacs,orgm,2,NEG_PART_OF_BACSnprtfORGM
C4742555,C0450254,NEG_PART_OF,sophorolipid,Pathogenic organism,bacs,orgm,1,NEG_PART_OF_BACSnprtfORGM
