cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004461,C0010834,NEG_PART_OF,Axon,Cytoplasm,celc,celc,2,NEG_PART_OF_CELCnprtfCELC
C0004461,C0026973,NEG_PART_OF,Axon,Myelin Sheath,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0007603,C0007637,NEG_PART_OF,Plasma membrane,Inclusion Bodies,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0007603,C0010851,NEG_PART_OF,Plasma membrane,Cytoskeletal Filaments,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0007603,C1511625,NEG_PART_OF,Plasma membrane,Cytoplasmic Domain,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0007623,C0029219,NEG_PART_OF,Cell Wall,Organelles,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0007623,C0596901,NEG_PART_OF,Cell Wall,Membrane,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0007637,C0596901,NEG_PART_OF,Inclusion Bodies,Membrane,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0008778,C3536735,NEG_PART_OF,Cilia,Basal Bodies,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0010834,C0014776,NEG_PART_OF,Cytoplasm,Red Cell Ghost,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0010834,C0024369,NEG_PART_OF,Cytoplasm,Lysosomes,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0010834,C0029219,NEG_PART_OF,Cytoplasm,Organelles,celc,celc,5,NEG_PART_OF_CELCnprtfCELC
C0010834,C1325742,NEG_PART_OF,Cytoplasm,Pore,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0014239,C2350332,NEG_PART_OF,Endoplasmic Reticulum,Exosomes,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0014776,C1622204,NEG_PART_OF,Red Cell Ghost,envelope,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0023768,C0042760,NEG_PART_OF,Lipid Bilayers,Virion,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0026049,C1167182,NEG_PART_OF,Microvilli,Apical plasma membrane,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0026237,C1167331,NEG_PART_OF,Mitochondria,outer membrane,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0026973,C0004461,NEG_PART_OF,Myelin Sheath,Axon,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0027749,C1179490,NEG_PART_OF,Nerve Fibers,Cleft of Schmidt-Lanterman,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0028584,C0010834,NEG_PART_OF,Nuclear Envelope,Cytoplasm,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0028587,C0035553,NEG_PART_OF,Nuclear Pore,Ribosomes,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0029219,C0010834,NEG_PART_OF,Organelles,Cytoplasm,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0029219,C0230625,NEG_PART_OF,Organelles,cell process structure,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0029219,C3548412,NEG_PART_OF,Organelles,astrocyte projection,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0034850,C0887884,NEG_PART_OF,Endosomes,Cytoplasmic Vesicles,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0035553,C0230779,NEG_PART_OF,Ribosomes,Rough endoplasmic reticulum,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0042760,C0026237,NEG_PART_OF,Virion,Mitochondria,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0042760,C0029219,NEG_PART_OF,Virion,Organelles,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0042760,C0035553,NEG_PART_OF,Virion,Ribosomes,celc,celc,2,NEG_PART_OF_CELCnprtfCELC
C0042760,C0230763,NEG_PART_OF,Virion,GERL,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0042760,C0596901,NEG_PART_OF,Virion,Membrane,celc,celc,2,NEG_PART_OF_CELCnprtfCELC
C0042760,C1622204,NEG_PART_OF,Virion,envelope,celc,celc,2,NEG_PART_OF_CELCnprtfCELC
C0042760,C5197820,NEG_PART_OF,Virion,Occlusion-Derived Virion,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0175996,C1749467,NEG_PART_OF,Protoplasm,soluble,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0333785,C0230695,NEG_PART_OF,Virus-like particles,"Lamellated granule, as in surfactant-secreting cell",celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0521119,C0175996,NEG_PART_OF,Extracellular,Protoplasm,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0525009,C1167331,NEG_PART_OF,periplasm,outer membrane,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0596901,C0007603,NEG_PART_OF,Membrane,Plasma membrane,celc,celc,2,NEG_PART_OF_CELCnprtfCELC
C0596901,C0007610,NEG_PART_OF,Membrane,Cell Nucleus,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0598099,C0010834,NEG_PART_OF,cell envelope,Cytoplasm,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0887880,C0014239,NEG_PART_OF,Cytoplasmic Structures,Endoplasmic Reticulum,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0887880,C0024369,NEG_PART_OF,Cytoplasmic Structures,Lysosomes,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C0887880,C0034850,NEG_PART_OF,Cytoplasmic Structures,Endosomes,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C1167109,C0230595,NEG_PART_OF,paraspeckles,Intranuclear body,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
C1167322,C0596901,NEG_PART_OF,integral to membrane,Membrane,celc,celc,1,NEG_PART_OF_CELCnprtfCELC
