cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004461,C0027836,NEG_PART_OF,Axon,Neuroglia,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0007603,C0014597,NEG_PART_OF,Plasma membrane,Epithelial Cells,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0007603,C1711178,NEG_PART_OF,Plasma membrane,Bronchial Epithelial Cell,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0007623,C0033731,NEG_PART_OF,Cell Wall,Protoplasts,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0007623,C1512977,NEG_PART_OF,Cell Wall,Mammalian Cell,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0007637,C0017526,NEG_PART_OF,Inclusion Bodies,Giant Cells,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0007637,C0225700,NEG_PART_OF,Inclusion Bodies,Type-II Pneumocytes,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0008778,C0014597,NEG_PART_OF,Cilia,Epithelial Cells,celc,cell,2,NEG_PART_OF_CELCnprtfCELL
C0008778,C0599757,NEG_PART_OF,Cilia,Microfold cell,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0008778,C1711178,NEG_PART_OF,Cilia,Bronchial Epithelial Cell,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0010834,C0376702,NEG_PART_OF,Cytoplasm,COS Cells,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0011305,C0027836,NEG_PART_OF,Dendrites,Neuroglia,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0026049,C0014597,NEG_PART_OF,Microvilli,Epithelial Cells,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0042219,C0022801,NEG_PART_OF,Vacuole,Hepatic macrophage,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0042219,C0227525,NEG_PART_OF,Vacuole,Hepatocyte,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0042760,C0014597,NEG_PART_OF,Virion,Epithelial Cells,celc,cell,2,NEG_PART_OF_CELCnprtfCELL
C0042760,C0024432,NEG_PART_OF,Virion,macrophage,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0061622,C0506994,NEG_PART_OF,Glycocalyx,Goblet Cells,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0230779,C0022827,NEG_PART_OF,Rough endoplasmic reticulum,L Cells,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0242607,C3178867,NEG_PART_OF,Microtubule-Organizing Center,Plant Cells,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0596119,C0682542,NEG_PART_OF,apical membrane,ciliated cell,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0699040,C0014597,NEG_PART_OF,Cell surface,Epithelial Cells,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0752063,C0227525,NEG_PART_OF,peroxisome,Hepatocyte,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0806591,C2708700,NEG_PART_OF,lamellar bodies,Immature cells,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0886515,C1179186,NEG_PART_OF,Secretory Vesicles,Serous cell,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C0887838,C2717940,NEG_PART_OF,trans-Golgi Network,Hep G2 Cells,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C1167208,C0682610,NEG_PART_OF,Basolateral plasma membrane,Enterocytes,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C1167322,C0085080,NEG_PART_OF,integral to membrane,Chinese Hamster Ovary Cell,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C1318418,C0599757,NEG_PART_OF,Brush Border,Microfold cell,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C1325691,C1257912,NEG_PART_OF,HOPS complex,Haploid Cell,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C1511625,C0085080,NEG_PART_OF,Cytoplasmic Domain,Chinese Hamster Ovary Cell,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C1511625,C0376702,NEG_PART_OF,Cytoplasmic Domain,COS Cells,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C1511625,C0444746,NEG_PART_OF,Cytoplasmic Domain,Endocyte,celc,cell,2,NEG_PART_OF_CELCnprtfCELL
C1518439,C0014597,NEG_PART_OF,Nuclear Structure,Epithelial Cells,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C1518439,C1711178,NEG_PART_OF,Nuclear Structure,Bronchial Epithelial Cell,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C1523873,C0024432,NEG_PART_OF,receptor complex,macrophage,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C1749467,C0023005,NEG_PART_OF,soluble,Langerhans cell,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C1819995,C0031307,NEG_PART_OF,Host Cell,Phagocytes,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C3548420,C0027882,NEG_PART_OF,apical dendrite,Neurons,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
C3887595,C3641721,NEG_PART_OF,Autophagosome,Naive T-Lymphocyte,celc,cell,1,NEG_PART_OF_CELCnprtfCELL
