cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0033147,NEG_PART_OF,Immunologic Adjuvants,Primates,imft,mamm,1,NEG_PART_OF_IMFTnprtfMAMM
C0001551,C0036945,NEG_PART_OF,Immunologic Adjuvants,Sheep,imft,mamm,1,NEG_PART_OF_IMFTnprtfMAMM
C0003316,C0024399,NEG_PART_OF,Epitopes,Macaca fascicularis,imft,mamm,1,NEG_PART_OF_IMFTnprtfMAMM
C0003316,C0024400,NEG_PART_OF,Epitopes,Macaca mulatta,imft,mamm,1,NEG_PART_OF_IMFTnprtfMAMM
C0003316,C0026447,NEG_PART_OF,Epitopes,Monkeys,imft,mamm,2,NEG_PART_OF_IMFTnprtfMAMM
C0003316,C0026809,NEG_PART_OF,Epitopes,Mus,imft,mamm,5,NEG_PART_OF_IMFTnprtfMAMM
C0003316,C0030362,NEG_PART_OF,Epitopes,Papio,imft,mamm,1,NEG_PART_OF_IMFTnprtfMAMM
C0003316,C0032636,NEG_PART_OF,Epitopes,Pongidae,imft,mamm,4,NEG_PART_OF_IMFTnprtfMAMM
C0003316,C0033147,NEG_PART_OF,Epitopes,Primates,imft,mamm,8,NEG_PART_OF_IMFTnprtfMAMM
C0003316,C0039005,NEG_PART_OF,Epitopes,Family suidae,imft,mamm,1,NEG_PART_OF_IMFTnprtfMAMM
C0003320,C0007450,NEG_PART_OF,Antigens,Felis catus,imft,mamm,6,NEG_PART_OF_IMFTnprtfMAMM
C0003320,C0012984,NEG_PART_OF,Antigens,Canis familiaris,imft,mamm,1,NEG_PART_OF_IMFTnprtfMAMM
C0003320,C0025919,NEG_PART_OF,Antigens,"Mice, Inbred BALB C",imft,mamm,2,NEG_PART_OF_IMFTnprtfMAMM
C0003320,C0026809,NEG_PART_OF,Antigens,Mus,imft,mamm,2,NEG_PART_OF_IMFTnprtfMAMM
C0003320,C0039005,NEG_PART_OF,Antigens,Family suidae,imft,mamm,2,NEG_PART_OF_IMFTnprtfMAMM
C0003320,C1135183,NEG_PART_OF,Antigens,Sus scrofa,imft,mamm,1,NEG_PART_OF_IMFTnprtfMAMM
C0003342,C0026809,NEG_PART_OF,"Antigens, Viral",Mus,imft,mamm,1,NEG_PART_OF_IMFTnprtfMAMM
C1328238,C0026809,NEG_PART_OF,ING-1,Mus,imft,mamm,1,NEG_PART_OF_IMFTnprtfMAMM
C2825347,C0025914,NEG_PART_OF,"immunoglobulin A, human",House mice,imft,mamm,1,NEG_PART_OF_IMFTnprtfMAMM
