cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005758,C1510818,NEG_PROCESS_OF,Bulla,Advanced Practice Nurse,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0005911,C0043210,NEG_PROCESS_OF,Body Weight Changes,Woman,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0009488,C0013018,NEG_PROCESS_OF,Comorbidity,Donor person,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0009488,C0025266,NEG_PROCESS_OF,Comorbidity,Male population group,fndg,humn,4,NEG_PROCESS_OF_FNDGnprcfHUMN
C0009488,C0028661,NEG_PROCESS_OF,Comorbidity,Nurses,fndg,humn,3,NEG_PROCESS_OF_FNDGnprcfHUMN
C0009488,C0033011,NEG_PROCESS_OF,Comorbidity,Pregnant Women,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0009488,C0043210,NEG_PROCESS_OF,Comorbidity,Woman,fndg,humn,5,NEG_PROCESS_OF_FNDGnprcfHUMN
C0009488,C0206194,NEG_PROCESS_OF,Comorbidity,Survivors,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0009488,C0282122,NEG_PROCESS_OF,Comorbidity,Respondents,fndg,humn,2,NEG_PROCESS_OF_FNDGnprcfHUMN
C0009488,C0870668,NEG_PROCESS_OF,Comorbidity,hospitalized patients,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0009488,C0871685,NEG_PROCESS_OF,Comorbidity,Clinician,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0009488,C1708335,NEG_PROCESS_OF,Comorbidity,Healthy Volunteers,fndg,humn,2,NEG_PROCESS_OF_FNDGnprcfHUMN
C0009488,C1709854,NEG_PROCESS_OF,Comorbidity,Recipient,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0016815,C2348001,NEG_PROCESS_OF,Functional Residual Capacity,Age Cohort,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0018748,C0001792,NEG_PROCESS_OF,Health Services Accessibility,Elderly (population group),fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0018748,C0026092,NEG_PROCESS_OF,Health Services Accessibility,Migrant Workers,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0018748,C2983714,NEG_PROCESS_OF,Health Services Accessibility,US Citizen,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0018748,C3812881,NEG_PROCESS_OF,Health Services Accessibility,Author,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0023974,C0018724,NEG_PROCESS_OF,Loneliness,Health Personnel,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0023974,C0043210,NEG_PROCESS_OF,Loneliness,Woman,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0023974,C0679739,NEG_PROCESS_OF,Loneliness,Peer,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0024032,C0043210,NEG_PROCESS_OF,Low Birth Weights,Woman,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0024841,C3887537,NEG_PROCESS_OF,"Marriage, life event",Partner,fndg,humn,2,NEG_PROCESS_OF_FNDGnprcfHUMN
C0030318,C0038492,NEG_PROCESS_OF,Panic,student,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0033213,C0025266,NEG_PROCESS_OF,Problem,Male population group,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0033213,C0028661,NEG_PROCESS_OF,Problem,Nurses,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0033213,C0031228,NEG_PROCESS_OF,Problem,"Personnel, Hospital",fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0033213,C0031831,NEG_PROCESS_OF,Problem,Physicians,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0033213,C0162592,NEG_PROCESS_OF,Problem,Public Domain,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0033213,C0851286,NEG_PROCESS_OF,Problem,Staff,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0033213,C1709854,NEG_PROCESS_OF,Problem,Recipient,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0033687,C0034510,NEG_PROCESS_OF,Proteinuria,Racial group,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0035648,C0013018,NEG_PROCESS_OF,risk factors,Donor person,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0035648,C0025266,NEG_PROCESS_OF,risk factors,Male population group,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0035648,C0043210,NEG_PROCESS_OF,risk factors,Woman,fndg,humn,7,NEG_PROCESS_OF_FNDGnprcfHUMN
C0035648,C0450048,NEG_PROCESS_OF,risk factors,Passenger,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0035648,C1999167,NEG_PROCESS_OF,risk factors,Old age,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0037420,C0038492,NEG_PROCESS_OF,Social Interaction,student,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0037420,C0679739,NEG_PROCESS_OF,Social Interaction,Peer,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0037420,C0871683,NEG_PROCESS_OF,Social Interaction,Classmate,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0038002,C3812881,NEG_PROCESS_OF,Splenomegaly,Author,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0038187,C3826770,NEG_PROCESS_OF,Starvation,Older people,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0038435,C0025106,NEG_PROCESS_OF,Stress,Medical Staff,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0038435,C0028661,NEG_PROCESS_OF,Stress,Nurses,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0038435,C0085098,NEG_PROCESS_OF,Stress,Police,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0038435,C0684030,NEG_PROCESS_OF,Stress,high-risk group,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0038435,C0741926,NEG_PROCESS_OF,Stress,cardiac patient,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0041674,C0022866,NEG_PROCESS_OF,Unemployment,Labor Force,fndg,humn,3,NEG_PROCESS_OF_FNDGnprcfHUMN
C0043094,C4761454,NEG_PROCESS_OF,Weight Gain,Gaoshan Chinese,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0080048,C0031831,NEG_PROCESS_OF,Privacy,Physicians,fndg,humn,2,NEG_PROCESS_OF_FNDGnprcfHUMN
C0080048,C1706077,NEG_PROCESS_OF,Privacy,user - individual,fndg,humn,3,NEG_PROCESS_OF_FNDGnprcfHUMN
C0080048,C3887537,NEG_PROCESS_OF,Privacy,Partner,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0085639,C2700280,NEG_PROCESS_OF,Falls,World,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0087130,C0150775,NEG_PROCESS_OF,Uncertainty,Social Networks,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0150312,C0013018,NEG_PROCESS_OF,Present,Donor person,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0150312,C0026093,NEG_PROCESS_OF,Present,Migrants,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0150312,C0043210,NEG_PROCESS_OF,Present,Woman,fndg,humn,2,NEG_PROCESS_OF_FNDGnprcfHUMN
C0150312,C0150775,NEG_PROCESS_OF,Present,Social Networks,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0150312,C0206194,NEG_PROCESS_OF,Present,Survivors,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0150312,C0851286,NEG_PROCESS_OF,Present,Staff,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0150312,C1709854,NEG_PROCESS_OF,Present,Recipient,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0150312,C1999167,NEG_PROCESS_OF,Present,Old age,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0150312,C2700280,NEG_PROCESS_OF,Present,World,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0150312,C4522252,NEG_PROCESS_OF,Present,Foundation for the Accreditation of Cellular Therapy,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0205160,C0025266,NEG_PROCESS_OF,Negative,Male population group,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0205160,C0031323,NEG_PROCESS_OF,Negative,Pharmacist,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0205160,C0450048,NEG_PROCESS_OF,Negative,Passenger,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0205160,C1519427,NEG_PROCESS_OF,Negative,South Asian,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0205557,C0040288,NEG_PROCESS_OF,False Positive,Tissue Donors,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
C0221198,C0043210,NEG_PROCESS_OF,Lesion,Woman,fndg,humn,1,NEG_PROCESS_OF_FNDGnprcfHUMN
