cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C0123759,NEG_PRODUCES,Armed macrophage,interleukin-12,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0001280,C1425330,NEG_PRODUCES,Armed macrophage,P2RY12 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0003315,C0079189,NEG_PRODUCES,Antigen-Presenting Cells,cytokine,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004112,C0021758,NEG_PRODUCES,Astrocytes,interleukin-4,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004112,C0024518,NEG_PRODUCES,Astrocytes,Major Histocompatibility Complex,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004112,C0034848,NEG_PRODUCES,Astrocytes,"Receptors, Virus",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004112,C0075131,NEG_PRODUCES,Astrocytes,SS-B antigen,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004112,C0079189,NEG_PRODUCES,Astrocytes,cytokine,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0004112,C0305052,NEG_PRODUCES,Astrocytes,Gamma globulin serum,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004112,C1366561,NEG_PRODUCES,Astrocytes,CD80 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004112,C1413243,NEG_PRODUCES,Astrocytes,CD86 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004112,C1704794,NEG_PRODUCES,Astrocytes,IL12A wt Allele,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004112,C4048280,NEG_PRODUCES,Astrocytes,"T-Cell Surface Glycoprotein CD4, human",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C0003241,NEG_PRODUCES,B-Lymphocytes,Antibodies,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0004561,C0004358,NEG_PRODUCES,B-Lymphocytes,Autoantibodies,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C0020857,NEG_PRODUCES,B-Lymphocytes,IgG2A,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C0021641,NEG_PRODUCES,B-Lymphocytes,Insulin,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C0034789,NEG_PRODUCES,B-Lymphocytes,"Receptors, Antigen, B-Cell",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C0597357,NEG_PRODUCES,B-Lymphocytes,receptor,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C1334082,NEG_PRODUCES,B-Lymphocytes,IFNAR2 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C1335872,NEG_PRODUCES,B-Lymphocytes,STAT1 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C1414141,NEG_PRODUCES,B-Lymphocytes,DPP4 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C1418597,NEG_PRODUCES,B-Lymphocytes,PITX3 gene,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0004561,C1706005,NEG_PRODUCES,B-Lymphocytes,CD40LG wt Allele,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004561,C3887681,NEG_PRODUCES,B-Lymphocytes,"Human B-Lymphocyte Antigen CD20, human",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0004827,C0034805,NEG_PRODUCES,Basophils,Fc Receptor,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0005773,C0002199,NEG_PRODUCES,Blood Cells,Interferon-alpha,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0005773,C1367477,NEG_PRODUCES,Blood Cells,CD14 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0005773,C1422064,NEG_PRODUCES,Blood Cells,ACE2 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0007600,C0021747,NEG_PRODUCES,Cultured Cell Line,Interferons,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0007600,C0030940,NEG_PRODUCES,Cultured Cell Line,Peptide Hydrolases,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0007600,C0042731,NEG_PRODUCES,Cultured Cell Line,Viral Matrix Proteins,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0007600,C0597357,NEG_PRODUCES,Cultured Cell Line,receptor,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0007600,C0907411,NEG_PRODUCES,Cultured Cell Line,"Lectins, C-Type",cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0007600,C1335439,NEG_PRODUCES,Cultured Cell Line,Polymerase,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0007600,C1422064,NEG_PRODUCES,Cultured Cell Line,ACE2 gene,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0007600,C1428862,NEG_PRODUCES,Cultured Cell Line,LRG1 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0007600,C1565860,NEG_PRODUCES,Cultured Cell Line,"PTGS2 protein, human",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0007600,C1610422,NEG_PRODUCES,Cultured Cell Line,"ACE2 protein, human",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0007600,C4281806,NEG_PRODUCES,Cultured Cell Line,Neural Cell Adhesion Molecule 1,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0011306,C0003241,NEG_PRODUCES,Dendritic Cells,Antibodies,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0011306,C1420084,NEG_PRODUCES,Dendritic Cells,SLAMF1 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014467,C1413189,NEG_PRODUCES,eosinophil,CCR3 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014597,C0042736,NEG_PRODUCES,Epithelial Cells,Viral Proteins,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014597,C0056184,NEG_PRODUCES,Epithelial Cells,"Receptors, Complement 3d",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014597,C0071613,NEG_PRODUCES,Epithelial Cells,Polymeric Immunoglobulin Receptors,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014597,C1332823,NEG_PRODUCES,Epithelial Cells,CXCR4 gene,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0014597,C1367477,NEG_PRODUCES,Epithelial Cells,CD14 gene,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0014597,C1413696,NEG_PRODUCES,Epithelial Cells,CR2 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014597,C1414141,NEG_PRODUCES,Epithelial Cells,DPP4 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014597,C1417760,NEG_PRODUCES,Epithelial Cells,NOS2 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0014597,C1420084,NEG_PRODUCES,Epithelial Cells,SLAMF1 gene,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0014597,C1422064,NEG_PRODUCES,Epithelial Cells,ACE2 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0016030,C0623362,NEG_PRODUCES,Fibroblasts,Matrix Metalloproteinases,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0016030,C1336763,NEG_PRODUCES,Fibroblasts,Toll-Like Receptor Family Gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0016030,C1417511,NEG_PRODUCES,Fibroblasts,MX2 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0016030,C1422064,NEG_PRODUCES,Fibroblasts,ACE2 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0016030,C1699239,NEG_PRODUCES,Fibroblasts,"IL7 protein, human",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0017471,C1415202,NEG_PRODUCES,Germ Cells,GPLD1 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018183,C1414141,NEG_PRODUCES,granulocyte,DPP4 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C0120285,NEG_PRODUCES,HeLa Cells,Green Fluorescent Proteins,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C0673013,NEG_PRODUCES,HeLa Cells,"GPER protein, human",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1311470,NEG_PRODUCES,HeLa Cells,"PARK2 protein, human",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1334078,NEG_PRODUCES,HeLa Cells,IFITM1 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1414141,NEG_PRODUCES,HeLa Cells,DPP4 gene,cell,aapp,2,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1417374,NEG_PRODUCES,HeLa Cells,MSR1 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1417519,NEG_PRODUCES,HeLa Cells,MXRA8 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1419956,NEG_PRODUCES,HeLa Cells,SEMA6A gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1419957,NEG_PRODUCES,HeLa Cells,SEMA6B gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1422064,NEG_PRODUCES,HeLa Cells,ACE2 gene,cell,aapp,4,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1426845,NEG_PRODUCES,HeLa Cells,SLC34A3 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1450145,NEG_PRODUCES,HeLa Cells,"Luciferases, Renilla",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C1567292,NEG_PRODUCES,HeLa Cells,"Myosin Phosphatase Rho-Interacting Protein, human",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018873,C3178812,NEG_PRODUCES,HeLa Cells,Tetraspanins,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018894,C0079189,NEG_PRODUCES,Helper-Inducer T-Lymphocyte,cytokine,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018956,C1333887,NEG_PRODUCES,Hematopoietic stem cells,H19 gene,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0018956,C3711103,NEG_PRODUCES,Hematopoietic stem cells,"CCR5 protein, human",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0020204,C0003250,NEG_PRODUCES,Hybridomas,Monoclonal Antibodies,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0020204,C3540595,NEG_PRODUCES,Hybridomas,CD8A wt Allele,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0022688,C0019629,NEG_PRODUCES,Natural Killer Cells,Histocompatibility Antigens Class I,cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
C0022688,C0021740,NEG_PRODUCES,Natural Killer Cells,Recombinant Interferon-gamma,cell,aapp,3,NEG_PRODUCES_CELLnprodAAPP
C0022688,C0034788,NEG_PRODUCES,Natural Killer Cells,"Receptors, Antigen",cell,aapp,1,NEG_PRODUCES_CELLnprodAAPP
