cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009013,C0003320,NEG_PRODUCES,Clone Cells,Antigens,cell,imft,1,NEG_PRODUCES_CELLnprodIMFT
C0014597,C0003320,NEG_PRODUCES,Epithelial Cells,Antigens,cell,imft,1,NEG_PRODUCES_CELLnprodIMFT
C0022688,C0085358,NEG_PRODUCES,Natural Killer Cells,CD8 Antigens,cell,imft,1,NEG_PRODUCES_CELLnprodIMFT
C0024264,C0003320,NEG_PRODUCES,Lymphocyte,Antigens,cell,imft,1,NEG_PRODUCES_CELLnprodIMFT
C0026473,C0003342,NEG_PRODUCES,Monocytes,"Antigens, Viral",cell,imft,1,NEG_PRODUCES_CELLnprodIMFT
C0027882,C0599796,NEG_PRODUCES,Neurons,mhc antigen,cell,imft,2,NEG_PRODUCES_CELLnprodIMFT
C0039194,C0085358,NEG_PRODUCES,T-Lymphocyte,CD8 Antigens,cell,imft,1,NEG_PRODUCES_CELLnprodIMFT
C0042542,C0005804,NEG_PRODUCES,Vero Cells,Blood Group Antigens,cell,imft,1,NEG_PRODUCES_CELLnprodIMFT
C0085080,C0003320,NEG_PRODUCES,Chinese Hamster Ovary Cell,Antigens,cell,imft,1,NEG_PRODUCES_CELLnprodIMFT
C0221284,C0003320,NEG_PRODUCES,Leptocyte,Antigens,cell,imft,1,NEG_PRODUCES_CELLnprodIMFT
C1956385,C0521390,NEG_PRODUCES,Plasmacytoid Dendritic Cells,neuronal,cell,imft,1,NEG_PRODUCES_CELLnprodIMFT
C3641722,C0003342,NEG_PRODUCES,Effector T-Lymphocyte,"Antigens, Viral",cell,imft,1,NEG_PRODUCES_CELLnprodIMFT
C3897252,C0003320,NEG_PRODUCES,Umbilical Cord Blood-derived Natural Killer Cells,Antigens,cell,imft,1,NEG_PRODUCES_CELLnprodIMFT
