cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007876,C0022864,NEG_STIMULATES,Cesarean section,Labor (Childbirth),topp,orgf,1,NEG_STIMULATES_TOPPnstimORGF
C0020971,C0020966,NEG_STIMULATES,Immunization,Cellular Immunity,topp,orgf,1,NEG_STIMULATES_TOPPnstimORGF
C0020975,C0020967,NEG_STIMULATES,Secondary Immunization,Humoral Immunity,topp,orgf,1,NEG_STIMULATES_TOPPnstimORGF
C0021107,C0018270,NEG_STIMULATES,Implantation procedure,Growth,topp,orgf,1,NEG_STIMULATES_TOPPnstimORGF
C0194086,C0699900,NEG_STIMULATES,Partial nephrectomy,Catabolism,topp,orgf,1,NEG_STIMULATES_TOPPnstimORGF
C0286540,C0006147,NEG_STIMULATES,MAV protocol,Breast Feeding,topp,orgf,2,NEG_STIMULATES_TOPPnstimORGF
C0376518,C1819464,NEG_STIMULATES,Adoptive Transfer,tumor necrosis factor production,topp,orgf,1,NEG_STIMULATES_TOPPnstimORGF
C0683174,C0018270,NEG_STIMULATES,topical application,Growth,topp,orgf,1,NEG_STIMULATES_TOPPnstimORGF
C1511790,C0020967,NEG_STIMULATES,Detection,Humoral Immunity,topp,orgf,1,NEG_STIMULATES_TOPPnstimORGF
C1511790,C1155328,NEG_STIMULATES,Detection,Antiviral Response,topp,orgf,1,NEG_STIMULATES_TOPPnstimORGF
C1883520,C0000934,NEG_STIMULATES,VePesid-Ifosfamide-Platinol Regimen,Acclimatization,topp,orgf,4,NEG_STIMULATES_TOPPnstimORGF
