cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002199,C0042776,NEG_TREATS,Interferon-alpha,Virus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0002520,C0042776,NEG_TREATS,Amino Acids,Virus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0002520,C0206419,NEG_TREATS,Amino Acids,Genus: Coronavirus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0002520,C0318855,NEG_TREATS,Amino Acids,Porcine epidemic diarrhea virus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0002520,C0949334,NEG_TREATS,Amino Acids,MHV-JHM,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0002520,C1175743,NEG_TREATS,Amino Acids,SARS coronavirus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0002520,C4698293,NEG_TREATS,Amino Acids,D10,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0003241,C0029341,NEG_TREATS,Antibodies,Orthomyxoviridae,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0003241,C0042776,NEG_TREATS,Antibodies,Virus,aapp,virs,18,NEG_TREATS_AAPPntrtsVIRS
C0003241,C1175743,NEG_TREATS,Antibodies,SARS coronavirus,aapp,virs,2,NEG_TREATS_AAPPntrtsVIRS
C0006217,C0027610,NEG_TREATS,bromelains,Bovine coronavirus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0010592,C3698360,NEG_TREATS,cyclosporine,Middle East Respiratory Syndrome Coronavirus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0016006,C0042776,NEG_TREATS,fibrinogen,Virus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0019602,C0042776,NEG_TREATS,histidine,Virus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0020960,C0013534,NEG_TREATS,Immune Sera,Echovirus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0020960,C0042776,NEG_TREATS,Immune Sera,Virus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0021743,C0042776,NEG_TREATS,Interferon Type I,Virus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0022942,C0086384,NEG_TREATS,lactoferrin,Hantaan virus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0026794,C0086384,NEG_TREATS,muramidase,Hantaan virus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0030304,C0035870,NEG_TREATS,pancreatin,Rotavirus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0034862,C0042776,NEG_TREATS,"Vaccines, Recombinant",Virus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0041236,C0015763,NEG_TREATS,trypsin,"Calicivirus, Feline",aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0041236,C0042776,NEG_TREATS,trypsin,Virus,aapp,virs,3,NEG_TREATS_AAPPntrtsVIRS
C0041236,C0086776,NEG_TREATS,trypsin,Parvovirus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0041236,C0318855,NEG_TREATS,trypsin,Porcine epidemic diarrhea virus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
C0042210,C0004422,NEG_TREATS,Vaccines,Avian leukosis virus,aapp,virs,1,NEG_TREATS_AAPPntrtsVIRS
