cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009653,C0870668,NEG_TREATS,"Condoms, Male",hospitalized patients,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0085104,C0043210,NEG_TREATS,Drug Delivery Systems,Woman,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0085104,C2700280,NEG_TREATS,Drug Delivery Systems,World,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0085104,C2936533,NEG_TREATS,Drug Delivery Systems,Invasive Species,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0087153,C0034961,NEG_TREATS,Ventilator - respiratory equipment,Refugees,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0175723,C2700280,NEG_TREATS,Bands,World,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0179129,C0871685,NEG_TREATS,Apron,Clinician,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0179226,C4046087,NEG_TREATS,Basin,Diplomat,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0180565,C0031831,NEG_TREATS,Duodenoscopes,Physicians,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0181064,C0582175,NEG_TREATS,Gown,Surgeon,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0181064,C0851286,NEG_TREATS,Gown,Staff,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0181687,C0150775,NEG_TREATS,loops,Social Networks,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0181758,C0871685,NEG_TREATS,Surgical face mask,Clinician,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C0181758,C4300102,NEG_TREATS,Surgical face mask,Urology.resident,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C1706912,C0162592,NEG_TREATS,BARRIER,Public Domain,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C1706912,C0334970,NEG_TREATS,BARRIER,Economist,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C1706912,C0683625,NEG_TREATS,BARRIER,cadres,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C1706912,C0684017,NEG_TREATS,BARRIER,scholar,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C2363670,C1706077,NEG_TREATS,developers,user - individual,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
C3495449,C3812881,NEG_TREATS,Mobility aid,Author,medd,humn,1,NEG_TREATS_MEDDntrtsHUMN
