cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002915,C0042210,NEG_USES,General Anesthesia,Vaccines,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0020711,C2239937,NEG_USES,Hysterotomy,SMAD5-AS1 gene,topp,aapp,2,NEG_USES_TOPPnusesAAPP
C0020971,C0003993,NEG_USES,Immunization,asparaginase,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0020971,C0042210,NEG_USES,Immunization,Vaccines,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0034386,C4284302,NEG_USES,Quarantine,EHD1 wt Allele,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0035139,C0001924,NEG_USES,Surgical Replantation,Albumins,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0035139,C1310550,NEG_USES,Surgical Replantation,"glutamate carboxypeptidase II, human",topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0035273,C0017237,NEG_USES,Resuscitation procedure,gelatin,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0040808,C1419788,NEG_USES,Treatment Protocols,S100A6 gene,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0056633,C0003241,NEG_USES,cyclophosphamide/prednisone/vincristine protocol,Antibodies,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0152060,C0003241,NEG_USES,Transection (procedure),Antibodies,topp,aapp,2,NEG_USES_TOPPnusesAAPP
C0185026,C1710492,NEG_USES,Plication,LINC01194 gene,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0185027,C0751973,NEG_USES,Imbrication (procedure),Proteome,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0185027,C1413584,NEG_USES,Imbrication (procedure),COL4A3BP gene,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0185027,C1414266,NEG_USES,Imbrication (procedure),EEA1 gene,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0185027,C1540210,NEG_USES,Imbrication (procedure),ASZ1 gene,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0185027,C3839127,NEG_USES,Imbrication (procedure),Protein coding gene,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0185115,C1422329,NEG_USES,Extraction,PDLIM2 gene,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0194086,C0582263,NEG_USES,Partial nephrectomy,Structural protein,topp,aapp,10,NEG_USES_TOPPnusesAAPP
C0199176,C0042210,NEG_USES,Prophylactic treatment,Vaccines,topp,aapp,11,NEG_USES_TOPPnusesAAPP
C0282638,C1706869,NEG_USES,Antibiotic Prophylaxis,BAG1 wt Allele,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0600558,C1825598,NEG_USES,Neoadjuvant Therapy,IMPACT gene,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C0677881,C1428889,NEG_USES,Cytotoxic Chemotherapy,MTUS1 gene,topp,aapp,2,NEG_USES_TOPPnusesAAPP
C0812192,C0003250,NEG_USES,Communicable disease management,Monoclonal Antibodies,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C1511790,C0003241,NEG_USES,Detection,Antibodies,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C1511790,C0042210,NEG_USES,Detection,Vaccines,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C3850098,C0042210,NEG_USES,Pre-Exposure Prophylaxis,Vaccines,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C4526535,C0042210,NEG_USES,Bendamustine/Lenalidomide/Dexamethasone Regimen,Vaccines,topp,aapp,1,NEG_USES_TOPPnusesAAPP
C5203979,C1423854,NEG_USES,Concurrent Chemotherapy,SCRT1 gene,topp,aapp,1,NEG_USES_TOPPnusesAAPP
