cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001271,C1511501,PART_OF,Actins,Control Animal,aapp,anim,1,PART_OF_AAPPprtfANIM
C0003241,C0003064,PART_OF,Antibodies,"Animals, Laboratory",aapp,anim,3,PART_OF_AAPPprtfANIM
C0003241,C0012656,PART_OF,Antibodies,Disease Vectors,aapp,anim,1,PART_OF_AAPPprtfANIM
C0003241,C0599779,PART_OF,Antibodies,Animal Model,aapp,anim,1,PART_OF_AAPPprtfANIM
C0003241,C0683949,PART_OF,Antibodies,Animal Study,aapp,anim,1,PART_OF_AAPPprtfANIM
C0003241,C2936506,PART_OF,Antibodies,Livestock,aapp,anim,1,PART_OF_AAPPprtfANIM
C0003250,C0012656,PART_OF,Monoclonal Antibodies,Disease Vectors,aapp,anim,1,PART_OF_AAPPprtfANIM
C0003250,C0599779,PART_OF,Monoclonal Antibodies,Animal Model,aapp,anim,1,PART_OF_AAPPprtfANIM
C0003693,C0599779,PART_OF,Arachidonate 5-Lipoxygenase,Animal Model,aapp,anim,1,PART_OF_AAPPprtfANIM
C0005740,C0003064,PART_OF,bleomycin,"Animals, Laboratory",aapp,anim,1,PART_OF_AAPPprtfANIM
C0005740,C0599779,PART_OF,bleomycin,Animal Model,aapp,anim,2,PART_OF_AAPPprtfANIM
C0009316,C2936506,PART_OF,colistin,Livestock,aapp,anim,1,PART_OF_AAPPprtfANIM
C0010654,C1547282,PART_OF,cysteine,Show,aapp,anim,1,PART_OF_AAPPprtfANIM
C0011516,C0012656,PART_OF,Deoxyribonuclease EcoRI,Disease Vectors,aapp,anim,6,PART_OF_AAPPprtfANIM
C0012906,C0012656,PART_OF,DNA Restriction Enzymes,Disease Vectors,aapp,anim,3,PART_OF_AAPPprtfANIM
C0016925,C0012656,PART_OF,"Fusion Proteins, gag-pol",Disease Vectors,aapp,anim,1,PART_OF_AAPPprtfANIM
C0016955,C0012656,PART_OF,Galactosidase,Disease Vectors,aapp,anim,1,PART_OF_AAPPprtfANIM
C0017343,C0012656,PART_OF,"Genes, env",Disease Vectors,aapp,anim,2,PART_OF_AAPPprtfANIM
C0017366,C0012656,PART_OF,Structural gene,Disease Vectors,aapp,anim,1,PART_OF_AAPPprtfANIM
C0017374,C0003064,PART_OF,Synthetic Genes,"Animals, Laboratory",aapp,anim,1,PART_OF_AAPPprtfANIM
C0017374,C0012656,PART_OF,Synthetic Genes,Disease Vectors,aapp,anim,1,PART_OF_AAPPprtfANIM
C0017376,C0012656,PART_OF,"Genes, Viral",Disease Vectors,aapp,anim,1,PART_OF_AAPPprtfANIM
C0017376,C0683949,PART_OF,"Genes, Viral",Animal Study,aapp,anim,1,PART_OF_AAPPprtfANIM
C0017968,C0012656,PART_OF,Glycoproteins,Disease Vectors,aapp,anim,1,PART_OF_AAPPprtfANIM
C0017968,C0684068,PART_OF,Glycoproteins,higher animals,aapp,anim,1,PART_OF_AAPPprtfANIM
C0018909,C0012656,PART_OF,Hemagglutinin,Disease Vectors,aapp,anim,3,PART_OF_AAPPprtfANIM
C0020960,C0003064,PART_OF,Immune Sera,"Animals, Laboratory",aapp,anim,1,PART_OF_AAPPprtfANIM
C0020960,C0012656,PART_OF,Immune Sera,Disease Vectors,aapp,anim,1,PART_OF_AAPPprtfANIM
