cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001473,C0403151,PART_OF,Adenosine Triphosphatases,Loader,aapp,humn,1,PART_OF_AAPPprtfHUMN
C0001898,C0037179,PART_OF,alanine,Unmarried person,aapp,humn,4,PART_OF_AAPPprtfHUMN
C0001990,C0337830,PART_OF,Aldehyde-Lyases,Congolese,aapp,humn,1,PART_OF_AAPPprtfHUMN
C0002199,C4522252,PART_OF,Interferon-alpha,Foundation for the Accreditation of Cellular Therapy,aapp,humn,1,PART_OF_AAPPprtfHUMN
C0002520,C0000901,PART_OF,Amino Acids,acceptors,aapp,humn,2,PART_OF_AAPPprtfHUMN
C0002520,C0015031,PART_OF,Amino Acids,Ethnic group,aapp,humn,1,PART_OF_AAPPprtfHUMN
C0002520,C0027567,PART_OF,Amino Acids,African race,aapp,humn,1,PART_OF_AAPPprtfHUMN
C0002520,C0037179,PART_OF,Amino Acids,Unmarried person,aapp,humn,88,PART_OF_AAPPprtfHUMN
C0002520,C0680398,PART_OF,Amino Acids,secondary group,aapp,humn,1,PART_OF_AAPPprtfHUMN
C0002520,C0814942,PART_OF,Amino Acids,Han Chinese,aapp,humn,1,PART_OF_AAPPprtfHUMN
C0002520,C1510818,PART_OF,Amino Acids,Advanced Practice Nurse,aapp,humn,2,PART_OF_AAPPprtfHUMN
C0002520,C1522486,PART_OF,Amino Acids,Professional Organization or Group,aapp,humn,1,PART_OF_AAPPprtfHUMN
C0002723,C0035173,PART_OF,Serum amyloid A protein,Research Personnel,aapp,humn,1,PART_OF_AAPPprtfHUMN
C0003241,C0005795,PART_OF,Antibodies,Blood donor,aapp,humn,3,PART_OF_AAPPprtfHUMN
C0003241,C0008098,PART_OF,Antibodies,"Child, Hospitalized",aapp,humn,1,PART_OF_AAPPprtfHUMN
C0003241,C0013018,PART_OF,Antibodies,Donor person,aapp,humn,5,PART_OF_AAPPprtfHUMN
C0003241,C0018724,PART_OF,Antibodies,Health Personnel,aapp,humn,1,PART_OF_AAPPprtfHUMN
C0003241,C0029206,PART_OF,Antibodies,organ donor,aapp,humn,1,PART_OF_AAPPprtfHUMN
C0003241,C0037179,PART_OF,Antibodies,Unmarried person,aapp,humn,3,PART_OF_AAPPprtfHUMN
C0003241,C0040288,PART_OF,Antibodies,Tissue Donors,aapp,humn,19,PART_OF_AAPPprtfHUMN
C0003241,C0042960,PART_OF,Antibodies,Voluntary Workers,aapp,humn,5,PART_OF_AAPPprtfHUMN
