cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002638,C0021270,PART_OF,Amniotic Fluid,Infant,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0002638,C0021289,PART_OF,Amniotic Fluid,"Infant, Newborn",bdsu,aggp,2,PART_OF_BDSUprtfAGGP
C0002638,C1708480,PART_OF,Amniotic Fluid,In Utero,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0005767,C0001675,PART_OF,Blood,Adult,bdsu,aggp,26,PART_OF_BDSUprtfAGGP
C0005767,C0008059,PART_OF,Blood,Child,bdsu,aggp,23,PART_OF_BDSUprtfAGGP
C0005767,C0021270,PART_OF,Blood,Infant,bdsu,aggp,9,PART_OF_BDSUprtfAGGP
C0005767,C0021289,PART_OF,Blood,"Infant, Newborn",bdsu,aggp,30,PART_OF_BDSUprtfAGGP
C0005767,C0870221,PART_OF,Blood,Boys,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0005889,C0001675,PART_OF,Body Fluids,Adult,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0005889,C0008059,PART_OF,Body Fluids,Child,bdsu,aggp,7,PART_OF_BDSUprtfAGGP
C0005889,C0021270,PART_OF,Body Fluids,Infant,bdsu,aggp,4,PART_OF_BDSUprtfAGGP
C0005889,C4048294,PART_OF,Body Fluids,Preterm Infant,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0006279,C0008059,PART_OF,Bronchoalveolar Lavage Fluid,Child,bdsu,aggp,2,PART_OF_BDSUprtfAGGP
C0006279,C0021270,PART_OF,Bronchoalveolar Lavage Fluid,Infant,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0007806,C0001675,PART_OF,Cerebrospinal Fluid,Adult,bdsu,aggp,2,PART_OF_BDSUprtfAGGP
C0007806,C0008059,PART_OF,Cerebrospinal Fluid,Child,bdsu,aggp,11,PART_OF_BDSUprtfAGGP
C0007806,C0021270,PART_OF,Cerebrospinal Fluid,Infant,bdsu,aggp,3,PART_OF_BDSUprtfAGGP
C0009413,C0021289,PART_OF,Colostrum,"Infant, Newborn",bdsu,aggp,2,PART_OF_BDSUprtfAGGP
C0010437,C0205653,PART_OF,Cud,Adolescent (age group),bdsu,aggp,3,PART_OF_BDSUprtfAGGP
C0012621,C0001675,PART_OF,Body Fluid Discharge,Adult,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0015733,C0001675,PART_OF,Feces,Adult,bdsu,aggp,25,PART_OF_BDSUprtfAGGP
C0015733,C0008059,PART_OF,Feces,Child,bdsu,aggp,148,PART_OF_BDSUprtfAGGP
C0015733,C0021270,PART_OF,Feces,Infant,bdsu,aggp,54,PART_OF_BDSUprtfAGGP
C0015733,C0021289,PART_OF,Feces,"Infant, Newborn",bdsu,aggp,19,PART_OF_BDSUprtfAGGP
C0015733,C0260267,PART_OF,Feces,School child,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0015733,C0682053,PART_OF,Feces,Toddler (age group),bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0015733,C0870221,PART_OF,Feces,Boys,bdsu,aggp,3,PART_OF_BDSUprtfAGGP
C0015733,C4048294,PART_OF,Feces,Preterm Infant,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0026131,C0021270,PART_OF,Milk (body substance),Infant,bdsu,aggp,2,PART_OF_BDSUprtfAGGP
C0026131,C0021289,PART_OF,Milk (body substance),"Infant, Newborn",bdsu,aggp,2,PART_OF_BDSUprtfAGGP
C0026727,C0008059,PART_OF,Mucous body substance,Child,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0032105,C0001675,PART_OF,Plasma,Adult,bdsu,aggp,8,PART_OF_BDSUprtfAGGP
C0032105,C0008059,PART_OF,Plasma,Child,bdsu,aggp,16,PART_OF_BDSUprtfAGGP
C0032105,C0021270,PART_OF,Plasma,Infant,bdsu,aggp,3,PART_OF_BDSUprtfAGGP
C0032105,C0021289,PART_OF,Plasma,"Infant, Newborn",bdsu,aggp,5,PART_OF_BDSUprtfAGGP
C0032105,C0870221,PART_OF,Plasma,Boys,bdsu,aggp,2,PART_OF_BDSUprtfAGGP
C0034161,C0870221,PART_OF,Pus,Boys,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0036087,C0001675,PART_OF,saliva,Adult,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0036087,C0008059,PART_OF,saliva,Child,bdsu,aggp,3,PART_OF_BDSUprtfAGGP
C0036087,C0021270,PART_OF,saliva,Infant,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0036087,C0870221,PART_OF,saliva,Boys,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0038056,C0001675,PART_OF,Sputum,Adult,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0038056,C0008059,PART_OF,Sputum,Child,bdsu,aggp,4,PART_OF_BDSUprtfAGGP
C0038056,C0021270,PART_OF,Sputum,Infant,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0042036,C0001675,PART_OF,Urine,Adult,bdsu,aggp,3,PART_OF_BDSUprtfAGGP
C0042036,C0008059,PART_OF,Urine,Child,bdsu,aggp,6,PART_OF_BDSUprtfAGGP
C0042036,C0021270,PART_OF,Urine,Infant,bdsu,aggp,6,PART_OF_BDSUprtfAGGP
C0042036,C0021289,PART_OF,Urine,"Infant, Newborn",bdsu,aggp,9,PART_OF_BDSUprtfAGGP
C0042036,C0260267,PART_OF,Urine,School child,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0162371,C0001675,PART_OF,Umbilical Cord Blood,Adult,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0162371,C0008059,PART_OF,Umbilical Cord Blood,Child,bdsu,aggp,2,PART_OF_BDSUprtfAGGP
C0162371,C0021270,PART_OF,Umbilical Cord Blood,Infant,bdsu,aggp,8,PART_OF_BDSUprtfAGGP
C0162371,C0021289,PART_OF,Umbilical Cord Blood,"Infant, Newborn",bdsu,aggp,22,PART_OF_BDSUprtfAGGP
C0162371,C4048294,PART_OF,Umbilical Cord Blood,Preterm Infant,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0178913,C0001675,PART_OF,Blood specimen,Adult,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0178913,C0008059,PART_OF,Blood specimen,Child,bdsu,aggp,4,PART_OF_BDSUprtfAGGP
C0178913,C0021270,PART_OF,Blood specimen,Infant,bdsu,aggp,5,PART_OF_BDSUprtfAGGP
C0178913,C0021289,PART_OF,Blood specimen,"Infant, Newborn",bdsu,aggp,3,PART_OF_BDSUprtfAGGP
C0178913,C0678804,PART_OF,Blood specimen,prenatal,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0206289,C0001675,PART_OF,Nasal Lavage Fluid,Adult,bdsu,aggp,3,PART_OF_BDSUprtfAGGP
C0206289,C0008059,PART_OF,Nasal Lavage Fluid,Child,bdsu,aggp,3,PART_OF_BDSUprtfAGGP
C0206289,C0021270,PART_OF,Nasal Lavage Fluid,Infant,bdsu,aggp,8,PART_OF_BDSUprtfAGGP
C0225386,C0001675,PART_OF,Breath,Adult,bdsu,aggp,2,PART_OF_BDSUprtfAGGP
C0225386,C0008059,PART_OF,Breath,Child,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0225386,C0021270,PART_OF,Breath,Infant,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0225778,C0008059,PART_OF,Pleural fluid,Child,bdsu,aggp,1,PART_OF_BDSUprtfAGGP
C0226893,C0021289,PART_OF,Intestinal Contents,"Infant, Newborn",bdsu,aggp,2,PART_OF_BDSUprtfAGGP
