cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000739,C0026809,PART_OF,Abdominal Muscles,Mus,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0000780,C0007452,PART_OF,Abomasum,Cattle,bpoc,mamm,3,PART_OF_BPOCprtfMAMM
C0000780,C0035950,PART_OF,Abomasum,Ruminants,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0000780,C0036945,PART_OF,Abomasum,Sheep,bpoc,mamm,2,PART_OF_BPOCprtfMAMM
C0001428,C0012984,PART_OF,Adenoidal structure,Canis familiaris,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0001428,C1135183,PART_OF,Adenoidal structure,Sus scrofa,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0001613,C0018557,PART_OF,Adrenal Cortex,Hamsters,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0001613,C0026809,PART_OF,Adrenal Cortex,Mus,bpoc,mamm,2,PART_OF_BPOCprtfMAMM
C0001625,C0012984,PART_OF,Adrenal Glands,Canis familiaris,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0001625,C0015859,PART_OF,Adrenal Glands,Ferrets,bpoc,mamm,2,PART_OF_BPOCprtfMAMM
C0001625,C0017461,PART_OF,Adrenal Glands,Gerbillinae,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0001625,C0026809,PART_OF,Adrenal Glands,Mus,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0001625,C0028828,PART_OF,Adrenal Glands,Octodon,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0001625,C0032636,PART_OF,Adrenal Glands,Pongidae,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0001625,C0039005,PART_OF,Adrenal Glands,Family suidae,bpoc,mamm,7,PART_OF_BPOCprtfMAMM
C0001625,C1135183,PART_OF,Adrenal Glands,Sus scrofa,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0001629,C0007452,PART_OF,Adrenal Medulla,Cattle,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0001629,C0034693,PART_OF,Adrenal Medulla,Rattus norvegicus,bpoc,mamm,2,PART_OF_BPOCprtfMAMM
C0001878,C0032636,PART_OF,Air Sacs,Pongidae,bpoc,mamm,4,PART_OF_BPOCprtfMAMM
C0002708,C0034693,PART_OF,Amygdaloid structure,Rattus norvegicus,bpoc,mamm,3,PART_OF_BPOCprtfMAMM
C0002708,C0206745,PART_OF,Amygdaloid structure,"Mice, Knockout",bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003153,C0007450,PART_OF,Anterior eyeball segment structure,Felis catus,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003452,C0003146,PART_OF,Antlers,Subfamily Antilopinae (organism),bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003452,C0004897,PART_OF,Antlers,Ursidae Family,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003452,C0012984,PART_OF,Antlers,Canis familiaris,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003452,C0325222,PART_OF,Antlers,Cervus nippon,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003461,C0012984,PART_OF,Anus,Canis familiaris,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003461,C0024400,PART_OF,Anus,Macaca mulatta,bpoc,mamm,2,PART_OF_BPOCprtfMAMM
C0003461,C0025914,PART_OF,Anus,House mice,bpoc,mamm,2,PART_OF_BPOCprtfMAMM
C0003461,C0035804,PART_OF,Anus,Rodent,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003483,C0007452,PART_OF,Aorta,Cattle,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003483,C0025914,PART_OF,Aorta,House mice,bpoc,mamm,9,PART_OF_BPOCprtfMAMM
C0003483,C0026809,PART_OF,Aorta,Mus,bpoc,mamm,9,PART_OF_BPOCprtfMAMM
C0003483,C0034693,PART_OF,Aorta,Rattus norvegicus,bpoc,mamm,9,PART_OF_BPOCprtfMAMM
C0003483,C0035804,PART_OF,Aorta,Rodent,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003483,C0039005,PART_OF,Aorta,Family suidae,bpoc,mamm,3,PART_OF_BPOCprtfMAMM
C0003483,C0085979,PART_OF,Aorta,Cavia,bpoc,mamm,2,PART_OF_BPOCprtfMAMM
C0003483,C0324889,PART_OF,Aorta,Old World rabbit,bpoc,mamm,4,PART_OF_BPOCprtfMAMM
C0003483,C3887509,PART_OF,Aorta,Rabbits,bpoc,mamm,3,PART_OF_BPOCprtfMAMM
C0003483,C4505193,PART_OF,Aorta,"Mice, Knockout, ApoE",bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003617,C0033147,PART_OF,Appendix,Primates,bpoc,mamm,3,PART_OF_BPOCprtfMAMM
C0003617,C0324889,PART_OF,Appendix,Old World rabbit,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003617,C3887509,PART_OF,Appendix,Rabbits,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003842,C0015859,PART_OF,Arteries,Ferrets,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003842,C0025914,PART_OF,Arteries,House mice,bpoc,mamm,2,PART_OF_BPOCprtfMAMM
C0003842,C0026809,PART_OF,Arteries,Mus,bpoc,mamm,3,PART_OF_BPOCprtfMAMM
C0003842,C0034693,PART_OF,Arteries,Rattus norvegicus,bpoc,mamm,5,PART_OF_BPOCprtfMAMM
C0003842,C0035804,PART_OF,Arteries,Rodent,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003842,C0324889,PART_OF,Arteries,Old World rabbit,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003842,C0324939,PART_OF,Arteries,Meriones unguiculatus,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003842,C1520150,PART_OF,Arteries,Wild Type Mouse,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003842,C3887509,PART_OF,Arteries,Rabbits,bpoc,mamm,2,PART_OF_BPOCprtfMAMM
C0003847,C0026809,PART_OF,Structure of arteriole,Mus,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003847,C0034693,PART_OF,Structure of arteriole,Rattus norvegicus,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003847,C0035804,PART_OF,Structure of arteriole,Rodent,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0003847,C3887509,PART_OF,Structure of arteriole,Rabbits,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0004247,C0324889,PART_OF,Structure of atrioventricular node,Old World rabbit,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0004302,C0025914,PART_OF,Auditory area,House mice,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0004302,C0026447,PART_OF,Auditory area,Monkeys,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0004781,C0034693,PART_OF,Basal Ganglia,Rattus norvegicus,bpoc,mamm,3,PART_OF_BPOCprtfMAMM
C0004811,C0034693,PART_OF,Structure of basilar artery,Rattus norvegicus,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0004811,C0324889,PART_OF,Structure of basilar artery,Old World rabbit,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005400,C0007450,PART_OF,Bile duct structure,Felis catus,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005400,C0012984,PART_OF,Bile duct structure,Canis familiaris,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005400,C0026809,PART_OF,Bile duct structure,Mus,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005400,C0035804,PART_OF,Bile duct structure,Rodent,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005400,C0036945,PART_OF,Bile duct structure,Sheep,bpoc,mamm,2,PART_OF_BPOCprtfMAMM
C0005400,C0324889,PART_OF,Bile duct structure,Old World rabbit,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005400,C1520150,PART_OF,Bile duct structure,Wild Type Mouse,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005423,C0007450,PART_OF,Biliary tract structure,Felis catus,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005423,C0015859,PART_OF,Biliary tract structure,Ferrets,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005682,C0007450,PART_OF,Urinary Bladder,Felis catus,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005682,C0015859,PART_OF,Urinary Bladder,Ferrets,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005682,C0026809,PART_OF,Urinary Bladder,Mus,bpoc,mamm,7,PART_OF_BPOCprtfMAMM
C0005682,C0034693,PART_OF,Urinary Bladder,Rattus norvegicus,bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005682,C0034713,PART_OF,Urinary Bladder,"Rats, Nude",bpoc,mamm,1,PART_OF_BPOCprtfMAMM
C0005682,C0034715,PART_OF,Urinary Bladder,"Rats, Sprague-Dawley",bpoc,mamm,1,PART_OF_BPOCprtfMAMM
