cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004461,C0001613,PART_OF,Axon,Adrenal Cortex,celc,bpoc,4,PART_OF_CELCprtfBPOC
C0004461,C0005847,PART_OF,Axon,Blood Vessel,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0004461,C0006104,PART_OF,Axon,Brain,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0004461,C0010090,PART_OF,Axon,Corpus Callosum,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0004461,C0010268,PART_OF,Axon,Cranial Nerves,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0004461,C0015462,PART_OF,Axon,Facial nerve structure,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0004461,C0017070,PART_OF,Axon,"Ganglia, Spinal",celc,bpoc,1,PART_OF_CELCprtfBPOC
C0004461,C0022663,PART_OF,Axon,Kidney Glomerulus,celc,bpoc,3,PART_OF_CELCprtfBPOC
C0004461,C0025148,PART_OF,Axon,Medulla Oblongata,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0004461,C0027028,PART_OF,Axon,Myenteric Plexus,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0004461,C0027740,PART_OF,Axon,Nerve,celc,bpoc,14,PART_OF_CELCprtfBPOC
C0004461,C0028938,PART_OF,Axon,Olfactory Nerve,celc,bpoc,6,PART_OF_CELCprtfBPOC
C0004461,C0029130,PART_OF,Axon,Optic Nerve,celc,bpoc,7,PART_OF_CELCprtfBPOC
C0004461,C0031119,PART_OF,Axon,Peripheral Nerves,celc,bpoc,4,PART_OF_CELCprtfBPOC
C0004461,C0035298,PART_OF,Axon,Retina,celc,bpoc,4,PART_OF_CELCprtfBPOC
C0004461,C0037925,PART_OF,Axon,Spinal Cord,celc,bpoc,6,PART_OF_CELCprtfBPOC
C0004461,C0501384,PART_OF,Axon,Motor nerve,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0004461,C0501385,PART_OF,Axon,Sensory nerve,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0004461,C1185743,PART_OF,Axon,Lemniscus,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0007603,C0006104,PART_OF,Plasma membrane,Brain,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0007603,C0018494,PART_OF,Plasma membrane,Hair,celc,bpoc,3,PART_OF_CELCprtfBPOC
C0007603,C0021853,PART_OF,Plasma membrane,Intestines,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0007603,C0022646,PART_OF,Plasma membrane,Kidney,celc,bpoc,5,PART_OF_CELCprtfBPOC
C0007603,C0022663,PART_OF,Plasma membrane,Kidney Glomerulus,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0007603,C0024109,PART_OF,Plasma membrane,Lung,celc,bpoc,2,PART_OF_CELCprtfBPOC
