cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002367,C0262304,PART_OF,aluminum,pars postrema of the ventral lateral nucleus,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0003818,C0018494,PART_OF,arsenic,Hair,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0006030,C0227972,PART_OF,boron,Structure of median lobe of prostate,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0007009,C0037949,PART_OF,Carbon,Vertebral column,elii,bpoc,4,PART_OF_ELIIprtfBPOC
C0008209,C0028429,PART_OF,chlorine,Nose,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0016911,C0006104,PART_OF,gadolinium,Brain,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0016911,C0034090,PART_OF,gadolinium,Pulmonary veins,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0016911,C0037949,PART_OF,gadolinium,Vertebral column,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0016911,C0581631,PART_OF,gadolinium,Cervical Spinal Nerve Root,elii,bpoc,2,PART_OF_ELIIprtfBPOC
C0016911,C0728985,PART_OF,gadolinium,Cervical spine,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0018026,C0015392,PART_OF,gold,Eye,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0018026,C0022646,PART_OF,gold,Kidney,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0018880,C0024109,PART_OF,helium,Lung,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0020275,C0037949,PART_OF,hydrogen,Vertebral column,elii,bpoc,4,PART_OF_ELIIprtfBPOC
C0022023,C0005847,PART_OF,Ions,Blood Vessel,elii,bpoc,3,PART_OF_ELIIprtfBPOC
C0022023,C0006121,PART_OF,Ions,Brain Stem,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0022023,C0016504,PART_OF,Ions,Foot,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0022023,C0018787,PART_OF,Ions,Heart,elii,bpoc,2,PART_OF_ELIIprtfBPOC
C0022023,C0018792,PART_OF,Ions,Heart Atrium,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0022023,C0227192,PART_OF,Ions,Inferior esophageal sphincter structure,elii,bpoc,2,PART_OF_ELIIprtfBPOC
C0023175,C0006104,PART_OF,lead,Brain,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0023175,C0023884,PART_OF,lead,Liver,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0023175,C0729936,PART_OF,lead,Cardiac chamber structure,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0023870,C0006104,PART_OF,lithium,Brain,elii,bpoc,3,PART_OF_ELIIprtfBPOC
C0031705,C0736268,PART_OF,phosphorus,Liver parenchyma,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0033727,C0006104,PART_OF,Protons,Brain,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0033727,C0024109,PART_OF,Protons,Lung,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0033727,C0933845,PART_OF,Protons,Parenchyma,elii,bpoc,2,PART_OF_ELIIprtfBPOC
C0037125,C0228405,PART_OF,Silver,"Corpora quadrigemina, superior colliculus",elii,bpoc,2,PART_OF_ELIIprtfBPOC
C0038836,C0005847,PART_OF,Superoxides,Blood Vessel,elii,bpoc,7,PART_OF_ELIIprtfBPOC
C0205838,C0227972,PART_OF,Lanthanoid Series Elements,Structure of median lobe of prostate,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0301294,C0227952,PART_OF,Nitrogen gas,Foreskin of penis,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0347988,C0023884,PART_OF,"Metals, Heavy",Liver,elii,bpoc,2,PART_OF_ELIIprtfBPOC
C0567415,C0037949,PART_OF,Atom (substance),Vertebral column,elii,bpoc,129,PART_OF_ELIIprtfBPOC
C0567415,C0039259,PART_OF,Atom (substance),Tail,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0596235,C0019564,PART_OF,calcium ion,Hippocampus (Brain),elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0596235,C0042449,PART_OF,calcium ion,Veins,elii,bpoc,2,PART_OF_ELIIprtfBPOC
C0618927,C0021853,PART_OF,bis(tetraheptylammonium)tetraiodocyclopentane tellurate(IV),Intestines,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C0682906,C0030274,PART_OF,Transition Elements,Pancreas,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C2347816,C0003842,PART_OF,cobaltous cation,Arteries,elii,bpoc,3,PART_OF_ELIIprtfBPOC
C2347816,C1440080,PART_OF,cobaltous cation,Alveolar,elii,bpoc,1,PART_OF_ELIIprtfBPOC
C2936695,C0934502,PART_OF,Graphene,anatomical layer,elii,bpoc,5,PART_OF_ELIIprtfBPOC
