cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0015965,C0001675,PART_OF,Fetus,Adult,emst,aggp,1,PART_OF_EMSTprtfAGGP
C0015965,C0008059,PART_OF,Fetus,Child,emst,aggp,1,PART_OF_EMSTprtfAGGP
C0015965,C0021289,PART_OF,Fetus,"Infant, Newborn",emst,aggp,2,PART_OF_EMSTprtfAGGP
C0015965,C0678804,PART_OF,Fetus,prenatal,emst,aggp,19,PART_OF_EMSTprtfAGGP
C0015965,C1708480,PART_OF,Fetus,In Utero,emst,aggp,1,PART_OF_EMSTprtfAGGP
C0032043,C0021289,PART_OF,Placenta,"Infant, Newborn",emst,aggp,4,PART_OF_EMSTprtfAGGP
C0032043,C4551581,PART_OF,Placenta,Term Infant,emst,aggp,1,PART_OF_EMSTprtfAGGP
C0041633,C0021270,PART_OF,Umbilical cord structure,Infant,emst,aggp,1,PART_OF_EMSTprtfAGGP
C0041633,C0021289,PART_OF,Umbilical cord structure,"Infant, Newborn",emst,aggp,2,PART_OF_EMSTprtfAGGP
C0440731,C0001675,PART_OF,Fetal brain,Adult,emst,aggp,1,PART_OF_EMSTprtfAGGP
