cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001617,C0001675,PART_OF,Adrenal Cortex Hormones,Adult,horm,aggp,1,PART_OF_HORMprtfAGGP
C0001617,C0008059,PART_OF,Adrenal Cortex Hormones,Child,horm,aggp,1,PART_OF_HORMprtfAGGP
C0001617,C0021270,PART_OF,Adrenal Cortex Hormones,Infant,horm,aggp,1,PART_OF_HORMprtfAGGP
C0001617,C0021289,PART_OF,Adrenal Cortex Hormones,"Infant, Newborn",horm,aggp,1,PART_OF_HORMprtfAGGP
C0001617,C0678804,PART_OF,Adrenal Cortex Hormones,prenatal,horm,aggp,1,PART_OF_HORMprtfAGGP
C0002844,C0678804,PART_OF,Androgens,prenatal,horm,aggp,2,PART_OF_HORMprtfAGGP
C0014563,C0008059,PART_OF,epinephrine,Child,horm,aggp,1,PART_OF_HORMprtfAGGP
C0014939,C0678804,PART_OF,estrogens,prenatal,horm,aggp,4,PART_OF_HORMprtfAGGP
C0014939,C1708480,PART_OF,estrogens,In Utero,horm,aggp,2,PART_OF_HORMprtfAGGP
C0020268,C0021270,PART_OF,hydrocortisone,Infant,horm,aggp,1,PART_OF_HORMprtfAGGP
C0025219,C0205847,PART_OF,melatonin,Middle Aged,horm,aggp,2,PART_OF_HORMprtfAGGP
C0025219,C0238598,PART_OF,melatonin,Young Adult,horm,aggp,1,PART_OF_HORMprtfAGGP
C0030072,C0021270,PART_OF,oxymetholone,Infant,horm,aggp,1,PART_OF_HORMprtfAGGP
C0032952,C0008059,PART_OF,prednisone,Child,horm,aggp,18,PART_OF_HORMprtfAGGP
C0036884,C0678804,PART_OF,Gonadal Steroid Hormones,prenatal,horm,aggp,3,PART_OF_HORMprtfAGGP
C0039601,C0678804,PART_OF,testosterone,prenatal,horm,aggp,3,PART_OF_HORMprtfAGGP
C0040135,C0021289,PART_OF,Thyroid Hormones,"Infant, Newborn",horm,aggp,1,PART_OF_HORMprtfAGGP
C0065879,C0001675,PART_OF,megestrol acetate,Adult,horm,aggp,1,PART_OF_HORMprtfAGGP
C0065879,C0008059,PART_OF,megestrol acetate,Child,horm,aggp,1,PART_OF_HORMprtfAGGP
C0772289,C0008059,PART_OF,"corticotropin-releasing factor, human",Child,horm,aggp,1,PART_OF_HORMprtfAGGP
