cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0028630,C0042210,PART_OF,Nucleotides,Vaccines,nnon,aapp,1,PART_OF_NNONprtfAAPP
C0028630,C1422064,PART_OF,Nucleotides,ACE2 gene,nnon,aapp,1,PART_OF_NNONprtfAAPP
C0035736,C0021760,PART_OF,"RNA, Viral",interleukin-6,nnon,aapp,1,PART_OF_NNONprtfAAPP
C0035736,C1424633,PART_OF,"RNA, Viral",SYNCRIP gene,nnon,aapp,1,PART_OF_NNONprtfAAPP
C0035736,C1853685,PART_OF,"RNA, Viral",PBRM1 gene,nnon,aapp,1,PART_OF_NNONprtfAAPP
C0041984,C1417530,PART_OF,uridine,MYD88 gene,nnon,aapp,1,PART_OF_NNONprtfAAPP
C0600680,C1143976,PART_OF,Untranslated Regions,"TREM2 protein, human",nnon,aapp,1,PART_OF_NNONprtfAAPP
C1519595,C0017429,PART_OF,Transcript,"Genome, Human",nnon,aapp,1,PART_OF_NNONprtfAAPP
C2930586,C0042720,PART_OF,Short Hairpin RNA,Viral Genome,nnon,aapp,1,PART_OF_NNONprtfAAPP
C3272452,C1310463,PART_OF,Single-Stranded RNA,"IFIH1 protein, human",nnon,aapp,1,PART_OF_NNONprtfAAPP
