cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005456,C0004112,PART_OF,Binding Sites,Astrocytes,rcpt,cell,1,PART_OF_RCPTprtfCELL
C0005456,C0014792,PART_OF,Binding Sites,Erythrocytes,rcpt,cell,2,PART_OF_RCPTprtfCELL
C0005456,C0024432,PART_OF,Binding Sites,macrophage,rcpt,cell,2,PART_OF_RCPTprtfCELL
C0005456,C1267822,PART_OF,Binding Sites,CD4+ CD25+ Regulatory T Cells,rcpt,cell,1,PART_OF_RCPTprtfCELL
C0005456,C1269647,PART_OF,Binding Sites,Entire cell,rcpt,cell,1,PART_OF_RCPTprtfCELL
C0005456,C1953382,PART_OF,Binding Sites,Forward primer,rcpt,cell,7,PART_OF_RCPTprtfCELL
C0005456,C3251824,PART_OF,Binding Sites,Cell positive for CD4 antigen,rcpt,cell,1,PART_OF_RCPTprtfCELL
C0005456,C4277577,PART_OF,Binding Sites,A549 Cells,rcpt,cell,1,PART_OF_RCPTprtfCELL
C0230664,C0004827,PART_OF,Membrane receptor,Basophils,rcpt,cell,1,PART_OF_RCPTprtfCELL
C0230664,C0005821,PART_OF,Membrane receptor,Blood Platelets,rcpt,cell,4,PART_OF_RCPTprtfCELL
C0230664,C0007600,PART_OF,Membrane receptor,Cultured Cell Line,rcpt,cell,1,PART_OF_RCPTprtfCELL
C0230664,C0024432,PART_OF,Membrane receptor,macrophage,rcpt,cell,1,PART_OF_RCPTprtfCELL
C0230664,C0027836,PART_OF,Membrane receptor,Neuroglia,rcpt,cell,1,PART_OF_RCPTprtfCELL
C0230664,C0225336,PART_OF,Membrane receptor,Endothelial Cells,rcpt,cell,1,PART_OF_RCPTprtfCELL
C0230664,C1512977,PART_OF,Membrane receptor,Mammalian Cell,rcpt,cell,2,PART_OF_RCPTprtfCELL
C0599740,C0024432,PART_OF,pharmacophore,macrophage,rcpt,cell,1,PART_OF_RCPTprtfCELL
C0684163,C0009013,PART_OF,membrane-bound receptors,Clone Cells,rcpt,cell,1,PART_OF_RCPTprtfCELL
C0684163,C0039194,PART_OF,membrane-bound receptors,T-Lymphocyte,rcpt,cell,1,PART_OF_RCPTprtfCELL
