cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000934,C0011065,PRECEDES,Acclimatization,Cessation of life,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0000934,C0018270,PRECEDES,Acclimatization,Growth,orgf,orgf,2,PRECEDES_ORGFprcdORGF
C0003618,C0011065,PRECEDES,Desire for food,Cessation of life,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0004048,C0006106,PRECEDES,Inspiration function,Brain Chemistry,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0004048,C0037817,PRECEDES,Inspiration function,Speech,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0004048,C0231795,PRECEDES,Inspiration function,Normal respiratory function,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0004048,C0231800,PRECEDES,Inspiration function,"Expiration, function",orgf,orgf,6,PRECEDES_ORGFprcdORGF
C0004048,C0678723,PRECEDES,Inspiration function,Biologic Development,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0004048,C1260875,PRECEDES,Inspiration function,mating,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0005615,C0006147,PRECEDES,Birth,Breast Feeding,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0005615,C0009637,PRECEDES,Birth,Conception,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0005615,C0011065,PRECEDES,Birth,Cessation of life,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0005615,C0014948,PRECEDES,Birth,Estrus,orgf,orgf,2,PRECEDES_ORGFprcdORGF
C0005615,C0022864,PRECEDES,Birth,Labor (Childbirth),orgf,orgf,2,PRECEDES_ORGFprcdORGF
C0005615,C0026649,PRECEDES,Birth,Movement,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0005615,C0032961,PRECEDES,Birth,Pregnancy,orgf,orgf,6,PRECEDES_ORGFprcdORGF
C0005615,C0233081,PRECEDES,Birth,Normal labor,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0005615,C0678726,PRECEDES,Birth,Prenatal development,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0005615,C0950151,PRECEDES,Birth,Estrous Cycle,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0005615,C1135598,PRECEDES,Birth,postnatal development,orgf,orgf,2,PRECEDES_ORGFprcdORGF
C0005615,C1148523,PRECEDES,Birth,Childbirth,orgf,orgf,5,PRECEDES_ORGFprcdORGF
C0005615,C1260875,PRECEDES,Birth,mating,orgf,orgf,3,PRECEDES_ORGFprcdORGF
C0006159,C0009253,PRECEDES,Breeding,Coitus,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0006159,C0014948,PRECEDES,Breeding,Estrus,orgf,orgf,2,PRECEDES_ORGFprcdORGF
C0006159,C0282576,PRECEDES,Breeding,Molting,orgf,orgf,2,PRECEDES_ORGFprcdORGF
C0006159,C0677482,PRECEDES,Breeding,Parasitism,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0009253,C0015914,PRECEDES,Coitus,Fertilization,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0009637,C0032961,PRECEDES,Conception,Pregnancy,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0011065,C0018270,PRECEDES,Cessation of life,Growth,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0011065,C0037817,PRECEDES,Cessation of life,Speech,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0011065,C0699900,PRECEDES,Cessation of life,Catabolism,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0011135,C0013470,PRECEDES,Defecation,Eating,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0011167,C0004048,PRECEDES,Deglutition,Inspiration function,orgf,orgf,1,PRECEDES_ORGFprcdORGF
C0011167,C0013470,PRECEDES,Deglutition,Eating,orgf,orgf,1,PRECEDES_ORGFprcdORGF
