cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005529,C4691060,PRECEDES,"Biological Transport, Active",export across plasma membrane,phsf,celf,1,PRECEDES_PHSFprcdCELF
C0020964,C1155229,PRECEDES,Immunity,Humoral immune response,phsf,celf,1,PRECEDES_PHSFprcdCELF
C0243144,C0010813,PRECEDES,Uptake,Cytokinesis,phsf,celf,2,PRECEDES_PHSFprcdCELF
C0243144,C0014139,PRECEDES,Uptake,Endocytosis,phsf,celf,1,PRECEDES_PHSFprcdCELF
C0243144,C0037083,PRECEDES,Uptake,Signal Transduction,phsf,celf,1,PRECEDES_PHSFprcdCELF
C0243144,C0042774,PRECEDES,Uptake,Virus Replication,phsf,celf,1,PRECEDES_PHSFprcdCELF
C0243144,C0206430,PRECEDES,Uptake,Antigen Processing,phsf,celf,1,PRECEDES_PHSFprcdCELF
C0243144,C1326474,PRECEDES,Uptake,vesicle fusion,phsf,celf,1,PRECEDES_PHSFprcdCELF
C0243144,C1516014,PRECEDES,Uptake,Antigen Presentation Pathway,phsf,celf,1,PRECEDES_PHSFprcdCELF
C0243144,C1660751,PRECEDES,Uptake,cellular retention,phsf,celf,1,PRECEDES_PHSFprcdCELF
C0243144,C3156642,PRECEDES,Uptake,clathrin-dependent endocytosis,phsf,celf,1,PRECEDES_PHSFprcdCELF
C0442687,C0007587,PRECEDES,Physiological action,Cell Death,phsf,celf,1,PRECEDES_PHSFprcdCELF
C1704520,C0010813,PRECEDES,Primary Respiratory Mechanism,Cytokinesis,phsf,celf,1,PRECEDES_PHSFprcdCELF
