cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0020517,PREDISPOSES,Immunologic Adjuvants,Hypersensitivity,imft,patf,2,PREDISPOSES_IMFTpredPATF
C0001551,C0020963,PREDISPOSES,Immunologic Adjuvants,Immune Tolerance,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0001551,C0021368,PREDISPOSES,Immunologic Adjuvants,Inflammation,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0001551,C0151735,PREDISPOSES,Immunologic Adjuvants,Injection Site Reaction,imft,patf,2,PREDISPOSES_IMFTpredPATF
C0001551,C1155266,PREDISPOSES,Immunologic Adjuvants,Inflammatory Response,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0001697,C0021368,PREDISPOSES,Aeroallergen,Inflammation,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0002092,C0020517,PREDISPOSES,Allergens,Hypersensitivity,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0002092,C0021368,PREDISPOSES,Allergens,Inflammation,imft,patf,4,PREDISPOSES_IMFTpredPATF
C0002092,C0392707,PREDISPOSES,Allergens,Atopy,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0002131,C0020963,PREDISPOSES,Alloantigens,Immune Tolerance,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0002131,C0231178,PREDISPOSES,Alloantigens,Chronic failure,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0003316,C0020517,PREDISPOSES,Epitopes,Hypersensitivity,imft,patf,2,PREDISPOSES_IMFTpredPATF
C0003320,C0004368,PREDISPOSES,Antigens,Autoimmune state,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0003320,C0011304,PREDISPOSES,Antigens,Demyelination,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0003320,C0020517,PREDISPOSES,Antigens,Hypersensitivity,imft,patf,2,PREDISPOSES_IMFTpredPATF
C0003320,C0021368,PREDISPOSES,Antigens,Inflammation,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0003320,C0021375,PREDISPOSES,Antigens,allergic inflammation,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0003320,C1516670,PREDISPOSES,Antigens,Clonal Expansion,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0003342,C1155266,PREDISPOSES,"Antigens, Viral",Inflammatory Response,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0003342,C1520005,PREDISPOSES,"Antigens, Viral",Viral Pathogenesis,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0004632,C0232910,PREDISPOSES,Bacterial Vaccines,Teratogenesis,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0005525,C0021368,PREDISPOSES,Biological Response Modifiers,Inflammation,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0005525,C0036679,PREDISPOSES,Biological Response Modifiers,Diastasis,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0005525,C3714514,PREDISPOSES,Biological Response Modifiers,Infection,imft,patf,2,PREDISPOSES_IMFTpredPATF
C0021054,C0020517,PREDISPOSES,Immunologic Factors,Hypersensitivity,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0021081,C0815080,PREDISPOSES,Immunosuppressive Agents,organ rejection,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0021081,C3714514,PREDISPOSES,Immunosuppressive Agents,Infection,imft,patf,2,PREDISPOSES_IMFTpredPATF
C0021403,C4061114,PREDISPOSES,Influenza virus vaccine,Acute illness,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0032172,C0021368,PREDISPOSES,Platelet Activating Factor,Inflammation,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0282580,C0020517,PREDISPOSES,"Epitopes, T-Lymphocyte",Hypersensitivity,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0282581,C3805220,PREDISPOSES,"Epitopes, B-Lymphocyte",Marked Baseline Fetal Heart Rate Variability,imft,patf,1,PREDISPOSES_IMFTpredPATF
C0456981,C0021376,PREDISPOSES,Specific antigen,Chronic inflammation,imft,patf,1,PREDISPOSES_IMFTpredPATF
C1699926,C0443146,PREDISPOSES,fingolimod,Autoimmune reaction,imft,patf,1,PREDISPOSES_IMFTpredPATF
C2825347,C0020517,PREDISPOSES,"immunoglobulin A, human",Hypersensitivity,imft,patf,2,PREDISPOSES_IMFTpredPATF
C2825347,C0021368,PREDISPOSES,"immunoglobulin A, human",Inflammation,imft,patf,1,PREDISPOSES_IMFTpredPATF
