cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002199,C0035473,PREVENTS,Interferon-alpha,Rhinovirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0002199,C0597404,PREVENTS,Interferon-alpha,Respiratory viruses,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0011315,PREVENTS,Antibodies,Dengue Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0014383,PREVENTS,Antibodies,Enterovirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0019185,PREVENTS,Antibodies,Murine hepatitis virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0019682,PREVENTS,Antibodies,HIV,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0003241,C0021335,PREVENTS,Antibodies,Bovine herpesvirus 1,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0029341,PREVENTS,Antibodies,Orthomyxoviridae,aapp,virs,4,PREVENTS_AAPPprevVIRS
C0003241,C0034497,PREVENTS,Antibodies,rabies virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0035366,PREVENTS,Antibodies,Retroviridae,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0035691,PREVENTS,Antibodies,RNA Viruses,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0035870,PREVENTS,Antibodies,Rotavirus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0003241,C0042216,PREVENTS,Antibodies,vaccinia virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0042587,PREVENTS,Antibodies,Vesicular stomatitis Indiana virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0042776,PREVENTS,Antibodies,Virus,aapp,virs,39,PREVENTS_AAPPprevVIRS
C0003241,C0079337,PREVENTS,Antibodies,Feline Immunodeficiency Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0085150,PREVENTS,Antibodies,Filoviridae,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0206419,PREVENTS,Antibodies,Genus: Coronavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0206422,PREVENTS,Antibodies,Human coronavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0206466,PREVENTS,Antibodies,"Parvovirus, Canine",aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0206545,PREVENTS,Antibodies,Human respiratory syncytial virus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0003241,C0318711,PREVENTS,Antibodies,Human rotavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0318759,PREVENTS,Antibodies,"Dengue virus, type 2",aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0318793,PREVENTS,Antibodies,Zika Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C0318855,PREVENTS,Antibodies,Porcine epidemic diarrhea virus,aapp,virs,3,PREVENTS_AAPPprevVIRS
C0003241,C0597404,PREVENTS,Antibodies,Respiratory viruses,aapp,virs,3,PREVENTS_AAPPprevVIRS
C0003241,C0949892,PREVENTS,Antibodies,Ebolavirus,aapp,virs,3,PREVENTS_AAPPprevVIRS
C0003241,C1175743,PREVENTS,Antibodies,SARS coronavirus,aapp,virs,5,PREVENTS_AAPPprevVIRS
C0003241,C1319861,PREVENTS,Antibodies,Human parainfluenza viruses,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C3698360,PREVENTS,Antibodies,Middle East Respiratory Syndrome Coronavirus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0003241,C4484148,PREVENTS,Antibodies,Adenovirus 4,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C5141341,PREVENTS,Antibodies,Viral strain,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003241,C5203676,PREVENTS,Antibodies,2019 novel coronavirus,aapp,virs,7,PREVENTS_AAPPprevVIRS
C0003242,C0042776,PREVENTS,"Antibodies, Anti-Idiotypic",Virus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0003242,C0206545,PREVENTS,"Antibodies, Anti-Idiotypic",Human respiratory syncytial virus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0003250,C0029341,PREVENTS,Monoclonal Antibodies,Orthomyxoviridae,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003250,C0042776,PREVENTS,Monoclonal Antibodies,Virus,aapp,virs,8,PREVENTS_AAPPprevVIRS
C0003250,C0085294,PREVENTS,Monoclonal Antibodies,Hepatitis E virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003250,C0206419,PREVENTS,Monoclonal Antibodies,Genus: Coronavirus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0003250,C0206545,PREVENTS,Monoclonal Antibodies,Human respiratory syncytial virus,aapp,virs,4,PREVENTS_AAPPprevVIRS
C0003250,C0318793,PREVENTS,Monoclonal Antibodies,Zika Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003250,C0376536,PREVENTS,Monoclonal Antibodies,Porcine respiratory and reproductive syndrome virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003250,C0597404,PREVENTS,Monoclonal Antibodies,Respiratory viruses,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003250,C0598902,PREVENTS,Monoclonal Antibodies,murine nodule inducing virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0003250,C0949892,PREVENTS,Monoclonal Antibodies,Ebolavirus,aapp,virs,5,PREVENTS_AAPPprevVIRS
C0003250,C1175743,PREVENTS,Monoclonal Antibodies,SARS coronavirus,aapp,virs,5,PREVENTS_AAPPprevVIRS
C0003313,C0029341,PREVENTS,Immune complex,Orthomyxoviridae,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0009498,C0002331,PREVENTS,Complement System Proteins,Alphavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0009498,C0029341,PREVENTS,Complement System Proteins,Orthomyxoviridae,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0009498,C0042776,PREVENTS,Complement System Proteins,Virus,aapp,virs,3,PREVENTS_AAPPprevVIRS
C0009498,C0043125,PREVENTS,Complement System Proteins,West Nile virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0010592,C0019704,PREVENTS,cyclosporine,HIV-1,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0015980,C0014080,PREVENTS,interferon-beta,Encephalomyocarditis virus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0015980,C0042776,PREVENTS,interferon-beta,Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0015980,C3698360,PREVENTS,interferon-beta,Middle East Respiratory Syndrome Coronavirus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0018909,C0029341,PREVENTS,Hemagglutinin,Orthomyxoviridae,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0018909,C0029345,PREVENTS,Hemagglutinin,"Orthomyxovirus Type A, Porcine",aapp,virs,1,PREVENTS_AAPPprevVIRS
C0018909,C0042776,PREVENTS,Hemagglutinin,Virus,aapp,virs,3,PREVENTS_AAPPprevVIRS
C0018909,C1615607,PREVENTS,Hemagglutinin,"Influenza A Virus, H1N1 Subtype",aapp,virs,1,PREVENTS_AAPPprevVIRS
C0020838,C0029347,PREVENTS,Secretory Immunoglobulin A,influenza A virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0020838,C0035870,PREVENTS,Secretory Immunoglobulin A,Rotavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0020838,C0042776,PREVENTS,Secretory Immunoglobulin A,Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0020838,C0318855,PREVENTS,Secretory Immunoglobulin A,Porcine epidemic diarrhea virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0020838,C0949945,PREVENTS,Secretory Immunoglobulin A,Foot-and-Mouth Disease Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0020838,C3698360,PREVENTS,Secretory Immunoglobulin A,Middle East Respiratory Syndrome Coronavirus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0020852,C0597404,PREVENTS,immunoglobulin G,Respiratory viruses,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0020857,C0029341,PREVENTS,IgG2A,Orthomyxoviridae,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0020857,C0206545,PREVENTS,IgG2A,Human respiratory syncytial virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0020960,C0029341,PREVENTS,Immune Sera,Orthomyxoviridae,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0020960,C0042776,PREVENTS,Immune Sera,Virus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0020960,C0085294,PREVENTS,Immune Sera,Hepatitis E virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0020960,C0598902,PREVENTS,Immune Sera,murine nodule inducing virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0020960,C1175743,PREVENTS,Immune Sera,SARS coronavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021017,C0206545,PREVENTS,Immunoglobulin Isotypes,Human respiratory syncytial virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021027,C0042776,PREVENTS,Immunoglobulins,Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021027,C1613950,PREVENTS,Immunoglobulins,"Influenza A Virus, H5N1 Subtype",aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021740,C0042776,PREVENTS,Recombinant Interferon-gamma,Virus,aapp,virs,3,PREVENTS_AAPPprevVIRS
C0021743,C0029341,PREVENTS,Interferon Type I,Orthomyxoviridae,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021743,C0042776,PREVENTS,Interferon Type I,Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021747,C0003060,PREVENTS,Interferons,Animal Viruses,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021747,C0029341,PREVENTS,Interferons,Orthomyxoviridae,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021747,C0029347,PREVENTS,Interferons,influenza A virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021747,C0035691,PREVENTS,Interferons,RNA Viruses,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021747,C0042776,PREVENTS,Interferons,Virus,aapp,virs,3,PREVENTS_AAPPprevVIRS
C0021747,C0597404,PREVENTS,Interferons,Respiratory viruses,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021747,C1175743,PREVENTS,Interferons,SARS coronavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021747,C3698360,PREVENTS,Interferons,Middle East Respiratory Syndrome Coronavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021755,C0042776,PREVENTS,Interleukin-1,Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021760,C0029347,PREVENTS,interleukin-6,influenza A virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0021760,C0042776,PREVENTS,interleukin-6,Virus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0021918,C5203676,PREVENTS,intrinsic factor,2019 novel coronavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0022709,C5203676,PREVENTS,Peptidyl-Dipeptidase A,2019 novel coronavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0023206,C0042776,PREVENTS,Lectin,Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0026794,C0042776,PREVENTS,muramidase,Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0027597,C0042776,PREVENTS,Zinostatin,Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0027803,C0029345,PREVENTS,Neuraminidase,"Orthomyxovirus Type A, Porcine",aapp,virs,1,PREVENTS_AAPPprevVIRS
C0027803,C0042776,PREVENTS,Neuraminidase,Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0027803,C1615607,PREVENTS,Neuraminidase,"Influenza A Virus, H1N1 Subtype",aapp,virs,1,PREVENTS_AAPPprevVIRS
C0034862,C0042338,PREVENTS,"Vaccines, Recombinant","herpesvirus 3, human",aapp,virs,1,PREVENTS_AAPPprevVIRS
C0034862,C0042776,PREVENTS,"Vaccines, Recombinant",Virus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0034862,C0206545,PREVENTS,"Vaccines, Recombinant",Human respiratory syncytial virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0034862,C1175743,PREVENTS,"Vaccines, Recombinant",SARS coronavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0034862,C1258014,PREVENTS,"Vaccines, Recombinant",Human Metapneumovirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0034862,C5203676,PREVENTS,"Vaccines, Recombinant",2019 novel coronavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0040005,C0042776,PREVENTS,threonine,Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0041242,C0042776,PREVENTS,Trypsin Inhibitors,Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0001483,PREVENTS,Vaccines,Adenoviruses,aapp,virs,3,PREVENTS_AAPPprevVIRS
C0042210,C0002331,PREVENTS,Vaccines,Alphavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0004419,PREVENTS,Vaccines,Infectious bronchitis virus,aapp,virs,4,PREVENTS_AAPPprevVIRS
C0042210,C0009743,PREVENTS,Vaccines,"Hemorrhagic Fever Virus, Crimean-Congo",aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0011315,PREVENTS,Vaccines,Dengue Virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0013480,PREVENTS,Vaccines,Ebola virus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0042210,C0014384,PREVENTS,Vaccines,"Enteroviruses, Porcine",aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0014644,PREVENTS,Vaccines,Epstein-Barr virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0014665,PREVENTS,Vaccines,"Herpesvirus 1, Equid",aapp,virs,2,PREVENTS_AAPPprevVIRS
C0042210,C0019369,PREVENTS,Vaccines,Herpesviridae,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0019378,PREVENTS,Vaccines,"Herpesvirus 1, Cercopithecine",aapp,virs,2,PREVENTS_AAPPprevVIRS
C0042210,C0019682,PREVENTS,Vaccines,HIV,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0042210,C0019704,PREVENTS,Vaccines,HIV-1,aapp,virs,4,PREVENTS_AAPPprevVIRS
C0042210,C0021344,PREVENTS,Vaccines,human papillomavirus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0025011,PREVENTS,Vaccines,Measles virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0026398,PREVENTS,Vaccines,Moloney Leukemia Virus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0042210,C0027984,PREVENTS,Vaccines,Newcastle disease virus,aapp,virs,5,PREVENTS_AAPPprevVIRS
C0042210,C0028422,PREVENTS,Vaccines,Norwalk virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0029017,PREVENTS,Vaccines,Oncogenic Viruses,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0029341,PREVENTS,Vaccines,Orthomyxoviridae,aapp,virs,16,PREVENTS_AAPPprevVIRS
C0042210,C0029348,PREVENTS,Vaccines,influenza B virus,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0030392,PREVENTS,Vaccines,"Parainfluenza Virus 3, Human",aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0032868,PREVENTS,Vaccines,Poxviridae,aapp,virs,1,PREVENTS_AAPPprevVIRS
C0042210,C0034497,PREVENTS,Vaccines,rabies virus,aapp,virs,2,PREVENTS_AAPPprevVIRS
C0042210,C0035236,PREVENTS,Vaccines,Respiratory syncytial virus,aapp,virs,2,PREVENTS_AAPPprevVIRS
