cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002615,C0042776,PREVENTS,ammonium chloride,Virus,inch,virs,1,PREVENTS_INCHprevVIRS
C0002615,C0999806,PREVENTS,ammonium chloride,Human papillomavirus 16,inch,virs,1,PREVENTS_INCHprevVIRS
C0020281,C5203676,PREVENTS,hydrogen peroxide,2019 novel coronavirus,inch,virs,1,PREVENTS_INCHprevVIRS
C0031700,C0042776,PREVENTS,phosphoric acid,Virus,inch,virs,2,PREVENTS_INCHprevVIRS
C0037518,C0206422,PREVENTS,sodium hypochlorite,Human coronavirus,inch,virs,1,PREVENTS_INCHprevVIRS
C0037518,C0949920,PREVENTS,sodium hypochlorite,Norovirus,inch,virs,1,PREVENTS_INCHprevVIRS
C0037518,C1319861,PREVENTS,sodium hypochlorite,Human parainfluenza viruses,inch,virs,1,PREVENTS_INCHprevVIRS
C0043047,C0042776,PREVENTS,water,Virus,inch,virs,3,PREVENTS_INCHprevVIRS
C0043047,C0085294,PREVENTS,water,Hepatitis E virus,inch,virs,1,PREVENTS_INCHprevVIRS
C0051522,C0318793,PREVENTS,aluminum sulfate,Zika Virus,inch,virs,2,PREVENTS_INCHprevVIRS
C0055370,C0013534,PREVENTS,chlorine dioxide,Echovirus,inch,virs,1,PREVENTS_INCHprevVIRS
C0055370,C0035870,PREVENTS,chlorine dioxide,Rotavirus,inch,virs,1,PREVENTS_INCHprevVIRS
C0055370,C0206435,PREVENTS,chlorine dioxide,poliovirus,inch,virs,1,PREVENTS_INCHprevVIRS
C0055370,C1440516,PREVENTS,chlorine dioxide,Coxsackievirus B5,inch,virs,1,PREVENTS_INCHprevVIRS
C0064990,C0035870,PREVENTS,calcium oxide,Rotavirus,inch,virs,1,PREVENTS_INCHprevVIRS
C0351669,C0035236,PREVENTS,Zinc salts,Respiratory syncytial virus,inch,virs,1,PREVENTS_INCHprevVIRS
C0772313,C0042776,PREVENTS,colloidal silver,Virus,inch,virs,1,PREVENTS_INCHprevVIRS
C2919405,C0042776,PREVENTS,Tap water,Virus,inch,virs,1,PREVENTS_INCHprevVIRS
C3536832,C0029341,PREVENTS,air,Orthomyxoviridae,inch,virs,1,PREVENTS_INCHprevVIRS
