cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001962,C0042776,PREVENTS,ethanol,Virus,orch,virs,4,PREVENTS_ORCHprevVIRS
C0001962,C0206419,PREVENTS,ethanol,Genus: Coronavirus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0001962,C0949945,PREVENTS,ethanol,Foot-and-Mouth Disease Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0002403,C0029347,PREVENTS,amantadine,influenza A virus,orch,virs,2,PREVENTS_ORCHprevVIRS
C0002403,C0042776,PREVENTS,amantadine,Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0003968,C0029341,PREVENTS,ascorbic acid,Orthomyxoviridae,orch,virs,1,PREVENTS_ORCHprevVIRS
C0008196,C0042776,PREVENTS,chlorhexidine,Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0008269,C0042776,PREVENTS,chloroquine,Virus,orch,virs,5,PREVENTS_ORCHprevVIRS
C0008269,C2986384,PREVENTS,chloroquine,Enveloped Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0008269,C5203676,PREVENTS,chloroquine,2019 novel coronavirus,orch,virs,5,PREVENTS_ORCHprevVIRS
C0008286,C0318855,PREVENTS,chlorpromazine,Porcine epidemic diarrhea virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0008286,C3698360,PREVENTS,chlorpromazine,Middle East Respiratory Syndrome Coronavirus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0008809,C0005670,PREVENTS,ciprofloxacin,BK Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0009008,C0949892,PREVENTS,clomiphene,Ebolavirus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0009262,C0001483,PREVENTS,colchicine,Adenoviruses,orch,virs,1,PREVENTS_ORCHprevVIRS
C0009262,C0042776,PREVENTS,colchicine,Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0012403,C0085305,PREVENTS,dimethyl sulfoxide,Feline infectious peritonitis virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0012403,C0936087,PREVENTS,dimethyl sulfoxide,"Coronavirus, Feline",orch,virs,1,PREVENTS_ORCHprevVIRS
C0014695,C0011315,PREVENTS,ergocalciferol,Dengue Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0014695,C0029341,PREVENTS,ergocalciferol,Orthomyxoviridae,orch,virs,1,PREVENTS_ORCHprevVIRS
C0014695,C0206545,PREVENTS,ergocalciferol,Human respiratory syncytial virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0014695,C1175743,PREVENTS,ergocalciferol,SARS coronavirus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0015153,C0206390,PREVENTS,eugenol,Phage MS2,orch,virs,1,PREVENTS_ORCHprevVIRS
C0020336,C0042776,PREVENTS,hydroxychloroquine,Virus,orch,virs,2,PREVENTS_ORCHprevVIRS
C0020336,C1175743,PREVENTS,hydroxychloroquine,SARS coronavirus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0020336,C2986384,PREVENTS,hydroxychloroquine,Enveloped Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0020336,C5203676,PREVENTS,hydroxychloroquine,2019 novel coronavirus,orch,virs,6,PREVENTS_ORCHprevVIRS
C0021246,C0206421,PREVENTS,indomethacin,"Coronavirus, Canine",orch,virs,1,PREVENTS_ORCHprevVIRS
C0024730,C0042776,PREVENTS,mannitol,Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0025242,C0318793,PREVENTS,memantine,Zika Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0028017,C0318793,PREVENTS,niclosamide,Zika Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0028017,C3698360,PREVENTS,niclosamide,Middle East Respiratory Syndrome Coronavirus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0028066,C0042776,PREVENTS,nifedipine,Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0028131,C0042776,PREVENTS,Nitriles,Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0028247,C0042776,PREVENTS,Nocodazole,Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0032594,C0019682,PREVENTS,Polysaccharides,HIV,orch,virs,1,PREVENTS_ORCHprevVIRS
C0032594,C0042776,PREVENTS,Polysaccharides,Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0032857,C1175743,PREVENTS,povidone-iodine,SARS coronavirus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0034392,C0006322,PREVENTS,quercetin,Human poliovirus 1,orch,virs,1,PREVENTS_ORCHprevVIRS
C0034392,C0029343,PREVENTS,quercetin,"Influenza A Virus, Avian",orch,virs,1,PREVENTS_ORCHprevVIRS
C0034392,C0030392,PREVENTS,quercetin,"Parainfluenza Virus 3, Human",orch,virs,1,PREVENTS_ORCHprevVIRS
C0034392,C0035236,PREVENTS,quercetin,Respiratory syncytial virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0034392,C0206558,PREVENTS,quercetin,Simplexvirus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0035527,C5203676,PREVENTS,riboflavin,2019 novel coronavirus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0036079,C0035473,PREVENTS,salicylic acid,Rhinovirus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0039294,C0042776,PREVENTS,tannic acid,Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0039294,C0949892,PREVENTS,tannic acid,Ebolavirus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0039512,C0206422,PREVENTS,teniposide,Human coronavirus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0052080,C0949880,PREVENTS,antineoplaston A10,Human coronavirus 229E,orch,virs,1,PREVENTS_ORCHprevVIRS
C0052080,C4698070,PREVENTS,antineoplaston A10,229E,orch,virs,1,PREVENTS_ORCHprevVIRS
C0052919,C0042776,PREVENTS,bafilomycin A1,Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0052927,C0205725,PREVENTS,baicalein,"herpesvirus 5, human",orch,virs,2,PREVENTS_ORCHprevVIRS
C0054258,C0013480,PREVENTS,Butocin,Ebola virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0057239,C0318855,PREVENTS,decanoic acid,Porcine epidemic diarrhea virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0058231,C0019682,PREVENTS,methylsulfonylmethane,HIV,orch,virs,2,PREVENTS_ORCHprevVIRS
C0059396,C0042776,PREVENTS,enviroxime,Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0060825,C0042776,PREVENTS,fumaric acid,Virus,orch,virs,1,PREVENTS_ORCHprevVIRS
C0061751,C0035691,PREVENTS,glycyrrhizic acid,RNA Viruses,orch,virs,1,PREVENTS_ORCHprevVIRS
C0061751,C0376536,PREVENTS,glycyrrhizic acid,Porcine respiratory and reproductive syndrome virus,orch,virs,1,PREVENTS_ORCHprevVIRS
