cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000873,C0020052,PROCESS_OF,Academic Problem,Households,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0003126,C0015576,PROCESS_OF,Anosmia,Family,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0003126,C0086282,PROCESS_OF,Anosmia,Family member,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0003126,C0162409,PROCESS_OF,Anosmia,spouse,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0005911,C0020052,PROCESS_OF,Body Weight Changes,Households,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0007294,C0015576,PROCESS_OF,Genetic Carriers,Family,fndg,famg,3,PROCESS_OF_FNDGprcfFAMG
C0007294,C0015671,PROCESS_OF,Genetic Carriers,Father (person),fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0007294,C0026591,PROCESS_OF,Genetic Carriers,Mother (person),fndg,famg,6,PROCESS_OF_FNDGprcfFAMG
C0007294,C0030551,PROCESS_OF,Genetic Carriers,parent,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0007294,C0037047,PROCESS_OF,Genetic Carriers,Sibling,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0007294,C0682323,PROCESS_OF,Genetic Carriers,Partner in relationship,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0009488,C0015576,PROCESS_OF,Comorbidity,Family,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0009488,C0020052,PROCESS_OF,Comorbidity,Households,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0009488,C0026591,PROCESS_OF,Comorbidity,Mother (person),fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0009488,C0029039,PROCESS_OF,Comorbidity,Is an only child,fndg,famg,2,PROCESS_OF_FNDGprcfFAMG
C0009488,C0030551,PROCESS_OF,Comorbidity,parent,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0009488,C0080103,PROCESS_OF,Comorbidity,Relative (related person),fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0009488,C0086282,PROCESS_OF,Comorbidity,Family member,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0009488,C0162409,PROCESS_OF,Comorbidity,spouse,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0009488,C0337547,PROCESS_OF,Comorbidity,Younger child,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0009488,C0337573,PROCESS_OF,Comorbidity,Grandson,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0009488,C0682323,PROCESS_OF,Comorbidity,Partner in relationship,fndg,famg,1,PROCESS_OF_FNDGprcfFAMG
C0009488,C3274946,PROCESS_OF,Comorbidity,Decedent,fndg,famg,5,PROCESS_OF_FNDGprcfFAMG
C0011053,C0015576,PROCESS_OF,Deafness,Family,fndg,famg,2,PROCESS_OF_FNDGprcfFAMG
C0013658,C0015576,PROCESS_OF,Educational Status,Family,fndg,famg,2,PROCESS_OF_FNDGprcfFAMG
