cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005603,C0026809,PROCESS_OF,Birth History,Mus,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0030232,C0036945,PROCESS_OF,Pallor,Sheep,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0087130,C0034693,PROCESS_OF,Uncertainty,Rattus norvegicus,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0150312,C0007450,PROCESS_OF,Present,Felis catus,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0150312,C0325052,PROCESS_OF,Present,Meles meles,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0221198,C0034693,PROCESS_OF,Lesion,Rattus norvegicus,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0221198,C0085979,PROCESS_OF,Lesion,Cavia,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0231221,C0324889,PROCESS_OF,Asymptomatic,Old World rabbit,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0232720,C0025919,PROCESS_OF,Pale feces (finding),"Mice, Inbred BALB C",fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0240968,C0034693,PROCESS_OF,SCROTAL CYANOSIS,Rattus norvegicus,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0278252,C0012984,PROCESS_OF,Prognosis bad,Canis familiaris,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0332149,C0007450,PROCESS_OF,Possible,Felis catus,fndg,mamm,2,PROCESS_OF_FNDGprcfMAMM
C0332149,C0012984,PROCESS_OF,Possible,Canis familiaris,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0332149,C0015859,PROCESS_OF,Possible,Ferrets,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0332149,C0026447,PROCESS_OF,Possible,Monkeys,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0332219,C0007450,PROCESS_OF,Easy,Felis catus,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0439662,C0007450,PROCESS_OF,Immune,Felis catus,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0522224,C0019944,PROCESS_OF,Paralysed,Equus caballus,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C0522224,C0036945,PROCESS_OF,Paralysed,Sheep,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C1299586,C0007450,PROCESS_OF,Has difficulty doing (qualifier value),Felis catus,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C1299586,C0008139,PROCESS_OF,Has difficulty doing (qualifier value),Chiroptera,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C1545588,C0024398,PROCESS_OF,Protection,Macaca,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C1659989,C0039005,PROCESS_OF,Respiratory problem,Family suidae,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C1836348,C0026809,PROCESS_OF,Severe disorder,Mus,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C1836348,C0237798,PROCESS_OF,Severe disorder,Nonhuman primate,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C2945640,C0026809,PROCESS_OF,compromise,Mus,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C4050466,C0033147,PROCESS_OF,Borg Category-Ratio 10 Perceived Exertion Score 5,Primates,fndg,mamm,2,PROCESS_OF_FNDGprcfMAMM
C4050466,C0039005,PROCESS_OF,Borg Category-Ratio 10 Perceived Exertion Score 5,Family suidae,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
C4050466,C0237798,PROCESS_OF,Borg Category-Ratio 10 Perceived Exertion Score 5,Nonhuman primate,fndg,mamm,3,PROCESS_OF_FNDGprcfMAMM
C4313322,C0237798,PROCESS_OF,Alveolar damage,Nonhuman primate,fndg,mamm,1,PROCESS_OF_FNDGprcfMAMM
