cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003467,C0031268,PROCESS_OF,Anxiety,Pet Animal,mobd,anim,2,PROCESS_OF_MOBDprcfANIM
C0004930,C0003064,PROCESS_OF,Behavior Disorders,"Animals, Laboratory",mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0004936,C0599779,PROCESS_OF,Mental disorders,Animal Model,mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0009676,C0003070,PROCESS_OF,Confusion,"Animals, Wild",mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0011206,C0683949,PROCESS_OF,Delirium,Animal Study,mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0011581,C0596888,PROCESS_OF,Depressive disorder,mature animal,mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0011581,C0598744,PROCESS_OF,Depressive disorder,juvenile animal,mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0011581,C0599779,PROCESS_OF,Depressive disorder,Animal Model,mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0024809,C0012656,PROCESS_OF,Marijuana Abuse,Disease Vectors,mobd,anim,3,PROCESS_OF_MOBDprcfANIM
C0233514,C0003063,PROCESS_OF,Abnormal behavior,"Animals, Domestic",mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0233514,C0031268,PROCESS_OF,Abnormal behavior,Pet Animal,mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0233577,C0599779,PROCESS_OF,Mimicry,Animal Model,mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0236865,C0031268,PROCESS_OF,Relational problem NOS,Pet Animal,mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0242510,C2936506,PROCESS_OF,Drug usage,Livestock,mobd,anim,2,PROCESS_OF_MOBDprcfANIM
C0270500,C0562690,PROCESS_OF,Coprophilia (disorder),Carnivore,mobd,anim,2,PROCESS_OF_MOBDprcfANIM
C0338656,C0599779,PROCESS_OF,Impaired cognition,Animal Model,mobd,anim,2,PROCESS_OF_MOBDprcfANIM
C0338656,C0683949,PROCESS_OF,Impaired cognition,Animal Study,mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0394996,C2936506,PROCESS_OF,Acute alcoholic intoxication,Livestock,mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0581386,C0031268,PROCESS_OF,Chronic anxiety,Pet Animal,mobd,anim,1,PROCESS_OF_MOBDprcfANIM
C0858952,C0012656,PROCESS_OF,silence,Disease Vectors,mobd,anim,2,PROCESS_OF_MOBDprcfANIM
C0858952,C0599779,PROCESS_OF,silence,Animal Model,mobd,anim,2,PROCESS_OF_MOBDprcfANIM
C0858952,C0869004,PROCESS_OF,silence,pests,mobd,anim,1,PROCESS_OF_MOBDprcfANIM
