cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000936,C2986594,PROCESS_OF,Visual Accommodation,Mouse Model,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0005974,C1516211,PROCESS_OF,Bone Resorption,Cancer Model,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0013936,C0012644,PROCESS_OF,Embryonic Development,Animal Disease Models,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0013936,C2986594,PROCESS_OF,Embryonic Development,Mouse Model,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0018129,C2986594,PROCESS_OF,Graft Rejection,Mouse Model,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0018131,C2986594,PROCESS_OF,Graft Survival,Mouse Model,ortf,emod,2,PROCESS_OF_ORTFprcfEMOD
C0020965,C0012644,PROCESS_OF,Active immunity,Animal Disease Models,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0022566,C2986594,PROCESS_OF,"Keratinization, function",Mouse Model,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0027540,C0014072,PROCESS_OF,Necrosis,Experimental Autoimmune Encephalomyelitis,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0032058,C2986594,PROCESS_OF,Placentation,Mouse Model,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0032173,C2986594,PROCESS_OF,Platelet Activation,Mouse Model,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0034963,C0012644,PROCESS_OF,Natural regeneration,Animal Disease Models,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0036658,C0012644,PROCESS_OF,Esthesia,Animal Disease Models,ortf,emod,2,PROCESS_OF_ORTFprcfEMOD
C0036658,C2986594,PROCESS_OF,Esthesia,Mouse Model,ortf,emod,2,PROCESS_OF_ORTFprcfEMOD
C0042396,C0012644,PROCESS_OF,Vascular constriction (function),Animal Disease Models,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0079043,C2986594,PROCESS_OF,Bronchoconstriction,Mouse Model,ortf,emod,2,PROCESS_OF_ORTFprcfEMOD
C0080310,C2986594,PROCESS_OF,Left Ventricular Function,Mouse Model,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0162337,C2986594,PROCESS_OF,Vascular Permeability,Mouse Model,ortf,emod,2,PROCESS_OF_ORTFprcfEMOD
C0231921,C0012644,PROCESS_OF,Pulmonary function,Animal Disease Models,ortf,emod,3,PROCESS_OF_ORTFprcfEMOD
C0231921,C2986594,PROCESS_OF,Pulmonary function,Mouse Model,ortf,emod,2,PROCESS_OF_ORTFprcfEMOD
C0231940,C0012644,PROCESS_OF,Alveolar ventilation function,Animal Disease Models,ortf,emod,2,PROCESS_OF_ORTFprcfEMOD
C0232164,C0012644,PROCESS_OF,Cardiac function,Animal Disease Models,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0232164,C1519606,PROCESS_OF,Cardiac function,Transgenic Model,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0232164,C2986594,PROCESS_OF,Cardiac function,Mouse Model,ortf,emod,2,PROCESS_OF_ORTFprcfEMOD
C0237543,C2986594,PROCESS_OF,motor coordination,Mouse Model,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0282557,C0012644,PROCESS_OF,"Immune Response, Mucosal",Animal Disease Models,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0282557,C2986594,PROCESS_OF,"Immune Response, Mucosal",Mouse Model,ortf,emod,2,PROCESS_OF_ORTFprcfEMOD
C0282558,C0012644,PROCESS_OF,"Immunity, Mucosal",Animal Disease Models,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0282558,C2986594,PROCESS_OF,"Immunity, Mucosal",Mouse Model,ortf,emod,2,PROCESS_OF_ORTFprcfEMOD
C0301872,C0012644,PROCESS_OF,Immune response,Animal Disease Models,ortf,emod,11,PROCESS_OF_ORTFprcfEMOD
C0301872,C0014072,PROCESS_OF,Immune response,Experimental Autoimmune Encephalomyelitis,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0301872,C1520166,PROCESS_OF,Immune response,Xenograft Model,ortf,emod,1,PROCESS_OF_ORTFprcfEMOD
C0301872,C2986594,PROCESS_OF,Immune response,Mouse Model,ortf,emod,37,PROCESS_OF_ORTFprcfEMOD
