cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0015731,C0012939,PRODUCES,Feathers,"DNA, Viral",bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0022677,C0286079,PRODUCES,"Kidney Tubules, Proximal",cidofovir,bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0023884,C2930586,PRODUCES,Liver,Short Hairpin RNA,bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0030274,C0006556,PRODUCES,Pancreas,"DNA, Complementary",bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0037949,C0006556,PRODUCES,Vertebral column,"DNA, Complementary",bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0037993,C0006556,PRODUCES,Spleen,"DNA, Complementary",bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0039259,C0028630,PRODUCES,Tail,Nucleotides,bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0175518,C0006556,PRODUCES,Nucleus solitarius,"DNA, Complementary",bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0205950,C1519595,PRODUCES,Calvaria,Transcript,bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0230425,C0006556,PRODUCES,Structure of right thigh,"DNA, Complementary",bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0230425,C0057470,PRODUCES,Structure of right thigh,deoxyuridine triphosphate,bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0230425,C0206415,PRODUCES,Structure of right thigh,Oligonucleotide Primers,bpoc,nnon,2,PRODUCES_BPOCprodNNON
C0262304,C0035525,PRODUCES,pars postrema of the ventral lateral nucleus,ribavirin,bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0262304,C0599566,PRODUCES,pars postrema of the ventral lateral nucleus,expression vector,bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0262304,C2930586,PRODUCES,pars postrema of the ventral lateral nucleus,Short Hairpin RNA,bpoc,nnon,1,PRODUCES_BPOCprodNNON
C0934502,C1519595,PRODUCES,anatomical layer,Transcript,bpoc,nnon,1,PRODUCES_BPOCprodNNON
C1184743,C0028630,PRODUCES,bony process,Nucleotides,bpoc,nnon,1,PRODUCES_BPOCprodNNON
