cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004461,C0006685,PRODUCES,Axon,Calcium Channel,celc,aapp,1,PRODUCES_CELCprodAAPP
C0004461,C0013355,PRODUCES,Axon,Dynorphins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0004461,C0016904,PRODUCES,Axon,gamma-aminobutyric acid,celc,aapp,1,PRODUCES_CELCprodAAPP
C0004461,C0120285,PRODUCES,Axon,Green Fluorescent Proteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0004461,C0533925,PRODUCES,Axon,polysialyl neural cell adhesion molecule,celc,aapp,1,PRODUCES_CELCprodAAPP
C0004461,C2744579,PRODUCES,Axon,"ATP8A2 protein, human",celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0003241,PRODUCES,Plasma membrane,Antibodies,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0017376,PRODUCES,Plasma membrane,"Genes, Viral",celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0018284,PRODUCES,Plasma membrane,Growth Factor,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0022917,PRODUCES,Plasma membrane,Lactate Dehydrogenase,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0035544,PRODUCES,Plasma membrane,Ribonucleoproteins,celc,aapp,4,PRODUCES_CELCprodAAPP
C0007603,C0042717,PRODUCES,Plasma membrane,Viral Fusion Proteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0042720,PRODUCES,Plasma membrane,Viral Genome,celc,aapp,5,PRODUCES_CELCprodAAPP
C0007603,C0042736,PRODUCES,Plasma membrane,Viral Proteins,celc,aapp,2,PRODUCES_CELCprodAAPP
C0007603,C0056889,PRODUCES,Plasma membrane,Cystic Fibrosis Transmembrane Conductance Regulator,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0079189,PRODUCES,Plasma membrane,cytokine,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0162768,PRODUCES,Plasma membrane,Fusion protein,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0169911,PRODUCES,Plasma membrane,messenger protein,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0178774,PRODUCES,Plasma membrane,Nucleocapsid,celc,aapp,6,PRODUCES_CELCprodAAPP
C0007603,C0440471,PRODUCES,Plasma membrane,Genetic Materials,celc,aapp,2,PRODUCES_CELCprodAAPP
C0007603,C0597357,PRODUCES,Plasma membrane,receptor,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0597427,PRODUCES,Plasma membrane,secretory protein,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0599561,PRODUCES,Plasma membrane,e protein,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C1417108,PRODUCES,Plasma membrane,RAB8A gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C1419374,PRODUCES,Plasma membrane,RGS4 gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C3812695,PRODUCES,Plasma membrane,LPAR3 wt Allele,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007623,C0023820,PRODUCES,Cell Wall,Lipoproteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007623,C0034861,PRODUCES,Cell Wall,Recombinant Proteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007623,C0071313,PRODUCES,Cell Wall,"plY protein, Streptococcus pneumoniae",celc,aapp,1,PRODUCES_CELCprodAAPP
C0007623,C0079189,PRODUCES,Cell Wall,cytokine,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007623,C2744579,PRODUCES,Cell Wall,"ATP8A2 protein, human",celc,aapp,1,PRODUCES_CELCprodAAPP
C0007625,C0003250,PRODUCES,Cell-Free System,Monoclonal Antibodies,celc,aapp,2,PRODUCES_CELCprodAAPP
C0007625,C0034861,PRODUCES,Cell-Free System,Recombinant Proteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007625,C0042287,PRODUCES,Cell-Free System,Valinomycin,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007625,C0751973,PRODUCES,Cell-Free System,Proteome,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007637,C0004627,PRODUCES,Inclusion Bodies,Bacterial Proteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007637,C0023206,PRODUCES,Inclusion Bodies,Lectin,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007637,C1413584,PRODUCES,Inclusion Bodies,COL4A3BP gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007637,C1710492,PRODUCES,Inclusion Bodies,LINC01194 gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0008266,C0034861,PRODUCES,Chloroplasts,Recombinant Proteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0008266,C0042210,PRODUCES,Chloroplasts,Vaccines,celc,aapp,1,PRODUCES_CELCprodAAPP
C0008266,C1142652,PRODUCES,Chloroplasts,"NR4A2 protein, human",celc,aapp,1,PRODUCES_CELCprodAAPP
C0008266,C1412113,PRODUCES,Chloroplasts,SLC33A1 gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0008266,C1428925,PRODUCES,Chloroplasts,PLB1 gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0008668,C0086376,PRODUCES,"Chromosomes, Human, Pair 5",GTP-Binding Proteins,celc,aapp,2,PRODUCES_CELCprodAAPP
C0008778,C0164313,PRODUCES,Cilia,"Receptors, Odorant",celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C0002520,PRODUCES,Cytoplasm,Amino Acids,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C0009325,PRODUCES,Cytoplasm,collagen,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C0021743,PRODUCES,Cytoplasm,Interferon Type I,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C0021747,PRODUCES,Cytoplasm,Interferons,celc,aapp,2,PRODUCES_CELCprodAAPP
C0010834,C0032583,PRODUCES,Cytoplasm,Polyproteins,celc,aapp,2,PRODUCES_CELCprodAAPP
C0010834,C0034861,PRODUCES,Cytoplasm,Recombinant Proteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C0035379,PRODUCES,Cytoplasm,RNA-Directed DNA Polymerase,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C0042210,PRODUCES,Cytoplasm,Vaccines,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C0042720,PRODUCES,Cytoplasm,Viral Genome,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C0042736,PRODUCES,Cytoplasm,Viral Proteins,celc,aapp,4,PRODUCES_CELCprodAAPP
C0010834,C0042738,PRODUCES,Cytoplasm,Viral Structural Proteins,celc,aapp,1,PRODUCES_CELCprodAAPP
