cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007603,C0003316,PRODUCES,Plasma membrane,Epitopes,celc,imft,1,PRODUCES_CELCprodIMFT
C0007603,C0003339,PRODUCES,Plasma membrane,Surface Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C0007603,C0376613,PRODUCES,Plasma membrane,"Vaccines, DNA",celc,imft,1,PRODUCES_CELCprodIMFT
C0007623,C0003320,PRODUCES,Cell Wall,Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C0008266,C0003320,PRODUCES,Chloroplasts,Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C0008266,C0358297,PRODUCES,Chloroplasts,Anthrax Vaccines,celc,imft,1,PRODUCES_CELCprodIMFT
C0014776,C0003320,PRODUCES,Red Cell Ghost,Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C0014776,C0003333,PRODUCES,Red Cell Ghost,"Antigens, Heterophile",celc,imft,1,PRODUCES_CELCprodIMFT
C0014776,C0368898,PRODUCES,Red Cell Ghost,Chlamydia antigen,celc,imft,1,PRODUCES_CELCprodIMFT
C0029219,C0003320,PRODUCES,Organelles,Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C0031310,C0003320,PRODUCES,Phagosomes,Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C0031921,C0069180,PRODUCES,Bacterial Fimbria,O Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C0042760,C0003316,PRODUCES,Virion,Epitopes,celc,imft,1,PRODUCES_CELCprodIMFT
C0042760,C0003320,PRODUCES,Virion,Antigens,celc,imft,5,PRODUCES_CELCprodIMFT
C0042760,C0003342,PRODUCES,Virion,"Antigens, Viral",celc,imft,5,PRODUCES_CELCprodIMFT
C0042760,C0042211,PRODUCES,Virion,"Vaccines, Attenuated",celc,imft,1,PRODUCES_CELCprodIMFT
C0042760,C0042742,PRODUCES,Virion,Viral Vaccines,celc,imft,1,PRODUCES_CELCprodIMFT
C0175996,C0003320,PRODUCES,Protoplasm,Antigens,celc,imft,4,PRODUCES_CELCprodIMFT
C0175996,C0003333,PRODUCES,Protoplasm,"Antigens, Heterophile",celc,imft,1,PRODUCES_CELCprodIMFT
C0175996,C0376613,PRODUCES,Protoplasm,"Vaccines, DNA",celc,imft,1,PRODUCES_CELCprodIMFT
C0230625,C0003320,PRODUCES,cell process structure,Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C0230625,C0369498,PRODUCES,cell process structure,Human immunodeficiency virus 1 antigen,celc,imft,1,PRODUCES_CELCprodIMFT
C0243092,C0103647,PRODUCES,Cellular Structures,Antineutrophil Cytoplasmic Antibodies,celc,imft,1,PRODUCES_CELCprodIMFT
C0333785,C0003316,PRODUCES,Virus-like particles,Epitopes,celc,imft,1,PRODUCES_CELCprodIMFT
C0333785,C0003320,PRODUCES,Virus-like particles,Antigens,celc,imft,3,PRODUCES_CELCprodIMFT
C0333785,C0282580,PRODUCES,Virus-like particles,"Epitopes, T-Lymphocyte",celc,imft,1,PRODUCES_CELCprodIMFT
C0333785,C1624746,PRODUCES,Virus-like particles,Ebola virus Ag,celc,imft,1,PRODUCES_CELCprodIMFT
C0596901,C0003320,PRODUCES,Membrane,Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C0699040,C0003320,PRODUCES,Cell surface,Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C0699040,C1883036,PRODUCES,Cell surface,Single-Chain Antibodies,celc,imft,1,PRODUCES_CELCprodIMFT
C1276877,C1883036,PRODUCES,Specialized cell structure,Single-Chain Antibodies,celc,imft,1,PRODUCES_CELCprodIMFT
C1383501,C0003320,PRODUCES,Cytoplasmic matrix,Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C1622204,C0003320,PRODUCES,envelope,Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C1749467,C0003320,PRODUCES,soluble,Antigens,celc,imft,3,PRODUCES_CELCprodIMFT
C1749467,C1883036,PRODUCES,soluble,Single-Chain Antibodies,celc,imft,1,PRODUCES_CELCprodIMFT
C1750270,C0003320,PRODUCES,Nuclear speck,Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C1819995,C0003316,PRODUCES,Host Cell,Epitopes,celc,imft,1,PRODUCES_CELCprodIMFT
C1819995,C0003320,PRODUCES,Host Cell,Antigens,celc,imft,6,PRODUCES_CELCprodIMFT
C1819995,C0003342,PRODUCES,Host Cell,"Antigens, Viral",celc,imft,2,PRODUCES_CELCprodIMFT
C1819995,C0018911,PRODUCES,Host Cell,"Hemagglutinins, Viral",celc,imft,1,PRODUCES_CELCprodIMFT
C1819995,C1291777,PRODUCES,Host Cell,Protein antigen,celc,imft,2,PRODUCES_CELCprodIMFT
C1819995,C1519887,PRODUCES,Host Cell,Vaccine Antigen,celc,imft,1,PRODUCES_CELCprodIMFT
C2350307,C0003320,PRODUCES,Cell-Derived Microparticles,Antigens,celc,imft,3,PRODUCES_CELCprodIMFT
C2350307,C0376613,PRODUCES,Cell-Derived Microparticles,"Vaccines, DNA",celc,imft,1,PRODUCES_CELCprodIMFT
C2350307,C0456981,PRODUCES,Cell-Derived Microparticles,Specific antigen,celc,imft,1,PRODUCES_CELCprodIMFT
C2754978,C0003320,PRODUCES,"IgA immunoglobulin complex, circulating",Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
C4235358,C0019168,PRODUCES,lipoprotein particle,Hepatitis B Surface Antigens,celc,imft,1,PRODUCES_CELCprodIMFT
