cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004391,C0003320,PRODUCES,Autophagy,Antigens,celf,imft,2,PRODUCES_CELFprodIMFT
C0004391,C1440885,PRODUCES,Autophagy,Legionella pneumophila 6,celf,imft,1,PRODUCES_CELFprodIMFT
C0007587,C0004359,PRODUCES,Cell Death,Autoantigens,celf,imft,1,PRODUCES_CELFprodIMFT
C0007587,C0456981,PRODUCES,Cell Death,Specific antigen,celf,imft,1,PRODUCES_CELFprodIMFT
C0007590,C0001804,PRODUCES,Cell division,Agglutinins,celf,imft,1,PRODUCES_CELFprodIMFT
C0007595,C0042742,PRODUCES,Cell Growth,Viral Vaccines,celf,imft,1,PRODUCES_CELFprodIMFT
C0007613,C0003320,PRODUCES,Cell physiology,Antigens,celf,imft,1,PRODUCES_CELFprodIMFT
C0007613,C0103647,PRODUCES,Cell physiology,Antineutrophil Cytoplasmic Antibodies,celf,imft,1,PRODUCES_CELFprodIMFT
C0007613,C2825347,PRODUCES,Cell physiology,"immunoglobulin A, human",celf,imft,1,PRODUCES_CELFprodIMFT
C0010813,C0003316,PRODUCES,Cytokinesis,Epitopes,celf,imft,1,PRODUCES_CELFprodIMFT
C0010813,C0301838,PRODUCES,Cytokinesis,Soluble antigen,celf,imft,1,PRODUCES_CELFprodIMFT
C0015283,C0003320,PRODUCES,Exocytosis,Antigens,celf,imft,1,PRODUCES_CELFprodIMFT
C0027793,C0521390,PRODUCES,Synaptic Transmission,neuronal,celf,imft,1,PRODUCES_CELFprodIMFT
C0031308,C0003320,PRODUCES,Phagocytosis,Antigens,celf,imft,1,PRODUCES_CELFprodIMFT
C0031308,C2825347,PRODUCES,Phagocytosis,"immunoglobulin A, human",celf,imft,1,PRODUCES_CELFprodIMFT
C0037083,C0003320,PRODUCES,Signal Transduction,Antigens,celf,imft,1,PRODUCES_CELFprodIMFT
C0042774,C0003320,PRODUCES,Virus Replication,Antigens,celf,imft,2,PRODUCES_CELFprodIMFT
C0042774,C0003342,PRODUCES,Virus Replication,"Antigens, Viral",celf,imft,2,PRODUCES_CELFprodIMFT
C0042774,C0004359,PRODUCES,Virus Replication,Autoantigens,celf,imft,1,PRODUCES_CELFprodIMFT
C0042774,C0021403,PRODUCES,Virus Replication,Influenza virus vaccine,celf,imft,1,PRODUCES_CELFprodIMFT
C0206431,C2825347,PRODUCES,Antigen Presentation,"immunoglobulin A, human",celf,imft,1,PRODUCES_CELFprodIMFT
C0596873,C2986386,PRODUCES,lymphocyte proliferation,Virus-neutralizing Antibody,celf,imft,1,PRODUCES_CELFprodIMFT
C0815089,C0042742,PRODUCES,Cell development,Viral Vaccines,celf,imft,1,PRODUCES_CELFprodIMFT
C1155003,C0004359,PRODUCES,B-Cell Activation,Autoantigens,celf,imft,1,PRODUCES_CELFprodIMFT
C1155229,C0003320,PRODUCES,Humoral immune response,Antigens,celf,imft,3,PRODUCES_CELFprodIMFT
C1155229,C2825347,PRODUCES,Humoral immune response,"immunoglobulin A, human",celf,imft,1,PRODUCES_CELFprodIMFT
C1155728,C0004359,PRODUCES,APC activation,Autoantigens,celf,imft,1,PRODUCES_CELFprodIMFT
C1157569,C0003339,PRODUCES,viral translation,Surface Antigens,celf,imft,1,PRODUCES_CELFprodIMFT
C1159339,C0019164,PRODUCES,Protein Secretion,Hepatitis B Antibodies,celf,imft,1,PRODUCES_CELFprodIMFT
C1159772,C0003320,PRODUCES,intracellular protein transport,Antigens,celf,imft,1,PRODUCES_CELFprodIMFT
C1159772,C1883036,PRODUCES,intracellular protein transport,Single-Chain Antibodies,celf,imft,1,PRODUCES_CELFprodIMFT
C1318468,C0003320,PRODUCES,cell mediated immune response,Antigens,celf,imft,1,PRODUCES_CELFprodIMFT
C1326205,C0003320,PRODUCES,Positive Regulation of Apoptosis,Antigens,celf,imft,1,PRODUCES_CELFprodIMFT
C1327616,C0003320,PRODUCES,Cell secretion,Antigens,celf,imft,1,PRODUCES_CELFprodIMFT
C1511002,C2825347,PRODUCES,B-Cell Differentiation,"immunoglobulin A, human",celf,imft,1,PRODUCES_CELFprodIMFT
C1817908,C0003320,PRODUCES,Cellular Immune Response,Antigens,celf,imft,3,PRODUCES_CELFprodIMFT
C2610958,C0042742,PRODUCES,Necroptosis,Viral Vaccines,celf,imft,1,PRODUCES_CELFprodIMFT
C3549360,C0003320,PRODUCES,endosomal transport,Antigens,celf,imft,1,PRODUCES_CELFprodIMFT
