cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C0010868,PRODUCES,Armed macrophage,Cytotoxin,cell,bacs,1,PRODUCES_CELLprodBACS
C0001280,C0016693,PRODUCES,Armed macrophage,Free Radicals,cell,bacs,1,PRODUCES_CELLprodBACS
C0001280,C0028158,PRODUCES,Armed macrophage,nitrogen,cell,bacs,2,PRODUCES_CELLprodBACS
C0001280,C0030054,PRODUCES,Armed macrophage,oxygen,cell,bacs,1,PRODUCES_CELLprodBACS
C0001280,C0068527,PRODUCES,Armed macrophage,Neopterin,cell,bacs,1,PRODUCES_CELLprodBACS
C0001280,C0162772,PRODUCES,Armed macrophage,Reactive Oxygen Species,cell,bacs,1,PRODUCES_CELLprodBACS
C0001280,C0302583,PRODUCES,Armed macrophage,iron,cell,bacs,1,PRODUCES_CELLprodBACS
C0001280,C0920643,PRODUCES,Armed macrophage,reactive oxygen intermediate,cell,bacs,1,PRODUCES_CELLprodBACS
C0001280,C1172779,PRODUCES,Armed macrophage,Endocannabinoids,cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C0016693,PRODUCES,Astrocytes,Free Radicals,cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C0027908,PRODUCES,Astrocytes,Neurotransmitters,cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C0028158,PRODUCES,Astrocytes,nitrogen,cell,bacs,2,PRODUCES_CELLprodBACS
C0004112,C0030054,PRODUCES,Astrocytes,oxygen,cell,bacs,2,PRODUCES_CELLprodBACS
C0004112,C0035693,PRODUCES,Astrocytes,"RNA, Double-Stranded",cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C0162772,PRODUCES,Astrocytes,Reactive Oxygen Species,cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C1519315,PRODUCES,Astrocytes,Signaling Molecule,cell,bacs,2,PRODUCES_CELLprodBACS
C0004561,C0012854,PRODUCES,B-Lymphocytes,DNA,cell,bacs,1,PRODUCES_CELLprodBACS
C0004561,C0032136,PRODUCES,B-Lymphocytes,Plasmids,cell,bacs,1,PRODUCES_CELLprodBACS
C0004561,C0242850,PRODUCES,B-Lymphocytes,Retroelements,cell,bacs,1,PRODUCES_CELLprodBACS
C0004561,C0684164,PRODUCES,B-Lymphocytes,cholinergic system,cell,bacs,1,PRODUCES_CELLprodBACS
C0004561,C1519315,PRODUCES,B-Lymphocytes,Signaling Molecule,cell,bacs,1,PRODUCES_CELLprodBACS
C0004827,C0019588,PRODUCES,Basophils,histamine,cell,bacs,11,PRODUCES_CELLprodBACS
C0005773,C0036751,PRODUCES,Blood Cells,serotonin,cell,bacs,1,PRODUCES_CELLprodBACS
C0005821,C0162772,PRODUCES,Blood Platelets,Reactive Oxygen Species,cell,bacs,1,PRODUCES_CELLprodBACS
C0007600,C0008377,PRODUCES,Cultured Cell Line,cholesterol,cell,bacs,1,PRODUCES_CELLprodBACS
