cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C0003320,PRODUCES,Armed macrophage,Antigens,cell,imft,1,PRODUCES_CELLprodIMFT
C0001280,C0521390,PRODUCES,Armed macrophage,neuronal,cell,imft,1,PRODUCES_CELLprodIMFT
C0003315,C0003316,PRODUCES,Antigen-Presenting Cells,Epitopes,cell,imft,1,PRODUCES_CELLprodIMFT
C0003315,C0003320,PRODUCES,Antigen-Presenting Cells,Antigens,cell,imft,2,PRODUCES_CELLprodIMFT
C0003315,C0003342,PRODUCES,Antigen-Presenting Cells,"Antigens, Viral",cell,imft,2,PRODUCES_CELLprodIMFT
C0004112,C0003320,PRODUCES,Astrocytes,Antigens,cell,imft,11,PRODUCES_CELLprodIMFT
C0004112,C0003342,PRODUCES,Astrocytes,"Antigens, Viral",cell,imft,3,PRODUCES_CELLprodIMFT
C0004112,C0005525,PRODUCES,Astrocytes,Biological Response Modifiers,cell,imft,1,PRODUCES_CELLprodIMFT
C0004112,C0018442,PRODUCES,Astrocytes,H-2 Antigens,cell,imft,1,PRODUCES_CELLprodIMFT
C0004112,C1441165,PRODUCES,Astrocytes,S-100,cell,imft,1,PRODUCES_CELLprodIMFT
C0004561,C0003316,PRODUCES,B-Lymphocytes,Epitopes,cell,imft,1,PRODUCES_CELLprodIMFT
C0004561,C0003320,PRODUCES,B-Lymphocytes,Antigens,cell,imft,7,PRODUCES_CELLprodIMFT
C0004561,C0003342,PRODUCES,B-Lymphocytes,"Antigens, Viral",cell,imft,3,PRODUCES_CELLprodIMFT
C0004561,C0004359,PRODUCES,B-Lymphocytes,Autoantigens,cell,imft,1,PRODUCES_CELLprodIMFT
C0004561,C0368675,PRODUCES,B-Lymphocytes,antibody antigen,cell,imft,1,PRODUCES_CELLprodIMFT
C0004561,C0456981,PRODUCES,B-Lymphocytes,Specific antigen,cell,imft,1,PRODUCES_CELLprodIMFT
C0004561,C0528335,PRODUCES,B-Lymphocytes,TSH receptor antibody,cell,imft,1,PRODUCES_CELLprodIMFT
C0004561,C2825347,PRODUCES,B-Lymphocytes,"immunoglobulin A, human",cell,imft,11,PRODUCES_CELLprodIMFT
C0004561,C2986386,PRODUCES,B-Lymphocytes,Virus-neutralizing Antibody,cell,imft,2,PRODUCES_CELLprodIMFT
C0005773,C0003320,PRODUCES,Blood Cells,Antigens,cell,imft,1,PRODUCES_CELLprodIMFT
C0005955,C0003320,PRODUCES,Bone Marrow Cells,Antigens,cell,imft,1,PRODUCES_CELLprodIMFT
C0007600,C0003320,PRODUCES,Cultured Cell Line,Antigens,cell,imft,3,PRODUCES_CELLprodIMFT
C0007600,C0003342,PRODUCES,Cultured Cell Line,"Antigens, Viral",cell,imft,2,PRODUCES_CELLprodIMFT
C0007600,C0021403,PRODUCES,Cultured Cell Line,Influenza virus vaccine,cell,imft,4,PRODUCES_CELLprodIMFT
C0007600,C0042211,PRODUCES,Cultured Cell Line,"Vaccines, Attenuated",cell,imft,4,PRODUCES_CELLprodIMFT
C0007600,C0042742,PRODUCES,Cultured Cell Line,Viral Vaccines,cell,imft,3,PRODUCES_CELLprodIMFT
C0007600,C0887892,PRODUCES,Cultured Cell Line,"Vaccines, Subunit",cell,imft,1,PRODUCES_CELLprodIMFT
C0007601,C0003320,PRODUCES,"Cell Line, Transformed",Antigens,cell,imft,1,PRODUCES_CELLprodIMFT
C0009013,C0003316,PRODUCES,Clone Cells,Epitopes,cell,imft,3,PRODUCES_CELLprodIMFT
C0009013,C0003320,PRODUCES,Clone Cells,Antigens,cell,imft,3,PRODUCES_CELLprodIMFT
C0009013,C0003333,PRODUCES,Clone Cells,"Antigens, Heterophile",cell,imft,1,PRODUCES_CELLprodIMFT
C0009013,C0003339,PRODUCES,Clone Cells,Surface Antigens,cell,imft,1,PRODUCES_CELLprodIMFT
C0009013,C0062883,PRODUCES,Clone Cells,HLA-Dw14 antigen,cell,imft,1,PRODUCES_CELLprodIMFT
C0009013,C0368675,PRODUCES,Clone Cells,antibody antigen,cell,imft,1,PRODUCES_CELLprodIMFT
C0009013,C0376613,PRODUCES,Clone Cells,"Vaccines, DNA",cell,imft,2,PRODUCES_CELLprodIMFT
C0009013,C1440582,PRODUCES,Clone Cells,Echovirus 7,cell,imft,1,PRODUCES_CELLprodIMFT
C0009013,C1883036,PRODUCES,Clone Cells,Single-Chain Antibodies,cell,imft,5,PRODUCES_CELLprodIMFT
