cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0010827,C0242210,PRODUCES,"Cytopathogenic Effect, Viral",Binding Proteins,comd,aapp,1,PRODUCES_COMDprodAAPP
C0010827,C1433062,PRODUCES,"Cytopathogenic Effect, Viral","3C-like protease, SARS coronavirus",comd,aapp,1,PRODUCES_COMDprodAAPP
C0012860,C0087071,PRODUCES,DNA Damage,Telomerase,comd,aapp,1,PRODUCES_COMDprodAAPP
C0025568,C0026682,PRODUCES,Metaplasia,mucins,comd,aapp,1,PRODUCES_COMDprodAAPP
C0027746,C0079189,PRODUCES,Nerve Degeneration,cytokine,comd,aapp,1,PRODUCES_COMDprodAAPP
C0032578,C0443640,PRODUCES,Polyploidy,Specific antibody,comd,aapp,1,PRODUCES_COMDprodAAPP
C0040715,C0021027,PRODUCES,Chromosomal translocation,Immunoglobulins,comd,aapp,1,PRODUCES_COMDprodAAPP
C0079380,C0311448,PRODUCES,Frameshift Mutation function,Abnormal protein,comd,aapp,1,PRODUCES_COMDprodAAPP
C0162735,C0030841,PRODUCES,Point Mutation,Penicillinase,comd,aapp,1,PRODUCES_COMDprodAAPP
C0162735,C0030940,PRODUCES,Point Mutation,Peptide Hydrolases,comd,aapp,1,PRODUCES_COMDprodAAPP
C0162735,C0208940,PRODUCES,Point Mutation,human REG1A protein,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0007367,PRODUCES,Oxidative Stress,catalase,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0007578,PRODUCES,Oxidative Stress,Cell Adhesion Molecules,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0017757,PRODUCES,Oxidative Stress,Glucosephosphate Dehydrogenase,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0017817,PRODUCES,Oxidative Stress,glutathione,comd,aapp,3,PRODUCES_COMDprodAAPP
C0242606,C0018284,PRODUCES,Oxidative Stress,Growth Factor,comd,aapp,2,PRODUCES_COMDprodAAPP
C0242606,C0018850,PRODUCES,Oxidative Stress,Heat shock proteins,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0024188,PRODUCES,Oxidative Stress,Lyase,comd,aapp,2,PRODUCES_COMDprodAAPP
C0242606,C0038838,PRODUCES,Oxidative Stress,superoxide dismutase,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0040691,PRODUCES,Oxidative Stress,Transforming Growth Factors,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0079189,PRODUCES,Oxidative Stress,cytokine,comd,aapp,2,PRODUCES_COMDprodAAPP
C0242606,C0282554,PRODUCES,Oxidative Stress,chemokine,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0967993,PRODUCES,Oxidative Stress,"KEAP1 protein, human",comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C1879506,PRODUCES,Oxidative Stress,A/G-Specific Adenine DNA Glycosylase,comd,aapp,1,PRODUCES_COMDprodAAPP
C0282632,C4281807,PRODUCES,Antibody-Dependent Enhancement,"Vitronectin, human",comd,aapp,1,PRODUCES_COMDprodAAPP
C0302101,C0004358,PRODUCES,Lymphocyte destruction,Autoantibodies,comd,aapp,1,PRODUCES_COMDprodAAPP
C0333909,C0017968,PRODUCES,Binucleate cell,Glycoproteins,comd,aapp,1,PRODUCES_COMDprodAAPP
C0541642,C0178827,PRODUCES,Membrane Alteration,replicase,comd,aapp,1,PRODUCES_COMDprodAAPP
C0544885,C0079259,PRODUCES,Nonsense mutation,Dystrophin,comd,aapp,1,PRODUCES_COMDprodAAPP
C0544886,C0003250,PRODUCES,Somatic mutation,Monoclonal Antibodies,comd,aapp,1,PRODUCES_COMDprodAAPP
C0544886,C0004358,PRODUCES,Somatic mutation,Autoantibodies,comd,aapp,1,PRODUCES_COMDprodAAPP
C0544886,C0162768,PRODUCES,Somatic mutation,Fusion protein,comd,aapp,1,PRODUCES_COMDprodAAPP
C0544886,C0475463,PRODUCES,Somatic mutation,"Antibodies, Neutralizing",comd,aapp,1,PRODUCES_COMDprodAAPP
C0544886,C2936529,PRODUCES,Somatic mutation,Inflammasomes,comd,aapp,1,PRODUCES_COMDprodAAPP
C0544910,C0289507,PRODUCES,Nuclear accumulation,NF-E2-Related Factor 2,comd,aapp,1,PRODUCES_COMDprodAAPP
C0596402,C0017626,PRODUCES,cytotoxicity,Glial Fibrillary Acidic Protein,comd,aapp,1,PRODUCES_COMDprodAAPP
C0596402,C0021740,PRODUCES,cytotoxicity,Recombinant Interferon-gamma,comd,aapp,70,PRODUCES_COMDprodAAPP
C0596402,C0021756,PRODUCES,cytotoxicity,Interleukin-2,comd,aapp,1,PRODUCES_COMDprodAAPP
C0596402,C0021760,PRODUCES,cytotoxicity,interleukin-6,comd,aapp,1,PRODUCES_COMDprodAAPP
C0596402,C0042736,PRODUCES,cytotoxicity,Viral Proteins,comd,aapp,2,PRODUCES_COMDprodAAPP
C0596402,C0079189,PRODUCES,cytotoxicity,cytokine,comd,aapp,2,PRODUCES_COMDprodAAPP
C0596402,C0080055,PRODUCES,cytotoxicity,Protein p53,comd,aapp,1,PRODUCES_COMDprodAAPP
C0596402,C0164371,PRODUCES,cytotoxicity,Matrix Metalloproteinase 3,comd,aapp,1,PRODUCES_COMDprodAAPP
C0596402,C1136102,PRODUCES,cytotoxicity,Capsid Proteins,comd,aapp,1,PRODUCES_COMDprodAAPP
C0596402,C4281807,PRODUCES,cytotoxicity,"Vitronectin, human",comd,aapp,1,PRODUCES_COMDprodAAPP
C0599732,C3891560,PRODUCES,cell injury,Alarmins,comd,aapp,1,PRODUCES_COMDprodAAPP
C0919532,C0003241,PRODUCES,Genomic Instability,Antibodies,comd,aapp,1,PRODUCES_COMDprodAAPP
C0920672,C4048280,PRODUCES,virus pathogenesis,"T-Cell Surface Glycoprotein CD4, human",comd,aapp,1,PRODUCES_COMDprodAAPP
C0948447,C0042210,PRODUCES,chromosomal mutation,Vaccines,comd,aapp,1,PRODUCES_COMDprodAAPP
C1511760,C0042210,PRODUCES,Deletion Mutation,Vaccines,comd,aapp,2,PRODUCES_COMDprodAAPP
C1512032,C3710914,PRODUCES,Dominant-Negative Mutation,"EIF2AK2 protein, human",comd,aapp,1,PRODUCES_COMDprodAAPP
C1515001,C0162768,PRODUCES,Chromosomal structural abnormalities,Fusion protein,comd,aapp,2,PRODUCES_COMDprodAAPP
C1515263,C0079189,PRODUCES,Telomere Shortening,cytokine,comd,aapp,1,PRODUCES_COMDprodAAPP
C2985437,C0056889,PRODUCES,Null Allele,Cystic Fibrosis Transmembrane Conductance Regulator,comd,aapp,1,PRODUCES_COMDprodAAPP
C3178870,C0025248,PRODUCES,Endoplasmic Reticulum Stress,Membrane Glycoproteins,comd,aapp,1,PRODUCES_COMDprodAAPP
