cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001527,C0002723,PRODUCES,Adipose tissue,Serum amyloid A protein,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0001527,C0003009,PRODUCES,Adipose tissue,angiotensin II,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0001527,C0003017,PRODUCES,Adipose tissue,Angiotensinogen,tisu,aapp,2,PRODUCES_TISUprodAAPP
C0001527,C0021760,PRODUCES,Adipose tissue,interleukin-6,tisu,aapp,4,PRODUCES_TISUprodAAPP
C0001527,C0040048,PRODUCES,Adipose tissue,Thromboplastin,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0001527,C0068707,PRODUCES,Adipose tissue,Nicotinamide Phosphoribosyltransferase,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0001527,C0079189,PRODUCES,Adipose tissue,cytokine,tisu,aapp,6,PRODUCES_TISUprodAAPP
C0001527,C0299583,PRODUCES,Adipose tissue,leptin,tisu,aapp,6,PRODUCES_TISUprodAAPP
C0001527,C0389071,PRODUCES,Adipose tissue,Adiponectin,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0001527,C0960880,PRODUCES,Adipose tissue,angiotensin converting enzyme 2,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0001527,C1416825,PRODUCES,Adipose tissue,LEP gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0001527,C1422064,PRODUCES,Adipose tissue,ACE2 gene,tisu,aapp,3,PRODUCES_TISUprodAAPP
C0001527,C1449159,PRODUCES,Adipose tissue,"CCL2 protein, human",tisu,aapp,1,PRODUCES_TISUprodAAPP
C0001527,C1456820,PRODUCES,Adipose tissue,Tumor Necrosis Factor-alpha,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0001527,C1709820,PRODUCES,Adipose tissue,ROS1 wt Allele,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0001527,C1955907,PRODUCES,Adipose tissue,Adipokines,tisu,aapp,6,PRODUCES_TISUprodAAPP
C0005953,C0003241,PRODUCES,Bone Marrow,Antibodies,tisu,aapp,3,PRODUCES_TISUprodAAPP
C0005953,C0010590,PRODUCES,Bone Marrow,cycloserine,tisu,aapp,2,PRODUCES_TISUprodAAPP
C0005953,C0018284,PRODUCES,Bone Marrow,Growth Factor,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0005953,C0034788,PRODUCES,Bone Marrow,"Receptors, Antigen",tisu,aapp,1,PRODUCES_TISUprodAAPP
C0005953,C0123759,PRODUCES,Bone Marrow,interleukin-12,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0005953,C0369334,PRODUCES,Bone Marrow,Hepatitis B Virus Surface Antibody,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0005953,C0443640,PRODUCES,Bone Marrow,Specific antibody,tisu,aapp,2,PRODUCES_TISUprodAAPP
C0005953,C1332817,PRODUCES,Bone Marrow,CXCL12 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0005953,C1332823,PRODUCES,Bone Marrow,CXCR4 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0005953,C1336641,PRODUCES,Bone Marrow,TMPRSS2 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0005953,C1413188,PRODUCES,Bone Marrow,CCR2 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0005953,C1413191,PRODUCES,Bone Marrow,CCR7 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0005953,C1422064,PRODUCES,Bone Marrow,ACE2 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0005953,C1425473,PRODUCES,Bone Marrow,IFNL1 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0005953,C3887680,PRODUCES,Bone Marrow,Human Aminopeptidase N,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0006904,C1415053,PRODUCES,Capillary Endothelium,GGT1 gene,tisu,aapp,2,PRODUCES_TISUprodAAPP
C0006904,C1422064,PRODUCES,Capillary Endothelium,ACE2 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0007301,C0033692,PRODUCES,Cartilage,Proteoglycan,tisu,aapp,3,PRODUCES_TISUprodAAPP
C0007301,C0079189,PRODUCES,Cartilage,cytokine,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0011646,C3540595,PRODUCES,Dermis,CD8A wt Allele,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014124,C1367656,PRODUCES,Endocardium,NRG1 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0003601,PRODUCES,Endothelium,Apoproteins,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0007578,PRODUCES,Endothelium,Cell Adhesion Molecules,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0021701,PRODUCES,Endothelium,Integrins,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0021755,PRODUCES,Endothelium,Interleukin-1,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0021760,PRODUCES,Endothelium,interleukin-6,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0022942,PRODUCES,Endothelium,lactoferrin,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0030940,PRODUCES,Endothelium,Peptide Hydrolases,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0032143,PRODUCES,Endothelium,alteplase,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0032200,PRODUCES,Endothelium,Platelet-Derived Growth Factor,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0033692,PRODUCES,Endothelium,Proteoglycan,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0037028,PRODUCES,Endothelium,Sialoglycoproteins,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0040018,PRODUCES,Endothelium,thrombin,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0042071,PRODUCES,Endothelium,urokinase,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0042666,PRODUCES,Endothelium,Vimentin,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0063695,PRODUCES,Endothelium,Intercellular adhesion molecule 1,tisu,aapp,3,PRODUCES_TISUprodAAPP
C0014257,C0072354,PRODUCES,Endothelium,Protein Disulfide-Isomerases,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0072978,PRODUCES,Endothelium,RANTES,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0078056,PRODUCES,Endothelium,Vascular Cell Adhesion Molecule-1,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0079189,PRODUCES,Endothelium,cytokine,tisu,aapp,7,PRODUCES_TISUprodAAPP
C0014257,C0079284,PRODUCES,Endothelium,Endothelin,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0079460,PRODUCES,Endothelium,Granulocyte-Macrophage Colony-Stimulating Factor,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0079633,PRODUCES,Endothelium,interleukin-8,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0079784,PRODUCES,Endothelium,Macrophage Colony-Stimulating Factor,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0115305,PRODUCES,Endothelium,E-Selectin,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0164707,PRODUCES,Endothelium,Tissue factor pathway inhibitor,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0282554,PRODUCES,Endothelium,chemokine,tisu,aapp,2,PRODUCES_TISUprodAAPP
C0014257,C0597357,PRODUCES,Endothelium,receptor,tisu,aapp,2,PRODUCES_TISUprodAAPP
C0014257,C0623362,PRODUCES,Endothelium,Matrix Metalloproteinases,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0669365,PRODUCES,Endothelium,"NOS3 protein, human",tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0669372,PRODUCES,Endothelium,"NOS2A protein, human",tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0699918,PRODUCES,Endothelium,Elastases,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0812445,PRODUCES,Endothelium,CXCL1 gene,tisu,aapp,2,PRODUCES_TISUprodAAPP
C0014257,C0913854,PRODUCES,Endothelium,"F11R protein, human",tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C0960880,PRODUCES,Endothelium,angiotensin converting enzyme 2,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1332817,PRODUCES,Endothelium,CXCL12 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1334043,PRODUCES,Endothelium,Homologous Gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1336763,PRODUCES,Endothelium,Toll-Like Receptor Family Gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1363984,PRODUCES,Endothelium,TNFRSF1A gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1367656,PRODUCES,Endothelium,NRG1 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1414141,PRODUCES,Endothelium,DPP4 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1414609,PRODUCES,Endothelium,FGL2 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1416373,PRODUCES,Endothelium,CADM1 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1422064,PRODUCES,Endothelium,ACE2 gene,tisu,aapp,4,PRODUCES_TISUprodAAPP
C0014257,C1448177,PRODUCES,Endothelium,"TNF protein, human",tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1449159,PRODUCES,Endothelium,"CCL2 protein, human",tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1539221,PRODUCES,Endothelium,DCLK3 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1667752,PRODUCES,Endothelium,"IL33 protein, human",tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1701790,PRODUCES,Endothelium,"IL17A protein, human",tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C1709820,PRODUCES,Endothelium,ROS1 wt Allele,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C3541980,PRODUCES,Endothelium,ESM1 wt Allele,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014257,C4316927,PRODUCES,Endothelium,"Endothelin-1, human",tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014261,C0007578,PRODUCES,"Endothelium, Vascular",Cell Adhesion Molecules,tisu,aapp,70,PRODUCES_TISUprodAAPP
C0014261,C0041236,PRODUCES,"Endothelium, Vascular",trypsin,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014261,C0063695,PRODUCES,"Endothelium, Vascular",Intercellular adhesion molecule 1,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014261,C0103306,PRODUCES,"Endothelium, Vascular",angiotensin I (1-7),tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014261,C0209606,PRODUCES,"Endothelium, Vascular",Integrin alpha4beta1,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014261,C0526873,PRODUCES,"Endothelium, Vascular",MECA-79 antigen,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014261,C0960880,PRODUCES,"Endothelium, Vascular",angiotensin converting enzyme 2,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014261,C1422064,PRODUCES,"Endothelium, Vascular",ACE2 gene,tisu,aapp,4,PRODUCES_TISUprodAAPP
C0014520,C0019630,PRODUCES,Epidermis,Histocompatibility Antigens Class II,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014520,C1425189,PRODUCES,Epidermis,CD207 gene,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0007578,PRODUCES,Epithelium,Cell Adhesion Molecules,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0010803,PRODUCES,Epithelium,Cytokeratin,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0014241,PRODUCES,Epithelium,Endoribonucleases,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0016026,PRODUCES,Epithelium,Fibroblast Growth Factor,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0017968,PRODUCES,Epithelium,Glycoproteins,tisu,aapp,3,PRODUCES_TISUprodAAPP
C0014609,C0018284,PRODUCES,Epithelium,Growth Factor,tisu,aapp,4,PRODUCES_TISUprodAAPP
C0014609,C0019630,PRODUCES,Epithelium,Histocompatibility Antigens Class II,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0021759,PRODUCES,Epithelium,interleukin-5,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0022709,PRODUCES,Epithelium,Peptidyl-Dipeptidase A,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0026682,PRODUCES,Epithelium,mucins,tisu,aapp,4,PRODUCES_TISUprodAAPP
C0014609,C0030940,PRODUCES,Epithelium,Peptide Hydrolases,tisu,aapp,3,PRODUCES_TISUprodAAPP
C0014609,C0034817,PRODUCES,Epithelium,"Receptors, Immunologic",tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0040691,PRODUCES,Epithelium,Transforming Growth Factors,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0042666,PRODUCES,Epithelium,Vimentin,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0042736,PRODUCES,Epithelium,Viral Proteins,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0056889,PRODUCES,Epithelium,Cystic Fibrosis Transmembrane Conductance Regulator,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0057256,PRODUCES,Epithelium,Defensins,tisu,aapp,2,PRODUCES_TISUprodAAPP
C0014609,C0061187,PRODUCES,Epithelium,Gelsolin,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0070099,PRODUCES,Epithelium,parathyroid hormone-related protein,tisu,aapp,1,PRODUCES_TISUprodAAPP
C0014609,C0072978,PRODUCES,Epithelium,RANTES,tisu,aapp,2,PRODUCES_TISUprodAAPP
