cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001924,C0633231,SAME_AS,Albumins,"S100A6 protein, human",aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0002199,C1174094,SAME_AS,Interferon-alpha,"IL28B protein, human",aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0003241,C0003241,SAME_AS,Antibodies,Antibodies,aapp,aapp,4,SAME_AS_AAPPsameAAPP
C0003250,C0003250,SAME_AS,Monoclonal Antibodies,Monoclonal Antibodies,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0003995,C0042210,SAME_AS,asparagine,Vaccines,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0008864,C0008864,SAME_AS,citrulline,citrulline,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0009498,C0003241,SAME_AS,Complement System Proteins,Antibodies,aapp,aapp,3,SAME_AS_AAPPsameAAPP
C0010590,C0010590,SAME_AS,cycloserine,cycloserine,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0010656,C0014436,SAME_AS,caspase,Enzyme Precursors,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0015980,C1568891,SAME_AS,interferon-beta,"HGS protein, human",aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0017360,C0017279,SAME_AS,pol genes,"Gene Products, gag",aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0017366,C1332838,SAME_AS,Structural gene,Candidate Disease Gene,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0017968,C0017968,SAME_AS,Glycoproteins,Glycoproteins,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0017968,C0065827,SAME_AS,Glycoproteins,Measles Virus Nucleoprotein,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0019602,C1883559,SAME_AS,histidine,Wild Type,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0021017,C0003241,SAME_AS,Immunoglobulin Isotypes,Antibodies,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0021017,C0034805,SAME_AS,Immunoglobulin Isotypes,Fc Receptor,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0021756,C0021756,SAME_AS,Interleukin-2,Interleukin-2,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0021759,C0969324,SAME_AS,interleukin-5,mepolizumab,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0021760,C0021760,SAME_AS,interleukin-6,interleukin-6,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0022917,C0022917,SAME_AS,Lactate Dehydrogenase,Lactate Dehydrogenase,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0023206,C0913092,SAME_AS,Lectin,DC-specific ICAM-3 grabbing nonintegrin,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0025252,C0597427,SAME_AS,Membrane Proteins,secretory protein,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0025545,C0305052,SAME_AS,Metallothionein,Gamma globulin serum,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0026027,C1413859,SAME_AS,Microsomal Epoxide Hydrolase,CYP1B1 gene,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0026682,C0017968,SAME_AS,mucins,Glycoproteins,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0027803,C0018909,SAME_AS,Neuraminidase,Hemagglutinin,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0028589,C0028608,SAME_AS,Nuclear Proteins,Nucleolar Proteins,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0030940,C0030346,SAME_AS,Peptide Hydrolases,papain,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0030940,C1883559,SAME_AS,Peptide Hydrolases,Wild Type,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0033382,C0023401,SAME_AS,proline,leucine,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0033382,C0033382,SAME_AS,proline,proline,aapp,aapp,3,SAME_AS_AAPPsameAAPP
C0034861,C0051979,SAME_AS,Recombinant Proteins,anti-IgG,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0035544,C0035544,SAME_AS,Ribonucleoproteins,Ribonucleoproteins,aapp,aapp,1,SAME_AS_AAPPsameAAPP
C0036734,C1292266,SAME_AS,Serine Endopeptidases,Coagulation protein,aapp,aapp,1,SAME_AS_AAPPsameAAPP
