cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001492,C0376196,STIMULATES,Adenylate Cyclase,Opiates,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0002520,C0444622,STIMULATES,Amino Acids,Toxin production,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0003323,C0031586,STIMULATES,CD4 Antigens,Phorbol Esters,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0007367,C0000379,STIMULATES,catalase,"3,4-Methylenedioxyamphetamine",aapp,hops,1,STIMULATES_AAPPstimHOPS
C0007578,C0014264,STIMULATES,Cell Adhesion Molecules,Endotoxins,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0010287,C0116567,STIMULATES,Creatine Kinase,"pydrin, (S-(R*,R*))-isomer",aapp,hops,1,STIMULATES_AAPPstimHOPS
C0010531,C0376196,STIMULATES,Cyclic AMP-Dependent Protein Kinases,Opiates,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0010762,C0007090,STIMULATES,Cytochrome P450,Carcinogens,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0020731,C0376196,STIMULATES,Pertussis Toxin,Opiates,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0021699,C0054282,STIMULATES,Integral Membrane Proteins,butyl phosphorotrithioate,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0021755,C0000379,STIMULATES,Interleukin-1,"3,4-Methylenedioxyamphetamine",aapp,hops,1,STIMULATES_AAPPstimHOPS
C0021755,C0014264,STIMULATES,Interleukin-1,Endotoxins,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0021756,C0039654,STIMULATES,Interleukin-2,Tetradecanoylphorbol Acetate,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0021760,C0000379,STIMULATES,interleukin-6,"3,4-Methylenedioxyamphetamine",aapp,hops,1,STIMULATES_AAPPstimHOPS
C0021760,C0014264,STIMULATES,interleukin-6,Endotoxins,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0029005,C0007090,STIMULATES,Oncogene Proteins,Carcinogens,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0030940,C0037366,STIMULATES,Peptide Hydrolases,Smoke,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0031656,C0020282,STIMULATES,PHOSPHOGLYCERATE KINASE,Hydrogen Sulfide,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0033713,C0007090,STIMULATES,Proto-Oncogenes,Carcinogens,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0034790,C0039654,STIMULATES,T-Cell Receptor,Tetradecanoylphorbol Acetate,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0038838,C0031586,STIMULATES,superoxide dismutase,Phorbol Esters,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0040165,C0012503,STIMULATES,levothyroxine,Dioxins,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0041484,C0066256,STIMULATES,MONOPHENOL MONOOXYGENASE,methyl isocyanate,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0042210,C0014264,STIMULATES,Vaccines,Endotoxins,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0042313,C0066256,STIMULATES,vancomycin,methyl isocyanate,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0042736,C0014264,STIMULATES,Viral Proteins,Endotoxins,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0043317,C0039654,STIMULATES,Xanthine Oxidase,Tetradecanoylphorbol Acetate,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0044602,C0025706,STIMULATES,1-Phosphatidylinositol 3-Kinase,Methyl Methanesulfonate,aapp,hops,1,STIMULATES_AAPPstimHOPS
