cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003242,C0005456,STIMULATES,"Antibodies, Anti-Idiotypic",Binding Sites,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C0019536,C0005456,STIMULATES,High-Molecular-Weight Kininogen protein,Binding Sites,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C0021758,C0916696,STIMULATES,interleukin-4,cysteinyl leukotriene receptor 2,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C0023401,C0005456,STIMULATES,leucine,Binding Sites,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C0035094,C0005456,STIMULATES,Renin,Binding Sites,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C0040018,C0230664,STIMULATES,thrombin,Membrane receptor,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C0061355,C0378073,STIMULATES,Glucagon-Like Peptide 1,Glucagon-Like Peptide-1 Receptor,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C0108685,C0005456,STIMULATES,CCAAT-Enhancer-Binding Proteins,Binding Sites,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C0597357,C0230664,STIMULATES,receptor,Membrane receptor,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C0815043,C0005456,STIMULATES,"Protein, Organized by Function",Binding Sites,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C1335439,C0005456,STIMULATES,Polymerase,Binding Sites,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C1412113,C0230664,STIMULATES,SLC33A1 gene,Membrane receptor,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C1428523,C0005456,STIMULATES,BRD9 gene,Binding Sites,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C1538915,C4521288,STIMULATES,APLN gene,Apelin Receptor,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C1539098,C0005456,STIMULATES,CLEC4G gene,Binding Sites,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C3641847,C0005456,STIMULATES,Epstein-Barr Nuclear Antigen 2,Binding Sites,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C3810054,C4521288,STIMULATES,APELA gene,Apelin Receptor,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
C3828777,C0005456,STIMULATES,Notch Receptor Intracellular Domain,Binding Sites,aapp,rcpt,1,STIMULATES_AAPPstimRCPT
