cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001459,C0002845,STIMULATES,Adenosine Diphosphate,"Androgens, Synthetic",bacs,horm,1,STIMULATES_BACSstimHORM
C0002667,C0017710,STIMULATES,Amphetamines,Glucocorticoids,bacs,horm,1,STIMULATES_BACSstimHORM
C0005390,C0012472,STIMULATES,Bile Acids,dinoprostone,bacs,horm,1,STIMULATES_BACSstimHORM
C0005404,C0012471,STIMULATES,bile salts,dinoprost,bacs,horm,1,STIMULATES_BACSstimHORM
C0007289,C0012472,STIMULATES,carrageenan,dinoprostone,bacs,horm,1,STIMULATES_BACSstimHORM
C0007412,C0020268,STIMULATES,Catecholamines,hydrocortisone,bacs,horm,1,STIMULATES_BACSstimHORM
C0007412,C0028351,STIMULATES,Catecholamines,norepinephrine,bacs,horm,1,STIMULATES_BACSstimHORM
C0007745,C0012472,STIMULATES,ceramides,dinoprostone,bacs,horm,1,STIMULATES_BACSstimHORM
C0023546,C0012472,STIMULATES,Leukotriene B4,dinoprostone,bacs,horm,1,STIMULATES_BACSstimHORM
C0031866,C0014939,STIMULATES,phytosterols,estrogens,bacs,horm,1,STIMULATES_BACSstimHORM
C0034304,C0012472,STIMULATES,Pyrogens,dinoprostone,bacs,horm,1,STIMULATES_BACSstimHORM
C0035703,C0014939,STIMULATES,"RNA, Ribosomal, 18S",estrogens,bacs,horm,1,STIMULATES_BACSstimHORM
C0036751,C0025219,STIMULATES,serotonin,melatonin,bacs,horm,1,STIMULATES_BACSstimHORM
C0042010,C0012472,STIMULATES,Uridine Triphosphate,dinoprostone,bacs,horm,1,STIMULATES_BACSstimHORM
C0065335,C0065864,STIMULATES,lycorine,medroxyprogesterone acetate,bacs,horm,1,STIMULATES_BACSstimHORM
C0128062,C0074798,STIMULATES,methyl jasmonate,solasodine,bacs,horm,1,STIMULATES_BACSstimHORM
C0599745,C0012472,STIMULATES,lipid mediator,dinoprostone,bacs,horm,1,STIMULATES_BACSstimHORM
C1668110,C0012472,STIMULATES,pepluanone,dinoprostone,bacs,horm,1,STIMULATES_BACSstimHORM
