cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000097,C0013030,STIMULATES,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",dopamine,hops,bacs,2,STIMULATES_HOPSstimBACS
C0000097,C0040549,STIMULATES,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",Toxin,hops,bacs,1,STIMULATES_HOPSstimBACS
C0000379,C0012854,STIMULATES,"3,4-Methylenedioxyamphetamine",DNA,hops,bacs,4,STIMULATES_HOPSstimBACS
C0000379,C0012925,STIMULATES,"3,4-Methylenedioxyamphetamine","DNA, Circular",hops,bacs,1,STIMULATES_HOPSstimBACS
C0000677,C1179920,STIMULATES,"9,10-Dimethyl-1,2-benzanthracene",Nuclear deoxyribonucleic acid,hops,bacs,1,STIMULATES_HOPSstimBACS
C0001869,C0018340,STIMULATES,Air Pollutants,Guanosine Diphosphate,hops,bacs,1,STIMULATES_HOPSstimBACS
C0001963,C0086860,STIMULATES,methanol,Promoter,hops,bacs,1,STIMULATES_HOPSstimBACS
C0003947,C0012929,STIMULATES,Asbestos,"DNA, Mitochondrial",hops,bacs,1,STIMULATES_HOPSstimBACS
C0005052,C0242958,STIMULATES,Benzo(a)pyrene,DNA Adducts,hops,bacs,1,STIMULATES_HOPSstimBACS
C0007090,C0600472,STIMULATES,Carcinogens,Long Interspersed Nucleotide Element-1,hops,bacs,1,STIMULATES_HOPSstimBACS
C0009170,C0013030,STIMULATES,cocaine,dopamine,hops,bacs,1,STIMULATES_HOPSstimBACS
C0009170,C0034085,STIMULATES,cocaine,Pulmonary Surfactants,hops,bacs,1,STIMULATES_HOPSstimBACS
C0009170,C0036751,STIMULATES,cocaine,serotonin,hops,bacs,5,STIMULATES_HOPSstimBACS
C0011684,C0086860,STIMULATES,Designer Drugs,Promoter,hops,bacs,1,STIMULATES_HOPSstimBACS
C0014264,C0005390,STIMULATES,Endotoxins,Bile Acids,hops,bacs,1,STIMULATES_HOPSstimBACS
C0014264,C0017725,STIMULATES,Endotoxins,glucose,hops,bacs,1,STIMULATES_HOPSstimBACS
C0025706,C0001407,STIMULATES,Methyl Methanesulfonate,adenine,hops,bacs,1,STIMULATES_HOPSstimBACS
C0025706,C0010843,STIMULATES,Methyl Methanesulfonate,cytosine,hops,bacs,1,STIMULATES_HOPSstimBACS
C0028040,C0035696,STIMULATES,nicotine,"RNA, Messenger",hops,bacs,1,STIMULATES_HOPSstimBACS
C0028040,C0684164,STIMULATES,nicotine,cholinergic system,hops,bacs,1,STIMULATES_HOPSstimBACS
C0028160,C0016693,STIMULATES,Nitrogen Dioxide,Free Radicals,hops,bacs,1,STIMULATES_HOPSstimBACS
C0031253,C0162772,STIMULATES,Pesticides,Reactive Oxygen Species,hops,bacs,1,STIMULATES_HOPSstimBACS
C0031586,C0006675,STIMULATES,Phorbol Esters,calcium,hops,bacs,1,STIMULATES_HOPSstimBACS
C0032447,C0032136,STIMULATES,Polychlorinated Biphenyls,Plasmids,hops,bacs,1,STIMULATES_HOPSstimBACS
C0035871,C0013030,STIMULATES,rotenone,dopamine,hops,bacs,1,STIMULATES_HOPSstimBACS
C0035871,C0040549,STIMULATES,rotenone,Toxin,hops,bacs,1,STIMULATES_HOPSstimBACS
C0037366,C0008141,STIMULATES,Smoke,Chitin,hops,bacs,1,STIMULATES_HOPSstimBACS
C0039654,C0006675,STIMULATES,Tetradecanoylphorbol Acetate,calcium,hops,bacs,1,STIMULATES_HOPSstimBACS
C0039654,C0012854,STIMULATES,Tetradecanoylphorbol Acetate,DNA,hops,bacs,1,STIMULATES_HOPSstimBACS
C0039654,C0033532,STIMULATES,Tetradecanoylphorbol Acetate,Prostaglandin D2,hops,bacs,1,STIMULATES_HOPSstimBACS
C0039654,C0600472,STIMULATES,Tetradecanoylphorbol Acetate,Long Interspersed Nucleotide Element-1,hops,bacs,1,STIMULATES_HOPSstimBACS
C0039654,C2987634,STIMULATES,Tetradecanoylphorbol Acetate,Agonist,hops,bacs,1,STIMULATES_HOPSstimBACS
C0041370,C0162772,STIMULATES,Tumor Promoters,Reactive Oxygen Species,hops,bacs,1,STIMULATES_HOPSstimBACS
C0043454,C0050078,STIMULATES,Zearalenone,8-Hydroxy-2'-Deoxyguanosine,hops,bacs,1,STIMULATES_HOPSstimBACS
C0054412,C0031676,STIMULATES,cadmium chloride,phospholipids,hops,bacs,1,STIMULATES_HOPSstimBACS
C0065896,C0028158,STIMULATES,melamine,nitrogen,hops,bacs,1,STIMULATES_HOPSstimBACS
C0066256,C0032136,STIMULATES,methyl isocyanate,Plasmids,hops,bacs,1,STIMULATES_HOPSstimBACS
C0070689,C0162772,STIMULATES,Phenylmercuric Chloride,Reactive Oxygen Species,hops,bacs,1,STIMULATES_HOPSstimBACS
C0074447,C0040549,STIMULATES,Shiga Toxin,Toxin,hops,bacs,1,STIMULATES_HOPSstimBACS
C0439994,C0016693,STIMULATES,Tobacco smoke,Free Radicals,hops,bacs,1,STIMULATES_HOPSstimBACS
C0599787,C0016693,STIMULATES,toxicant,Free Radicals,hops,bacs,1,STIMULATES_HOPSstimBACS
C0935931,C0035696,STIMULATES,Excitotoxins,"RNA, Messenger",hops,bacs,1,STIMULATES_HOPSstimBACS
