cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0008203,C0005367,STIMULATES,Chlorides,Bicarbonates,inch,inch,1,STIMULATES_INCHstimINCH
C0008838,C0002607,STIMULATES,cisplatin,ammonia,inch,inch,1,STIMULATES_INCHstimINCH
C0020281,C0063146,STIMULATES,hydrogen peroxide,Hydroxyl Radical,inch,inch,1,STIMULATES_INCHstimINCH
C0020600,C0037494,STIMULATES,hypochlorous acid,sodium chloride,inch,inch,1,STIMULATES_INCHstimINCH
C0025552,C0043047,STIMULATES,Metals,water,inch,inch,1,STIMULATES_INCHstimINCH
C0025552,C1177210,STIMULATES,Metals,cupric cation,inch,inch,1,STIMULATES_INCHstimINCH
C0031603,C0042305,STIMULATES,Phosphates,Vanadates,inch,inch,3,STIMULATES_INCHstimINCH
C0037098,C0010511,STIMULATES,silicon dioxide,Cyanogen Bromide,inch,inch,1,STIMULATES_INCHstimINCH
C0037494,C0008203,STIMULATES,sodium chloride,Chlorides,inch,inch,1,STIMULATES_INCHstimINCH
C0043047,C0016327,STIMULATES,water,Fluorides,inch,inch,1,STIMULATES_INCHstimINCH
C0043047,C0038720,STIMULATES,water,"Sulfates, Inorganic",inch,inch,1,STIMULATES_INCHstimINCH
C0043047,C0357197,STIMULATES,water,calcium salts,inch,inch,1,STIMULATES_INCHstimINCH
C0043047,C2919405,STIMULATES,water,Tap water,inch,inch,1,STIMULATES_INCHstimINCH
C0074719,C0020281,STIMULATES,sodium arsenite,hydrogen peroxide,inch,inch,2,STIMULATES_INCHstimINCH
C0205679,C0016327,STIMULATES,montmorrillonite,Fluorides,inch,inch,1,STIMULATES_INCHstimINCH
C0206443,C0969698,STIMULATES,Vanadium Compounds,Reactive Nitrogen Species,inch,inch,1,STIMULATES_INCHstimINCH
C1512523,C0037494,STIMULATES,hydrochloride,sodium chloride,inch,inch,1,STIMULATES_INCHstimINCH
C3536832,C0729631,STIMULATES,air,Carbon-13,inch,inch,1,STIMULATES_INCHstimINCH
C4759711,C0043047,STIMULATES,Sand,water,inch,inch,1,STIMULATES_INCHstimINCH
