cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001052,C0054666,STIMULATES,acetylene,carbene,orch,orch,1,STIMULATES_ORCHstimORCH
C0001056,C0024742,STIMULATES,acetylglucosamine,mannose,orch,orch,1,STIMULATES_ORCHstimORCH
C0001962,C0000970,STIMULATES,ethanol,acetaminophen,orch,orch,1,STIMULATES_ORCHstimORCH
C0001962,C0007004,STIMULATES,ethanol,Carbohydrates,orch,orch,1,STIMULATES_ORCHstimORCH
C0001962,C0007026,STIMULATES,ethanol,Carbonates,orch,orch,1,STIMULATES_ORCHstimORCH
C0001962,C0243264,STIMULATES,ethanol,hydroxytyrosol,orch,orch,1,STIMULATES_ORCHstimORCH
C0001962,C0596260,STIMULATES,ethanol,Carboxyl Group,orch,orch,1,STIMULATES_ORCHstimORCH
C0001975,C0007026,STIMULATES,Alcohols,Carbonates,orch,orch,1,STIMULATES_ORCHstimORCH
C0001992,C0162969,STIMULATES,Aldehydes,chitosan,orch,orch,1,STIMULATES_ORCHstimORCH
C0002068,C0039901,STIMULATES,Alkenes,Thioglycosides,orch,orch,1,STIMULATES_ORCHstimORCH
C0002482,C0021242,STIMULATES,Amides,Indoles,orch,orch,1,STIMULATES_ORCHstimORCH
C0002482,C0061751,STIMULATES,Amides,glycyrrhizic acid,orch,orch,1,STIMULATES_ORCHstimORCH
C0002508,C0001992,STIMULATES,Amines,Aldehydes,orch,orch,1,STIMULATES_ORCHstimORCH
C0002508,C0002068,STIMULATES,Amines,Alkenes,orch,orch,1,STIMULATES_ORCHstimORCH
C0002508,C0032594,STIMULATES,Amines,Polysaccharides,orch,orch,1,STIMULATES_ORCHstimORCH
C0002598,C0077608,STIMULATES,amiodarone,U 18666A,orch,orch,1,STIMULATES_ORCHstimORCH
C0003392,C0010583,STIMULATES,Antineoplastic Agents,cyclophosphamide,orch,orch,2,STIMULATES_ORCHstimORCH
C0003695,C0023810,STIMULATES,arachidonic acid,Lipopolysaccharides,orch,orch,1,STIMULATES_ORCHstimORCH
C0003695,C0038734,STIMULATES,arachidonic acid,Sulfhydryl Compounds,orch,orch,1,STIMULATES_ORCHstimORCH
C0003695,C0065711,STIMULATES,arachidonic acid,manoalide,orch,orch,1,STIMULATES_ORCHstimORCH
C0003968,C0042890,STIMULATES,ascorbic acid,Vitamins,orch,orch,1,STIMULATES_ORCHstimORCH
C0003968,C0043832,STIMULATES,ascorbic acid,deferiprone,orch,orch,1,STIMULATES_ORCHstimORCH
C0004259,C0012010,STIMULATES,atropine,diazepam,orch,orch,1,STIMULATES_ORCHstimORCH
C0004259,C0022180,STIMULATES,atropine,isoflurane,orch,orch,1,STIMULATES_ORCHstimORCH
C0004855,C0022245,STIMULATES,Bay-K-8644,isoproterenol,orch,orch,1,STIMULATES_ORCHstimORCH
C0004855,C0023992,STIMULATES,Bay-K-8644,loperamide,orch,orch,2,STIMULATES_ORCHstimORCH
C0004855,C0027360,STIMULATES,Bay-K-8644,naltrexone,orch,orch,1,STIMULATES_ORCHstimORCH
C0005330,C0064568,STIMULATES,bezafibrate,lacidipine,orch,orch,1,STIMULATES_ORCHstimORCH
C0005575,C0023828,STIMULATES,biotin,Liposomes,orch,orch,1,STIMULATES_ORCHstimORCH
C0006507,C0026156,STIMULATES,butylated hydroxytoluene,mineral oil,orch,orch,1,STIMULATES_ORCHstimORCH
C0006674,C0008318,STIMULATES,calcitriol,cholecalciferol,orch,orch,1,STIMULATES_ORCHstimORCH
C0006931,C0011777,STIMULATES,capsaicin,dexamethasone,orch,orch,1,STIMULATES_ORCHstimORCH
C0006993,C0178528,STIMULATES,Carbodiimides,carboxylate,orch,orch,1,STIMULATES_ORCHstimORCH
C0006993,C0596260,STIMULATES,Carbodiimides,Carboxyl Group,orch,orch,1,STIMULATES_ORCHstimORCH
C0007004,C0014898,STIMULATES,Carbohydrates,Esters,orch,orch,1,STIMULATES_ORCHstimORCH
C0007004,C0015075,STIMULATES,Carbohydrates,ethylene,orch,orch,1,STIMULATES_ORCHstimORCH
C0007004,C0033474,STIMULATES,Carbohydrates,Propionates,orch,orch,1,STIMULATES_ORCHstimORCH
C0007004,C0042890,STIMULATES,Carbohydrates,Vitamins,orch,orch,1,STIMULATES_ORCHstimORCH
C0007004,C0225326,STIMULATES,Carbohydrates,fiber,orch,orch,1,STIMULATES_ORCHstimORCH
C0007004,C0369760,STIMULATES,Carbohydrates,Organic acid (substance),orch,orch,1,STIMULATES_ORCHstimORCH
C0007043,C0052919,STIMULATES,Carbonyl Cyanide m-Chlorophenyl Hydrazone,bafilomycin A1,orch,orch,1,STIMULATES_ORCHstimORCH
C0007066,C0014898,STIMULATES,Carboxylic Acids,Esters,orch,orch,3,STIMULATES_ORCHstimORCH
C0007068,C4549197,STIMULATES,carboxymethylcellulose,1-ethyl-3-(3-dimethylaminopropyl)carbodiimide N-hydroxysuccinimide,orch,orch,1,STIMULATES_ORCHstimORCH
C0008269,C0012010,STIMULATES,chloroquine,diazepam,orch,orch,1,STIMULATES_ORCHstimORCH
C0008269,C0012265,STIMULATES,chloroquine,digoxin,orch,orch,1,STIMULATES_ORCHstimORCH
C0008269,C0020336,STIMULATES,chloroquine,hydroxychloroquine,orch,orch,2,STIMULATES_ORCHstimORCH
C0008269,C0025859,STIMULATES,chloroquine,metoprolol,orch,orch,1,STIMULATES_ORCHstimORCH
C0008269,C0028128,STIMULATES,chloroquine,nitric oxide,orch,orch,1,STIMULATES_ORCHstimORCH
C0008269,C0034417,STIMULATES,chloroquine,quinine,orch,orch,1,STIMULATES_ORCHstimORCH
