cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001443,C0008148,TREATS,adenosine,Chlamydia,bacs,bact,1,TREATS_BACStrtsBACT
C0001455,C0004611,TREATS,cyclic AMP,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0005390,C0033809,TREATS,Bile Acids,Pseudomonas aeruginosa,bacs,bact,1,TREATS_BACStrtsBACT
C0005404,C0004611,TREATS,bile salts,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0005446,C1047211,TREATS,Biliverdine,Cyanobacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0007271,C0004611,TREATS,Carotenoids,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0007271,C0317726,TREATS,Carotenoids,Arthrobacter agilis,bacs,bact,1,TREATS_BACStrtsBACT
C0007271,C0597233,TREATS,Carotenoids,photosynthetic bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0008260,C0995582,TREATS,chlorophyll,Prochlorococcus,bacs,bact,1,TREATS_BACStrtsBACT
C0008377,C0004611,TREATS,cholesterol,Bacteria,bacs,bact,2,TREATS_BACStrtsBACT
C0008377,C0014834,TREATS,cholesterol,Escherichia coli,bacs,bact,1,TREATS_BACStrtsBACT
C0009968,C0004611,TREATS,copper,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0009968,C0014834,TREATS,copper,Escherichia coli,bacs,bact,1,TREATS_BACStrtsBACT
C0009968,C0036125,TREATS,copper,Salmonella typhi,bacs,bact,1,TREATS_BACStrtsBACT
C0009968,C0081786,TREATS,copper,Microbial Biofilms,bacs,bact,1,TREATS_BACStrtsBACT
C0014757,C0026912,TREATS,erythritol,Genus Mycobacterium,bacs,bact,1,TREATS_BACStrtsBACT
C0017725,C0014834,TREATS,glucose,Escherichia coli,bacs,bact,3,TREATS_BACStrtsBACT
C0017950,C0026912,TREATS,Glycolipids,Genus Mycobacterium,bacs,bact,1,TREATS_BACStrtsBACT
C0018988,C0004611,TREATS,hemin,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0022949,C0014834,TREATS,lactose,Escherichia coli,bacs,bact,2,TREATS_BACStrtsBACT
C0024076,C0563199,TREATS,luciferin,bacterial cell,bacs,bact,1,TREATS_BACStrtsBACT
C0026930,C0026912,TREATS,Mycolic Acid,Genus Mycobacterium,bacs,bact,1,TREATS_BACStrtsBACT
C0027289,C0004611,TREATS,NADH,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0028013,C0004611,TREATS,nickel,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0030054,C0004611,TREATS,oxygen,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0030054,C0004612,TREATS,oxygen,"Bacteria, Aerobic",bacs,bact,1,TREATS_BACStrtsBACT
C0030958,C0018154,TREATS,Peptidoglycan,Gram-Positive Bacteria,bacs,bact,4,TREATS_BACStrtsBACT
C0030958,C0026912,TREATS,Peptidoglycan,Genus Mycobacterium,bacs,bact,1,TREATS_BACStrtsBACT
C0031614,C0026926,TREATS,Phosphatidyl glycerol,Mycobacterium tuberculosis,bacs,bact,1,TREATS_BACStrtsBACT
C0031676,C0004611,TREATS,phospholipids,Bacteria,bacs,bact,2,TREATS_BACStrtsBACT
C0031676,C0018150,TREATS,phospholipids,Gram Negative Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0031676,C0018154,TREATS,phospholipids,Gram-Positive Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0031676,C0026934,TREATS,phospholipids,Mycoplasma,bacs,bact,1,TREATS_BACStrtsBACT
C0032615,C4698738,TREATS,Polyunsaturated Fatty Acids,Bacteroides spp,bacs,bact,1,TREATS_BACStrtsBACT
C0032712,C0004611,TREATS,Porphyrins,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0033488,C0081786,TREATS,propolis,Microbial Biofilms,bacs,bact,1,TREATS_BACStrtsBACT
C0034085,C0004611,TREATS,Pulmonary Surfactants,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0036248,C0014834,TREATS,Saxitoxin,Escherichia coli,bacs,bact,1,TREATS_BACStrtsBACT
C0036248,C1047211,TREATS,Saxitoxin,Cyanobacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0040815,C0004611,TREATS,trehalose,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0043375,C0014834,TREATS,xylose,Escherichia coli,bacs,bact,2,TREATS_BACStrtsBACT
C0043481,C0004611,TREATS,zinc,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0043791,C0004611,TREATS,"1,2-diacylglycerol",Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0046036,C0004595,TREATS,"2-crotonyloxymethyl-(4R,5R,6R)-4,5,6-trihydroxycyclohex- 2-enone",Bacillus subtilis,bacs,bact,1,TREATS_BACStrtsBACT
C0051369,C0563199,TREATS,alpha-glycerophosphoric acid,bacterial cell,bacs,bact,1,TREATS_BACStrtsBACT
C0065331,C0014834,TREATS,lycopene,Escherichia coli,bacs,bact,6,TREATS_BACStrtsBACT
C0065331,C0079488,TREATS,lycopene,Helicobacter pylori,bacs,bact,1,TREATS_BACStrtsBACT
C0065335,C5141338,TREATS,lycorine,Bacterial strain,bacs,bact,1,TREATS_BACStrtsBACT
C0142281,C1002315,TREATS,Siderophores,Streptomyces pilosus,bacs,bact,1,TREATS_BACStrtsBACT
C0178845,C0014834,TREATS,shikimate,Escherichia coli,bacs,bact,1,TREATS_BACStrtsBACT
C0257136,C0085485,TREATS,homoserine lactone,Pectobacterium carotovorum,bacs,bact,1,TREATS_BACStrtsBACT
C0302583,C0033809,TREATS,iron,Pseudomonas aeruginosa,bacs,bact,1,TREATS_BACStrtsBACT
C0522095,C0014834,TREATS,Long chain fatty acid,Escherichia coli,bacs,bact,1,TREATS_BACStrtsBACT
C0577749,C0004611,TREATS,Phytochemicals,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0677647,C0004611,TREATS,Mevalonate,Bacteria,bacs,bact,1,TREATS_BACStrtsBACT
C0677647,C0014834,TREATS,Mevalonate,Escherichia coli,bacs,bact,3,TREATS_BACStrtsBACT
C1136170,C0004587,TREATS,Virulence Factors,Bacillus <bacterium>,bacs,bact,1,TREATS_BACStrtsBACT
C1136170,C0004611,TREATS,Virulence Factors,Bacteria,bacs,bact,9,TREATS_BACStrtsBACT
C1136170,C0009054,TREATS,Virulence Factors,Clostridium,bacs,bact,1,TREATS_BACStrtsBACT
