cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0032521,C0006826,TREATS,Polymers,Malignant Neoplasms,bodm,neop,1,TREATS_BODMtrtsNEOP
C0032521,C0027651,TREATS,Polymers,Neoplasms,bodm,neop,2,TREATS_BODMtrtsNEOP
C0032521,C0027708,TREATS,Polymers,Nephroblastoma,bodm,neop,1,TREATS_BODMtrtsNEOP
C0032521,C0220630,TREATS,Polymers,Adult Liver Carcinoma,bodm,neop,1,TREATS_BODMtrtsNEOP
C0032521,C0278488,TREATS,Polymers,Carcinoma breast stage IV,bodm,neop,1,TREATS_BODMtrtsNEOP
C0071599,C0006826,TREATS,polylactic acid-polyglycolic acid copolymer,Malignant Neoplasms,bodm,neop,1,TREATS_BODMtrtsNEOP
C1563732,C0006826,TREATS,Dendrimers,Malignant Neoplasms,bodm,neop,2,TREATS_BODMtrtsNEOP
C1563732,C0007847,TREATS,Dendrimers,Malignant tumor of cervix,bodm,neop,1,TREATS_BODMtrtsNEOP
C1563732,C0027651,TREATS,Dendrimers,Neoplasms,bodm,neop,1,TREATS_BODMtrtsNEOP
C1563732,C0280100,TREATS,Dendrimers,Solid Neoplasm,bodm,neop,1,TREATS_BODMtrtsNEOP
