cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000325,C0017638,TREATS,20-Methylcholanthrene,Glioma,hops,neop,1,TREATS_HOPStrtsNEOP
C0002073,C0006826,TREATS,Alkylating Agents,Malignant Neoplasms,hops,neop,2,TREATS_HOPStrtsNEOP
C0002073,C0017636,TREATS,Alkylating Agents,Glioblastoma,hops,neop,2,TREATS_HOPStrtsNEOP
C0002073,C0017638,TREATS,Alkylating Agents,Glioma,hops,neop,1,TREATS_HOPStrtsNEOP
C0002073,C0019829,TREATS,Alkylating Agents,Hodgkin Disease,hops,neop,1,TREATS_HOPStrtsNEOP
C0002073,C0023434,TREATS,Alkylating Agents,Chronic Lymphocytic Leukemia,hops,neop,3,TREATS_HOPStrtsNEOP
C0002073,C0024299,TREATS,Alkylating Agents,Lymphoma,hops,neop,1,TREATS_HOPStrtsNEOP
C0002073,C0024305,TREATS,Alkylating Agents,"Lymphoma, Non-Hodgkin",hops,neop,1,TREATS_HOPStrtsNEOP
C0002073,C0026764,TREATS,Alkylating Agents,Multiple Myeloma,hops,neop,1,TREATS_HOPStrtsNEOP
C0002073,C0027651,TREATS,Alkylating Agents,Neoplasms,hops,neop,2,TREATS_HOPStrtsNEOP
C0002073,C0153633,TREATS,Alkylating Agents,Malignant neoplasm of brain,hops,neop,1,TREATS_HOPStrtsNEOP
C0002073,C0220603,TREATS,Alkylating Agents,Childhood Brain Neoplasm,hops,neop,1,TREATS_HOPStrtsNEOP
C0002073,C0278704,TREATS,Alkylating Agents,Malignant Childhood Neoplasm,hops,neop,1,TREATS_HOPStrtsNEOP
C0006463,C0376545,TREATS,busulfan,Hematologic Neoplasms,hops,neop,1,TREATS_HOPStrtsNEOP
C0012200,C2239176,TREATS,Diethylnitrosamine,Liver carcinoma,hops,neop,1,TREATS_HOPStrtsNEOP
C0026874,C0024299,TREATS,Mustard Gas,Lymphoma,hops,neop,2,TREATS_HOPStrtsNEOP
C0028165,C0006826,TREATS,Nitrogen Mustard Compounds,Malignant Neoplasms,hops,neop,1,TREATS_HOPStrtsNEOP
C0032334,C0023418,TREATS,podofilox,leukemia,hops,neop,1,TREATS_HOPStrtsNEOP
C0033472,C0027708,TREATS,propiolactone,Nephroblastoma,hops,neop,1,TREATS_HOPStrtsNEOP
C0039736,C0006826,TREATS,thalidomide,Malignant Neoplasms,hops,neop,3,TREATS_HOPStrtsNEOP
C0039736,C0026764,TREATS,thalidomide,Multiple Myeloma,hops,neop,5,TREATS_HOPStrtsNEOP
C0039736,C3463824,TREATS,thalidomide,MYELODYSPLASTIC SYNDROME,hops,neop,1,TREATS_HOPStrtsNEOP
C0039871,C0027651,TREATS,thiotepa,Neoplasms,hops,neop,2,TREATS_HOPStrtsNEOP
C0039871,C0280803,TREATS,thiotepa,Primary central nervous system lymphoma,hops,neop,1,TREATS_HOPStrtsNEOP
C0039872,C0027651,TREATS,Thioacetamide,Neoplasms,hops,neop,1,TREATS_HOPStrtsNEOP
C0040845,C0023467,TREATS,tretinoin,"Leukemia, Myelocytic, Acute",hops,neop,2,TREATS_HOPStrtsNEOP
C0040845,C0023487,TREATS,tretinoin,Acute Promyelocytic Leukemia,hops,neop,3,TREATS_HOPStrtsNEOP
C0040845,C4528668,TREATS,tretinoin,Refractory Acute Myeloid Leukemia,hops,neop,1,TREATS_HOPStrtsNEOP
C0052416,C0023487,TREATS,arsenic trioxide,Acute Promyelocytic Leukemia,hops,neop,2,TREATS_HOPStrtsNEOP
C0052416,C0023493,TREATS,arsenic trioxide,Adult T-Cell Lymphoma/Leukemia,hops,neop,1,TREATS_HOPStrtsNEOP
C0066256,C0343079,TREATS,methyl isocyanate,"Milia, Multiple Eruptive",hops,neop,1,TREATS_HOPStrtsNEOP
C0069299,C0007097,TREATS,ochratoxin A,Carcinoma,hops,neop,1,TREATS_HOPStrtsNEOP
C0069299,C0042076,TREATS,ochratoxin A,Urologic Neoplasms,hops,neop,1,TREATS_HOPStrtsNEOP
C0242402,C0006826,TREATS,Opioids,Malignant Neoplasms,hops,neop,1,TREATS_HOPStrtsNEOP
