cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000618,C0150775,TREATS,mercaptopurine,Social Networks,nnon,humn,1,TREATS_NNONtrtsHUMN
C0001367,C0043210,TREATS,acyclovir,Woman,nnon,humn,2,TREATS_NNONtrtsHUMN
C0001367,C0871685,TREATS,acyclovir,Clinician,nnon,humn,1,TREATS_NNONtrtsHUMN
C0001367,C4331301,TREATS,acyclovir,Solid Organ Transplant Recipient,nnon,humn,1,TREATS_NNONtrtsHUMN
C0004475,C1710470,TREATS,azacitidine,Treating Physician,nnon,humn,1,TREATS_NNONtrtsHUMN
C0010711,C0238607,TREATS,cytarabine,AIDS patient,nnon,humn,1,TREATS_NNONtrtsHUMN
C0012133,C0040288,TREATS,didanosine,Tissue Donors,nnon,humn,1,TREATS_NNONtrtsHUMN
C0016278,C1709854,TREATS,flucytosine,Recipient,nnon,humn,1,TREATS_NNONtrtsHUMN
C0017066,C0035173,TREATS,ganciclovir,Research Personnel,nnon,humn,1,TREATS_NNONtrtsHUMN
C0017066,C0238607,TREATS,ganciclovir,AIDS patient,nnon,humn,1,TREATS_NNONtrtsHUMN
C0017066,C0376387,TREATS,ganciclovir,Transplant Recipients,nnon,humn,3,TREATS_NNONtrtsHUMN
C0017066,C0741926,TREATS,ganciclovir,cardiac patient,nnon,humn,1,TREATS_NNONtrtsHUMN
C0017066,C1709854,TREATS,ganciclovir,Recipient,nnon,humn,6,TREATS_NNONtrtsHUMN
C0017066,C4331301,TREATS,ganciclovir,Solid Organ Transplant Recipient,nnon,humn,1,TREATS_NNONtrtsHUMN
C0017066,C4522252,TREATS,ganciclovir,Foundation for the Accreditation of Cellular Therapy,nnon,humn,1,TREATS_NNONtrtsHUMN
C0020811,C0025266,TREATS,idoxuridine,Male population group,nnon,humn,1,TREATS_NNONtrtsHUMN
C0020811,C0242444,TREATS,idoxuridine,Population at Risk,nnon,humn,1,TREATS_NNONtrtsHUMN
C0020811,C0598781,TREATS,idoxuridine,communes,nnon,humn,1,TREATS_NNONtrtsHUMN
C0032414,C1709696,TREATS,Poly I-C,Producer,nnon,humn,1,TREATS_NNONtrtsHUMN
C0032414,C3812881,TREATS,Poly I-C,Author,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C0008098,TREATS,ribavirin,"Child, Hospitalized",nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C0025266,TREATS,ribavirin,Male population group,nnon,humn,3,TREATS_NNONtrtsHUMN
C0035525,C0028661,TREATS,ribavirin,Nurses,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C0031228,TREATS,ribavirin,"Personnel, Hospital",nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C0031831,TREATS,ribavirin,Physicians,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C0033011,TREATS,ribavirin,Pregnant Women,nnon,humn,13,TREATS_NNONtrtsHUMN
C0035525,C0043210,TREATS,ribavirin,Woman,nnon,humn,4,TREATS_NNONtrtsHUMN
C0035525,C0085537,TREATS,ribavirin,Caregiver,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C0206194,TREATS,ribavirin,Survivors,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C0242444,TREATS,ribavirin,Population at Risk,nnon,humn,4,TREATS_NNONtrtsHUMN
C0035525,C0376387,TREATS,ribavirin,Transplant Recipients,nnon,humn,10,TREATS_NNONtrtsHUMN
C0035525,C0402883,TREATS,ribavirin,tailor,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C0681088,TREATS,ribavirin,coworker,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C0870668,TREATS,ribavirin,hospitalized patients,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C1516213,TREATS,ribavirin,Cancer Patient,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C1708335,TREATS,ribavirin,Healthy Volunteers,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C1709854,TREATS,ribavirin,Recipient,nnon,humn,27,TREATS_NNONtrtsHUMN
C0035525,C3812881,TREATS,ribavirin,Author,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C4288965,TREATS,ribavirin,Hematopoietic Cell Transplant Recipient,nnon,humn,2,TREATS_NNONtrtsHUMN
C0035525,C4304779,TREATS,ribavirin,Kidney Transplant Recipient,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C4522252,TREATS,ribavirin,Foundation for the Accreditation of Cellular Therapy,nnon,humn,2,TREATS_NNONtrtsHUMN
C0035525,C4740649,TREATS,ribavirin,Specific population,nnon,humn,1,TREATS_NNONtrtsHUMN
C0035525,C5205742,TREATS,ribavirin,Treatment Group,nnon,humn,5,TREATS_NNONtrtsHUMN
C0043474,C0033011,TREATS,zidovudine,Pregnant Women,nnon,humn,1,TREATS_NNONtrtsHUMN
C0043474,C0238607,TREATS,zidovudine,AIDS patient,nnon,humn,1,TREATS_NNONtrtsHUMN
C0043474,C0870668,TREATS,zidovudine,hospitalized patients,nnon,humn,1,TREATS_NNONtrtsHUMN
C0045093,C0043210,TREATS,gemcitabine,Woman,nnon,humn,1,TREATS_NNONtrtsHUMN
C0045093,C1516213,TREATS,gemcitabine,Cancer Patient,nnon,humn,2,TREATS_NNONtrtsHUMN
C0045093,C1999167,TREATS,gemcitabine,Old age,nnon,humn,1,TREATS_NNONtrtsHUMN
C0050063,C0008098,TREATS,8-chloro-cyclic adenosine monophosphate,"Child, Hospitalized",nnon,humn,1,TREATS_NNONtrtsHUMN
C0050063,C0031831,TREATS,8-chloro-cyclic adenosine monophosphate,Physicians,nnon,humn,1,TREATS_NNONtrtsHUMN
C0050063,C0221457,TREATS,8-chloro-cyclic adenosine monophosphate,Teacher,nnon,humn,1,TREATS_NNONtrtsHUMN
C0050063,C0524647,TREATS,8-chloro-cyclic adenosine monophosphate,Soldiers,nnon,humn,1,TREATS_NNONtrtsHUMN
C0050063,C0851286,TREATS,8-chloro-cyclic adenosine monophosphate,Staff,nnon,humn,1,TREATS_NNONtrtsHUMN
C0050063,C2700280,TREATS,8-chloro-cyclic adenosine monophosphate,World,nnon,humn,1,TREATS_NNONtrtsHUMN
C0050178,C2700280,TREATS,buciclovir,World,nnon,humn,1,TREATS_NNONtrtsHUMN
C0071359,C0020155,TREATS,poly ICLC,Human Volunteers,nnon,humn,1,TREATS_NNONtrtsHUMN
C0164815,C0007457,TREATS,penciclovir,Caucasoid Race,nnon,humn,1,TREATS_NNONtrtsHUMN
C0164815,C0079891,TREATS,penciclovir,Indigenous Population (Natives),nnon,humn,2,TREATS_NNONtrtsHUMN
C0164815,C0337879,TREATS,penciclovir,Navaho (ethnic group),nnon,humn,1,TREATS_NNONtrtsHUMN
C0164815,C2348484,TREATS,penciclovir,Exposed Population,nnon,humn,1,TREATS_NNONtrtsHUMN
C0170737,C0043210,TREATS,Racivir,Woman,nnon,humn,1,TREATS_NNONtrtsHUMN
C0286079,C0376387,TREATS,cidofovir,Transplant Recipients,nnon,humn,2,TREATS_NNONtrtsHUMN
C0286079,C1709854,TREATS,cidofovir,Recipient,nnon,humn,1,TREATS_NNONtrtsHUMN
C0286079,C4304779,TREATS,cidofovir,Kidney Transplant Recipient,nnon,humn,1,TREATS_NNONtrtsHUMN
C0384228,C1708335,TREATS,tenofovir,Healthy Volunteers,nnon,humn,1,TREATS_NNONtrtsHUMN
