cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001367,C0010825,TREATS,acyclovir,Cytomegalovirus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0001367,C0012923,TREATS,acyclovir,DNA Viruses,nnon,virs,1,TREATS_NNONtrtsVIRS
C0001367,C0014644,TREATS,acyclovir,Epstein-Barr virus,nnon,virs,2,TREATS_NNONtrtsVIRS
C0001367,C0019351,TREATS,acyclovir,"herpesvirus 2, human",nnon,virs,2,TREATS_NNONtrtsVIRS
C0001367,C0019369,TREATS,acyclovir,Herpesviridae,nnon,virs,5,TREATS_NNONtrtsVIRS
C0001367,C0042338,TREATS,acyclovir,"herpesvirus 3, human",nnon,virs,6,TREATS_NNONtrtsVIRS
C0001367,C0042776,TREATS,acyclovir,Virus,nnon,virs,2,TREATS_NNONtrtsVIRS
C0001367,C0206558,TREATS,acyclovir,Simplexvirus,nnon,virs,7,TREATS_NNONtrtsVIRS
C0001367,C0206679,TREATS,acyclovir,"herpesvirus 1, human",nnon,virs,5,TREATS_NNONtrtsVIRS
C0012054,C0206419,TREATS,Bucladesine,Genus: Coronavirus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0012133,C0019682,TREATS,didanosine,HIV,nnon,virs,1,TREATS_NNONtrtsVIRS
C0012133,C0206679,TREATS,didanosine,"herpesvirus 1, human",nnon,virs,1,TREATS_NNONtrtsVIRS
C0016360,C0011139,TREATS,fluorouracil,Defective Viruses,nnon,virs,1,TREATS_NNONtrtsVIRS
C0016360,C0019185,TREATS,fluorouracil,Murine hepatitis virus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0016360,C0042776,TREATS,fluorouracil,Virus,nnon,virs,2,TREATS_NNONtrtsVIRS
C0016360,C1175743,TREATS,fluorouracil,SARS coronavirus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0017066,C0010825,TREATS,ganciclovir,Cytomegalovirus,nnon,virs,5,TREATS_NNONtrtsVIRS
C0017066,C0014644,TREATS,ganciclovir,Epstein-Barr virus,nnon,virs,6,TREATS_NNONtrtsVIRS
C0017066,C0019381,TREATS,ganciclovir,"herpesvirus 6, human",nnon,virs,2,TREATS_NNONtrtsVIRS
C0017066,C0021344,TREATS,ganciclovir,human papillomavirus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0017066,C0042776,TREATS,ganciclovir,Virus,nnon,virs,2,TREATS_NNONtrtsVIRS
C0017066,C0205725,TREATS,ganciclovir,"herpesvirus 5, human",nnon,virs,3,TREATS_NNONtrtsVIRS
C0017066,C0206558,TREATS,ganciclovir,Simplexvirus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0017066,C0206679,TREATS,ganciclovir,"herpesvirus 1, human",nnon,virs,2,TREATS_NNONtrtsVIRS
C0017066,C1512048,TREATS,ganciclovir,Double Stranded DNA Virus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0018330,C0019369,TREATS,guanosine,Herpesviridae,nnon,virs,1,TREATS_NNONtrtsVIRS
C0018330,C0035236,TREATS,guanosine,Respiratory syncytial virus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0018330,C0035691,TREATS,guanosine,RNA Viruses,nnon,virs,1,TREATS_NNONtrtsVIRS
C0018330,C0206545,TREATS,guanosine,Human respiratory syncytial virus,nnon,virs,2,TREATS_NNONtrtsVIRS
C0020811,C0019351,TREATS,idoxuridine,"herpesvirus 2, human",nnon,virs,1,TREATS_NNONtrtsVIRS
C0020811,C0042338,TREATS,idoxuridine,"herpesvirus 3, human",nnon,virs,1,TREATS_NNONtrtsVIRS
C0020811,C0206679,TREATS,idoxuridine,"herpesvirus 1, human",nnon,virs,1,TREATS_NNONtrtsVIRS
C0021528,C0011315,TREATS,inosine,Dengue Virus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0021528,C0035236,TREATS,inosine,Respiratory syncytial virus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0021528,C1005582,TREATS,inosine,dsRNA viruses,nnon,virs,1,TREATS_NNONtrtsVIRS
C0021528,C1175743,TREATS,inosine,SARS coronavirus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0022230,C0029341,TREATS,inosine pranobex,Orthomyxoviridae,nnon,virs,1,TREATS_NNONtrtsVIRS
C0022230,C1623048,TREATS,inosine pranobex,Vesicular stomatitis virus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0032414,C0027984,TREATS,Poly I-C,Newcastle disease virus,nnon,virs,1,TREATS_NNONtrtsVIRS
C0032414,C0029347,TREATS,Poly I-C,influenza A virus,nnon,virs,1,TREATS_NNONtrtsVIRS
