cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000966,C0001973,TREATS,acetaldehyde,"Alcoholic Intoxication, Chronic",orch,mobd,1,TREATS_ORCHtrtsMOBD
C0000970,C0438696,TREATS,acetaminophen,Suicidal,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0001392,C0338656,TREATS,Adamantane,Impaired cognition,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0001927,C0003469,TREATS,albuterol,Anxiety Disorders,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0001962,C0001956,TREATS,ethanol,Alcohol Use Disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0001962,C0001969,TREATS,ethanol,Alcoholic Intoxication,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0001962,C0038436,TREATS,ethanol,Post-Traumatic Stress Disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0001962,C0237236,TREATS,ethanol,Sexual assault,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0002062,C0549622,TREATS,Alkaloids,Sexual Dysfunction,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0002403,C0007398,TREATS,amantadine,Catatonia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0002403,C0338656,TREATS,amantadine,Impaired cognition,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0002404,C0011581,TREATS,amantadine sulfate,Depressive disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0002598,C0021122,TREATS,amiodarone,"Disruptive, Impulse Control, and Conduct Disorders",orch,mobd,1,TREATS_ORCHtrtsMOBD
C0002658,C1263846,TREATS,amphetamine,Attention deficit hyperactivity disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0002772,C0085281,TREATS,"Analgesics, Opioid",Addictive Behavior,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0002772,C0588006,TREATS,"Analgesics, Opioid",Mild depression,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0002772,C4324621,TREATS,"Analgesics, Opioid",Opioid Use Disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0002772,C4763868,TREATS,"Analgesics, Opioid",Cocaine Use Disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0004147,C0524662,TREATS,atenolol,Opiate Addiction,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0005064,C0003467,TREATS,Benzodiazepines,Anxiety,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0005064,C0007398,TREATS,Benzodiazepines,Catatonia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0005064,C0011206,TREATS,Benzodiazepines,Delirium,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0005064,C0033975,TREATS,Benzodiazepines,Psychotic Disorders,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0006405,C0029104,TREATS,buprenorphine,Opioid withdrawal,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0006405,C0031873,TREATS,buprenorphine,Pica Disease,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0006405,C4324621,TREATS,buprenorphine,Opioid Use Disorder,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0006462,C0270549,TREATS,buspirone,Generalized Anxiety Disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0006491,C0003467,TREATS,butorphanol,Anxiety,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0006525,C0004936,TREATS,Butyrophenones,Mental disorders,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0006525,C0036341,TREATS,Butyrophenones,Schizophrenia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0006863,C0038586,TREATS,cannabidiol,Substance Use Disorders,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0006949,C0005586,TREATS,carbamazepine,Bipolar Disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0006949,C0338831,TREATS,carbamazepine,Manic,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0007004,C0935572,TREATS,Carbohydrates,Stalking (behavior),orch,mobd,1,TREATS_ORCHtrtsMOBD
C0008286,C0036341,TREATS,chlorpromazine,Schizophrenia,orch,mobd,3,TREATS_ORCHtrtsMOBD
C0009010,C1704373,TREATS,clomipramine,Compulsive Personality Disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0009011,C2362914,TREATS,clonazepam,clinical depression,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0009014,C0011206,TREATS,clonidine,Delirium,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0009014,C0040188,TREATS,clonidine,Tic disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0009079,C0033975,TREATS,clozapine,Psychotic Disorders,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0009079,C0036341,TREATS,clozapine,Schizophrenia,orch,mobd,4,TREATS_ORCHtrtsMOBD
C0009079,C0392322,TREATS,clozapine,Undifferentiated schizophrenia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0010583,C0011581,TREATS,cyclophosphamide,Depressive disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0010620,C3840121,TREATS,cyproheptadine,Avoidant Restrictive Food Intake Disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0011812,C1263846,TREATS,dextroamphetamine,Attention deficit hyperactivity disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0011812,C2711618,TREATS,dextroamphetamine,Stimulant dependence,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0012403,C0001546,TREATS,dimethyl sulfoxide,Adjustment Disorders,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0012772,C0001973,TREATS,disulfiram,"Alcoholic Intoxication, Chronic",orch,mobd,4,TREATS_ORCHtrtsMOBD
C0012772,C0085762,TREATS,disulfiram,Alcohol abuse,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0012772,C4763868,TREATS,disulfiram,Cocaine Use Disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0013618,C0086168,TREATS,edetic acid,Dissociation,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0014695,C0011581,TREATS,ergocalciferol,Depressive disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0014695,C0236848,TREATS,ergocalciferol,Age-related cognitive decline,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0015133,C0040188,TREATS,etoposide,Tic disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0016340,C0086168,TREATS,Fluorocarbons,Dissociation,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0016365,C0011581,TREATS,fluoxetine,Depressive disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0016365,C1263846,TREATS,fluoxetine,Attention deficit hyperactivity disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0016365,C3840121,TREATS,fluoxetine,Avoidant Restrictive Food Intake Disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0016368,C0870281,TREATS,fluphenazine,Chronic mental disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0016383,C0036341,TREATS,fluspirilene,Schizophrenia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0016967,C0002622,TREATS,galantamine,Amnesia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0016967,C0497327,TREATS,galantamine,Dementia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0017906,C0036341,TREATS,Glycoconjugates,Schizophrenia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0018305,C0233514,TREATS,guaifenesin,Abnormal behavior,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0018546,C0011206,TREATS,haloperidol,Delirium,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0018546,C0029226,TREATS,haloperidol,"Hallucinations, Organic",orch,mobd,1,TREATS_ORCHtrtsMOBD
C0018546,C0033975,TREATS,haloperidol,Psychotic Disorders,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0018546,C0746402,TREATS,haloperidol,manic symptom,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0019590,C0003467,TREATS,Histamine Antagonists,Anxiety,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0019590,C0233601,TREATS,Histamine Antagonists,Spraying behavior,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0020336,C0011581,TREATS,hydroxychloroquine,Depressive disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0020336,C0033975,TREATS,hydroxychloroquine,Psychotic Disorders,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0020404,C0003467,TREATS,hydroxyzine,Anxiety,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0020934,C0011581,TREATS,imipramine,Depressive disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0022611,C0024809,TREATS,kerosene,Marijuana Abuse,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0022614,C0011581,TREATS,ketamine,Depressive disorder,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0022634,C0011206,TREATS,Ketones,Delirium,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0023992,C0040188,TREATS,loperamide,Tic disorder,orch,mobd,6,TREATS_ORCHtrtsMOBD
C0024002,C0003467,TREATS,lorazepam,Anxiety,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0024002,C0011206,TREATS,lorazepam,Delirium,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0024002,C0011581,TREATS,lorazepam,Depressive disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0024002,C2362914,TREATS,lorazepam,clinical depression,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0024002,C3840121,TREATS,lorazepam,Avoidant Restrictive Food Intake Disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0024056,C0036341,TREATS,loxapine,Schizophrenia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0025242,C0338656,TREATS,memantine,Impaired cognition,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0025242,C0497327,TREATS,memantine,Dementia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0025605,C0858353,TREATS,methadone,addicted to heroin,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0025605,C4324621,TREATS,methadone,Opioid Use Disorder,orch,mobd,3,TREATS_ORCHtrtsMOBD
C0025659,C0009676,TREATS,methocarbamol,Confusion,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0025678,C0011206,TREATS,methotrimeprazine,Delirium,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0025810,C0007398,TREATS,methylphenidate,Catatonia,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0025810,C0011206,TREATS,methylphenidate,Delirium,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0025810,C0085632,TREATS,methylphenidate,Apathy,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0025810,C0338656,TREATS,methylphenidate,Impaired cognition,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0025810,C2711618,TREATS,methylphenidate,Stimulant dependence,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0026056,C0003467,TREATS,midazolam,Anxiety,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0026549,C0003467,TREATS,morphine,Anxiety,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0026549,C0011206,TREATS,morphine,Delirium,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0026549,C0026552,TREATS,morphine,Morphine Dependence,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0026549,C2585697,TREATS,morphine,Aerophobia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0027358,C0086168,TREATS,naloxone,Dissociation,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0027358,C4735570,TREATS,naloxone,Opioid Overdose,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0027360,C4324621,TREATS,naltrexone,Opioid Use Disorder,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0028094,C0497327,TREATS,nimodipine,Dementia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0028910,C0002622,TREATS,"Oils, Volatile",Amnesia,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0028910,C0599909,TREATS,"Oils, Volatile",stress related disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0028959,C0935572,TREATS,Oligosaccharides,Stalking (behavior),orch,mobd,1,TREATS_ORCHtrtsMOBD
C0033497,C0524662,TREATS,propranolol,Opiate Addiction,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0034354,C0011206,TREATS,Pyruvates,Delirium,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0035179,C0004936,TREATS,reserpine,Mental disorders,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0036078,C0011581,TREATS,sulfasalazine,Depressive disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0036078,C0018524,TREATS,sulfasalazine,Hallucinations,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0037556,C4042834,TREATS,sodium tetradecyl sulfate,Compassion Fatigue,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0038317,C0033975,TREATS,Steroids,Psychotic Disorders,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0038317,C0424295,TREATS,Steroids,Hyperactive behavior,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0039771,C0270327,TREATS,theophylline,Bedwetting,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0040805,C0011581,TREATS,trazodone,Depressive disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0042291,C0004936,TREATS,valproic acid,Mental disorders,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0042291,C0005586,TREATS,valproic acid,Bipolar Disorder,orch,mobd,1,TREATS_ORCHtrtsMOBD
C0042291,C0011206,TREATS,valproic acid,Delirium,orch,mobd,2,TREATS_ORCHtrtsMOBD
C0042291,C0338831,TREATS,valproic acid,Manic,orch,mobd,2,TREATS_ORCHtrtsMOBD
