cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001675,C0021430,USES,Adult,Informed Consent,aggp,rnlw,1,USES_AGGPusesRNLW
C0001675,C3542017,USES,Adult,Preexisting Condition Coverage,aggp,rnlw,6,USES_AGGPusesRNLW
C0008059,C0006912,USES,Child,Capital Punishment,aggp,rnlw,1,USES_AGGPusesRNLW
C0008059,C0021430,USES,Child,Informed Consent,aggp,rnlw,7,USES_AGGPusesRNLW
C0008059,C0023636,USES,Child,License,aggp,rnlw,1,USES_AGGPusesRNLW
C0008059,C3542017,USES,Child,Preexisting Condition Coverage,aggp,rnlw,12,USES_AGGPusesRNLW
C0021270,C0018735,USES,Infant,Health Policy,aggp,rnlw,1,USES_AGGPusesRNLW
C0021270,C0021430,USES,Infant,Informed Consent,aggp,rnlw,4,USES_AGGPusesRNLW
C0021270,C3542017,USES,Infant,Preexisting Condition Coverage,aggp,rnlw,4,USES_AGGPusesRNLW
C0021270,C4744959,USES,Infant,Accelerated Approval,aggp,rnlw,1,USES_AGGPusesRNLW
C0021289,C0018735,USES,"Infant, Newborn",Health Policy,aggp,rnlw,1,USES_AGGPusesRNLW
C0021289,C3542017,USES,"Infant, Newborn",Preexisting Condition Coverage,aggp,rnlw,1,USES_AGGPusesRNLW
C0205847,C3542017,USES,Middle Aged,Preexisting Condition Coverage,aggp,rnlw,1,USES_AGGPusesRNLW
