cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006282,C3536832,USES,Contrast bronchogram,air,diap,inch,272,USES_DIAPusesINCH
C0006290,C3536832,USES,Bronchoscopy,air,diap,inch,1,USES_DIAPusesINCH
C0024485,C0060240,USES,Magnetic Resonance Imaging,ferric oxide,diap,inch,1,USES_DIAPusesINCH
C0024485,C0729631,USES,Magnetic Resonance Imaging,Carbon-13,diap,inch,125,USES_DIAPusesINCH
C0027431,C3536832,USES,Nasal Provocation Tests,air,diap,inch,1,USES_DIAPusesINCH
C0031150,C0043047,USES,Laparoscopy,water,diap,inch,1,USES_DIAPusesINCH
C0034606,C0205962,USES,Radionuclide Imaging,Pertechnetate,diap,inch,1,USES_DIAPusesINCH
C0037981,C0445115,USES,Spirometry,Normal saline,diap,inch,1,USES_DIAPusesINCH
C0040399,C0145055,USES,"Tomography, Emission-Computed, Single-Photon",technetium Tc 99m exametazime,diap,inch,1,USES_DIAPusesINCH
C0040420,C3536832,USES,Tonometry,air,diap,inch,1,USES_DIAPusesINCH
C0041618,C0043047,USES,Ultrasonography,water,diap,inch,1,USES_DIAPusesINCH
C0079835,C0009359,USES,"Microscopy, Immunoelectron",Gold Colloid,diap,inch,4,USES_DIAPusesINCH
C0190979,C0043047,USES,Venous blood sampling,water,diap,inch,1,USES_DIAPusesINCH
C0203634,C0043047,USES,Nuclear medicine procedure,water,diap,inch,2,USES_DIAPusesINCH
C0220908,C0016327,USES,Screening procedure,Fluorides,diap,inch,2,USES_DIAPusesINCH
C0220908,C0036085,USES,Screening procedure,"Saline Solution, Hypertonic",diap,inch,7,USES_DIAPusesINCH
C0497093,C0043047,USES,Sensitivity test,water,diap,inch,1,USES_DIAPusesINCH
C0497093,C0351302,USES,Sensitivity test,sodium salts,diap,inch,1,USES_DIAPusesINCH
C0750430,C1512523,USES,Work-up,hydrochloride,diap,inch,2,USES_DIAPusesINCH
C0807679,C3536832,USES,Radiology studies,air,diap,inch,1,USES_DIAPusesINCH
C0872102,C0036085,USES,assay development,"Saline Solution, Hypertonic",diap,inch,1,USES_DIAPusesINCH
C0872187,C0036085,USES,High Throughput Screening,"Saline Solution, Hypertonic",diap,inch,1,USES_DIAPusesINCH
C0877853,C0729631,USES,"Spectroscopy, Nuclear Magnetic Resonance",Carbon-13,diap,inch,17,USES_DIAPusesINCH
C0919393,C3536832,USES,Blood Circulation Time,air,diap,inch,1,USES_DIAPusesINCH
C1964257,C0031730,USES,Observation - diagnostic procedure,Phosphotungstic Acid,diap,inch,1,USES_DIAPusesINCH
C3825266,C3536832,USES,Temperature measurements,air,diap,inch,1,USES_DIAPusesINCH
C4085887,C3536832,USES,Inspiratory Vital Capacity Test,air,diap,inch,2,USES_DIAPusesINCH
C4554582,C4727246,USES,Equilibrium phase,Platinum Acetylacetonate-Titanium Dioxide Nanoparticles,diap,inch,1,USES_DIAPusesINCH
C4699984,C0729631,USES,Direct observation,Carbon-13,diap,inch,2,USES_DIAPusesINCH
