cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0015576,C0023150,USES,Family,Rules of conduct,famg,rnlw,1,USES_FAMGusesRNLW
C0015576,C0023636,USES,Family,License,famg,rnlw,2,USES_FAMGusesRNLW
C0026591,C0018735,USES,Mother (person),Health Policy,famg,rnlw,1,USES_FAMGusesRNLW
C0030551,C0021430,USES,parent,Informed Consent,famg,rnlw,3,USES_FAMGusesRNLW
C0030551,C0237416,USES,parent,corporal punishment,famg,rnlw,1,USES_FAMGusesRNLW
C0080103,C0023150,USES,Relative (related person),Rules of conduct,famg,rnlw,10,USES_FAMGusesRNLW
C0080103,C0220905,USES,Relative (related person),regulatory,famg,rnlw,1,USES_FAMGusesRNLW
C0337471,C0021430,USES,grandparent,Informed Consent,famg,rnlw,1,USES_FAMGusesRNLW
C0680024,C0023150,USES,family system,Rules of conduct,famg,rnlw,1,USES_FAMGusesRNLW
C0682323,C0023262,USES,Partner in relationship,Legitimacy,famg,rnlw,1,USES_FAMGusesRNLW
C0682323,C0023636,USES,Partner in relationship,License,famg,rnlw,1,USES_FAMGusesRNLW
C0682323,C0220905,USES,Partner in relationship,regulatory,famg,rnlw,3,USES_FAMGusesRNLW
