cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009462,C1516726,USES,Community,Common Scientific Outline NCI,grup,clas,2,USES_GRUPusesCLAS
C0009462,C1705920,USES,Community,Species,grup,clas,21,USES_GRUPusesCLAS
C0009462,C4521843,USES,Community,United States Military Commissioned Officer O5,grup,clas,3,USES_GRUPusesCLAS
C0086418,C0445604,USES,Homo sapiens,Subclass,grup,clas,1,USES_GRUPusesCLAS
C0086418,C0449560,USES,Homo sapiens,Subtype (attribute),grup,clas,2,USES_GRUPusesCLAS
C0086418,C1517886,USES,Homo sapiens,Limited stage (cancer stage),grup,clas,1,USES_GRUPusesCLAS
C0086418,C1518316,USES,Homo sapiens,New Agents,grup,clas,1,USES_GRUPusesCLAS
C0086418,C1705920,USES,Homo sapiens,Species,grup,clas,22,USES_GRUPusesCLAS
C0086418,C1707283,USES,Homo sapiens,Carcinogenic Metal,grup,clas,1,USES_GRUPusesCLAS
C0086418,C4264487,USES,Homo sapiens,Type A,grup,clas,1,USES_GRUPusesCLAS
C0242821,C0441729,USES,Human body,Type 1,grup,clas,1,USES_GRUPusesCLAS
C0242821,C0441730,USES,Human body,Type 2,grup,clas,1,USES_GRUPusesCLAS
C0242821,C0441731,USES,Human body,Type 3,grup,clas,1,USES_GRUPusesCLAS
C0242821,C4264487,USES,Human body,Type A,grup,clas,1,USES_GRUPusesCLAS
C0600420,C1705920,USES,Proxy,Species,grup,clas,1,USES_GRUPusesCLAS
C0870992,C3846368,USES,Observer,International System,grup,clas,1,USES_GRUPusesCLAS
C0871489,C0441766,USES,Team,Stage level 1,grup,clas,2,USES_GRUPusesCLAS
C0871489,C2825217,USES,Team,Union,grup,clas,1,USES_GRUPusesCLAS
C0871489,C4521397,USES,Team,United States Military Commissioned Officer O6,grup,clas,1,USES_GRUPusesCLAS
C0871489,C4521843,USES,Team,United States Military Commissioned Officer O5,grup,clas,1,USES_GRUPusesCLAS
C0871489,C4704700,USES,Team,Negative Results,grup,clas,1,USES_GRUPusesCLAS
C1633987,C1705920,USES,Flock,Species,grup,clas,4,USES_GRUPusesCLAS
C1633987,C4704700,USES,Flock,Negative Results,grup,clas,1,USES_GRUPusesCLAS
C2699414,C0441766,USES,Committee,Stage level 1,grup,clas,1,USES_GRUPusesCLAS
C2699414,C2825217,USES,Committee,Union,grup,clas,1,USES_GRUPusesCLAS
