cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001758,C0078794,USES,Aftercare,zinc sulfate,hlca,inch,1,USES_HLCAusesINCH
C0013164,C0036085,USES,Drug Compounding,"Saline Solution, Hypertonic",hlca,inch,1,USES_HLCAusesINCH
C0013164,C0043047,USES,Drug Compounding,water,hlca,inch,1,USES_HLCAusesINCH
C0018570,C0020281,USES,Hand Disinfection,hydrogen peroxide,hlca,inch,1,USES_HLCAusesINCH
C0018570,C0043047,USES,Hand Disinfection,water,hlca,inch,1,USES_HLCAusesINCH
C0019964,C0043047,USES,Hospital Distribution Systems,water,hlca,inch,5,USES_HLCAusesINCH
C0019993,C0069590,USES,Hospitalization,ORALIT,hlca,inch,3,USES_HLCAusesINCH
C0021634,C3536832,USES,Insufflation,air,hlca,inch,3,USES_HLCAusesINCH
C0030685,C0002607,USES,Patient Discharge,ammonia,hlca,inch,10,USES_HLCAusesINCH
C0030685,C0016327,USES,Patient Discharge,Fluorides,hlca,inch,5,USES_HLCAusesINCH
C0030685,C0020281,USES,Patient Discharge,hydrogen peroxide,hlca,inch,1,USES_HLCAusesINCH
C0030685,C0034320,USES,Patient Discharge,Diphosphates,hlca,inch,7,USES_HLCAusesINCH
C0030685,C0043047,USES,Patient Discharge,water,hlca,inch,2,USES_HLCAusesINCH
C0030695,C3536832,USES,Patient Monitoring,air,hlca,inch,2,USES_HLCAusesINCH
C0031148,C0445115,USES,Peritoneal lavage,Normal saline,hlca,inch,1,USES_HLCAusesINCH
C0031809,C0013832,USES,Physical Examination,Electrolytes,hlca,inch,1,USES_HLCAusesINCH
C0034107,C3536832,USES,Pulse taking,air,hlca,inch,1,USES_HLCAusesINCH
C0035649,C0043047,USES,Risk Management,water,hlca,inch,1,USES_HLCAusesINCH
C0085204,C0037518,USES,Universal Precautions,sodium hypochlorite,hlca,inch,2,USES_HLCAusesINCH
C0150270,C0723457,USES,Medication Management,Stop brand of fluoride,hlca,inch,2,USES_HLCAusesINCH
C0178906,C0043047,USES,Quality monitoring,water,hlca,inch,24,USES_HLCAusesINCH
C0178906,C3536832,USES,Quality monitoring,air,hlca,inch,1,USES_HLCAusesINCH
C0184819,C0043047,USES,Process audit,water,hlca,inch,1,USES_HLCAusesINCH
C0200345,C0043047,USES,Specimen Collection,water,hlca,inch,1,USES_HLCAusesINCH
C0200345,C3536832,USES,Specimen Collection,air,hlca,inch,1,USES_HLCAusesINCH
C0204695,C0043047,USES,Feeding patient,water,hlca,inch,4,USES_HLCAusesINCH
C0204695,C0043491,USES,Feeding patient,zinc oxide,hlca,inch,1,USES_HLCAusesINCH
C0204695,C0053931,USES,Feeding patient,bone meal,hlca,inch,2,USES_HLCAusesINCH
C0204695,C0055370,USES,Feeding patient,chlorine dioxide,hlca,inch,1,USES_HLCAusesINCH
C0220825,C0002615,USES,Evaluation,ammonium chloride,hlca,inch,1,USES_HLCAusesINCH
C0441587,C0016327,USES,Clinical act of insertion,Fluorides,hlca,inch,1,USES_HLCAusesINCH
C0582103,C0445115,USES,Medical Examination,Normal saline,hlca,inch,1,USES_HLCAusesINCH
C0587569,C3536832,USES,Physician service,air,hlca,inch,2,USES_HLCAusesINCH
C0805586,C0020281,USES,Challenge,hydrogen peroxide,hlca,inch,1,USES_HLCAusesINCH
C0805586,C0043047,USES,Challenge,water,hlca,inch,1,USES_HLCAusesINCH
C0805586,C3536832,USES,Challenge,air,hlca,inch,1,USES_HLCAusesINCH
C0808215,C0043047,USES,Temperature setting,water,hlca,inch,1,USES_HLCAusesINCH
C0808215,C3536832,USES,Temperature setting,air,hlca,inch,1,USES_HLCAusesINCH
C1261322,C0013832,USES,Evaluation procedure,Electrolytes,hlca,inch,1,USES_HLCAusesINCH
C1261322,C0043047,USES,Evaluation procedure,water,hlca,inch,2,USES_HLCAusesINCH
C1261322,C3536832,USES,Evaluation procedure,air,hlca,inch,1,USES_HLCAusesINCH
C1273999,C0043047,USES,Monitoring procedure,water,hlca,inch,1,USES_HLCAusesINCH
C1318493,C3536832,USES,Inflation procedure,air,hlca,inch,1,USES_HLCAusesINCH
C1548871,C3536832,USES,Iodine Administration - Consent Type,air,hlca,inch,1,USES_HLCAusesINCH
C1553492,C0043047,USES,Emergency Supply,water,hlca,inch,1,USES_HLCAusesINCH
C1555302,C0043047,USES,Replacement - supply,water,hlca,inch,1,USES_HLCAusesINCH
C1999110,C0043047,USES,Collecting Sample,water,hlca,inch,4,USES_HLCAusesINCH
C1999110,C3536832,USES,Collecting Sample,air,hlca,inch,4,USES_HLCAusesINCH
C2348625,C3536832,USES,Sweep,air,hlca,inch,1,USES_HLCAusesINCH
C2599893,C0445115,USES,Oral care,Normal saline,hlca,inch,1,USES_HLCAusesINCH
C2936643,C1512523,USES,Standard of Care,hydrochloride,hlca,inch,1,USES_HLCAusesINCH
C4042889,C0036085,USES,Children's Health Insurance Program,"Saline Solution, Hypertonic",hlca,inch,1,USES_HLCAusesINCH
C4042889,C0772313,USES,Children's Health Insurance Program,colloidal silver,hlca,inch,1,USES_HLCAusesINCH
C4551779,C0016327,USES,Fluoridation,Fluorides,hlca,inch,1,USES_HLCAusesINCH
C4684780,C0043047,USES,Standard Treatment,water,hlca,inch,2,USES_HLCAusesINCH
