cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002783,C0032520,USES,Epidemiologic Studies,Polymerase Chain Reaction,resa,mbrt,3,USES_RESAusesMBRT
C0002783,C0599161,USES,Epidemiologic Studies,Reverse Transcriptase Polymerase Chain Reaction,resa,mbrt,3,USES_RESAusesMBRT
C0002783,C1513384,USES,Epidemiologic Studies,Molecular Genetic Technique,resa,mbrt,2,USES_RESAusesMBRT
C0002783,C1709846,USES,Epidemiologic Studies,Real-Time Polymerase Chain Reaction,resa,mbrt,1,USES_RESAusesMBRT
C0007328,C0032520,USES,Case-Control Studies,Polymerase Chain Reaction,resa,mbrt,1,USES_RESAusesMBRT
C0007328,C0599161,USES,Case-Control Studies,Reverse Transcriptase Polymerase Chain Reaction,resa,mbrt,1,USES_RESAusesMBRT
C0007328,C1513384,USES,Case-Control Studies,Molecular Genetic Technique,resa,mbrt,1,USES_RESAusesMBRT
C0007328,C1709846,USES,Case-Control Studies,Real-Time Polymerase Chain Reaction,resa,mbrt,3,USES_RESAusesMBRT
C0008972,C1709846,USES,Clinical Research,Real-Time Polymerase Chain Reaction,resa,mbrt,1,USES_RESAusesMBRT
C0008972,C2936622,USES,Clinical Research,Massively-Parallel Sequencing,resa,mbrt,1,USES_RESAusesMBRT
C0008976,C0032520,USES,Clinical Trials,Polymerase Chain Reaction,resa,mbrt,3,USES_RESAusesMBRT
C0008976,C1709846,USES,Clinical Trials,Real-Time Polymerase Chain Reaction,resa,mbrt,1,USES_RESAusesMBRT
C0008976,C4277689,USES,Clinical Trials,Gene Modification,resa,mbrt,1,USES_RESAusesMBRT
C0009015,C0032520,USES,Cloning,Polymerase Chain Reaction,resa,mbrt,6,USES_RESAusesMBRT
C0009015,C1328887,USES,Cloning,genome sequencing,resa,mbrt,1,USES_RESAusesMBRT
C0009085,C1513384,USES,statistical cluster,Molecular Genetic Technique,resa,mbrt,1,USES_RESAusesMBRT
C0009483,C1519305,USES,Community Surveys,Shotgun Sequencing,resa,mbrt,1,USES_RESAusesMBRT
C0010362,C0599161,USES,Cross-Sectional Studies,Reverse Transcriptase Polymerase Chain Reaction,resa,mbrt,1,USES_RESAusesMBRT
C0010362,C1513384,USES,Cross-Sectional Studies,Molecular Genetic Technique,resa,mbrt,2,USES_RESAusesMBRT
C0010995,C0032520,USES,Data Collection,Polymerase Chain Reaction,resa,mbrt,2,USES_RESAusesMBRT
C0010995,C1709846,USES,Data Collection,Real-Time Polymerase Chain Reaction,resa,mbrt,1,USES_RESAusesMBRT
C0010995,C3640076,USES,Data Collection,Whole Genome Sequencing,resa,mbrt,1,USES_RESAusesMBRT
C0010995,C4086963,USES,Data Collection,Whole Transcriptome Sequencing,resa,mbrt,1,USES_RESAusesMBRT
C0011000,C0599161,USES,Data Reporting,Reverse Transcriptase Polymerase Chain Reaction,resa,mbrt,1,USES_RESAusesMBRT
C0011000,C3640076,USES,Data Reporting,Whole Genome Sequencing,resa,mbrt,1,USES_RESAusesMBRT
C0011000,C4086963,USES,Data Reporting,Whole Transcriptome Sequencing,resa,mbrt,1,USES_RESAusesMBRT
C0013175,C1516329,USES,Drug Evaluation,Cell Culture System,resa,mbrt,1,USES_RESAusesMBRT
C0015194,C1709846,USES,"Methodology, Evaluation",Real-Time Polymerase Chain Reaction,resa,mbrt,2,USES_RESAusesMBRT
C0015730,C0032520,USES,Feasibility Studies,Polymerase Chain Reaction,resa,mbrt,1,USES_RESAusesMBRT
C0016441,C2350277,USES,Follow-Up Studies,Genome-Wide Association Study,resa,mbrt,1,USES_RESAusesMBRT
C0016441,C3640076,USES,Follow-Up Studies,Whole Genome Sequencing,resa,mbrt,1,USES_RESAusesMBRT
C0020125,C4687473,USES,Human Genome Project,Capillary Sequencing,resa,mbrt,1,USES_RESAusesMBRT
C0023981,C0032520,USES,Longitudinal Studies,Polymerase Chain Reaction,resa,mbrt,2,USES_RESAusesMBRT
C0023981,C2936622,USES,Longitudinal Studies,Massively-Parallel Sequencing,resa,mbrt,1,USES_RESAusesMBRT
C0031928,C2936621,USES,Pilot Projects,High-Throughput Nucleotide Sequencing,resa,mbrt,1,USES_RESAusesMBRT
C0031928,C2936622,USES,Pilot Projects,Massively-Parallel Sequencing,resa,mbrt,1,USES_RESAusesMBRT
C0032687,C0032520,USES,Population Surveillance,Polymerase Chain Reaction,resa,mbrt,1,USES_RESAusesMBRT
C0033522,C0178659,USES,Prospective Studies,genetic manipulation,resa,mbrt,1,USES_RESAusesMBRT
