cui,type,name
C0000739,bpoc,Abdominal Muscles
C0000741,bpoc,Abducens nerve structure
C0000780,bpoc,Abomasum
C0000962,bpoc,Bone structure of acetabulum
C0001074,bpoc,Structure of achilles tendon
C0001162,bpoc,Acoustic Nerve
C0001209,bpoc,Acromion
C0001428,bpoc,Adenoidal structure
C0001575,bpoc,Uterine adnexae structure
C0001613,bpoc,Adrenal Cortex
C0001625,bpoc,Adrenal Glands
C0001629,bpoc,Adrenal Medulla
C0001728,bpoc,Afferent Pathways
C0001878,bpoc,Air Sacs
C0002386,bpoc,Alveolar Process
C0002708,bpoc,Amygdaloid structure
C0002759,bpoc,Anal Sacs
C0002760,bpoc,Structure of sphincter ani muscle
C0003055,bpoc,Animal Organs
C0003151,bpoc,Anterior chamber of eye structure
C0003153,bpoc,Anterior eyeball segment structure
C0003452,bpoc,Antlers
C0003461,bpoc,Anus
C0003483,bpoc,Aorta
C0003484,bpoc,Abdominal aorta structure
C0003501,bpoc,Aortic valve structure
C0003584,bpoc,Apocrine Glands
C0003617,bpoc,Appendix
C0003707,bpoc,Arachnoid mater
C0003741,bpoc,Structure of nucleus infundibularis hypothalami
C0003842,bpoc,Arteries
C0003847,bpoc,Structure of arteriole
C0003943,bpoc,Arytenoid Cartilage
C0003956,bpoc,Ascending aorta structure
C0004247,bpoc,Structure of atrioventricular node
C0004302,bpoc,Auditory area
C0004385,bpoc,"Autonomic Fibers, Preganglionic"
C0004455,bpoc,Structure of axillary artery
C0004457,bpoc,Axis vertebra
C0004768,bpoc,Bartholin Glands
C0004781,bpoc,Basal Ganglia
C0004811,bpoc,Structure of basilar artery
C0004814,bpoc,Structure of basilar part of occipital bone
C0004895,bpoc,Beak
C0005393,bpoc,Structure of bile canaliculus
C0005400,bpoc,Bile duct structure
C0005401,bpoc,Intrahepatic bile duct
C0005423,bpoc,Biliary tract structure
C0005682,bpoc,Urinary Bladder
C0005847,bpoc,Blood Vessel
C0005854,bpoc,Blood - brain barrier anatomy
C0006087,bpoc,Structure of brachial artery
C0006094,bpoc,Structure of brachiocephalic artery
C0006095,bpoc,Structure of brachiocephalic vein
C0006104,bpoc,Brain
C0006121,bpoc,Brain Stem
C0006141,bpoc,Breast
C0006205,bpoc,Broad Ligament
C0006208,bpoc,Structure of Broca's area
C0006255,bpoc,Bronchi
C0006257,bpoc,Structure of bronchial artery
C0006270,bpoc,Bronchioles
C0006323,bpoc,Brunner Glands
C0006366,bpoc,Bulbourethral gland structure
C0006440,bpoc,Bursa of Fabricius
C0006549,bpoc,C Fibers
C0006655,bpoc,Bone structure of calcaneum
C0006901,bpoc,Blood capillaries
C0007272,bpoc,Carotid Arteries
C0007276,bpoc,Internal carotid artery structure
C0007277,bpoc,Carotid Body
C0007285,bpoc,Bone structure of carpus
C0007458,bpoc,Cauda Equina
C0007531,bpoc,Cecum
C0007569,bpoc,Celiac Artery
C0007571,bpoc,Celiac ganglion
C0007572,bpoc,Celiac Plexus
C0007658,bpoc,Cementoblasts
C0007763,bpoc,Cerebellar Nuclei
C0007765,bpoc,Cerebellum
C0007770,bpoc,Structure of cerebral artery
C0007776,bpoc,Cerebral cortex
C0007793,bpoc,Cerebral Peduncle
C0007797,bpoc,Structure of cerebral vein
C0007874,bpoc,Cervix Uteri
C0008484,bpoc,Structure of chordae tendineae cordis
C0008520,bpoc,Choroid
C0008524,bpoc,Structure of choroid plexus
C0008779,bpoc,Ciliary Body
C0008910,bpoc,Claustral structure
C0008913,bpoc,Bone structure of clavicle
C0008919,bpoc,Claw
C0008984,bpoc,Clitoris
C0009195,bpoc,Cochlear structure
C0009201,bpoc,Cochlear Nerve
C0009368,bpoc,Colon structure (body structure)
C0009437,bpoc,Common bile duct structure
C0009758,bpoc,conjunctiva
C0010031,bpoc,Cornea
C0010040,bpoc,Corneal Stroma
C0010075,bpoc,Coronary Vessels
C0010087,bpoc,Tectal plate
C0010090,bpoc,Corpus Callosum
C0010092,bpoc,Structure of corpus luteum of ovary
C0010268,bpoc,Cranial Nerves
C0010271,bpoc,Cranial Sinuses
C0010316,bpoc,Structure of cribriform plate
C0010352,bpoc,Avian crop
C0010482,bpoc,Cuspid
C0011106,bpoc,Decidua
C0011399,bpoc,Dental Pulp
C0011443,bpoc,Dentition
C0011665,bpoc,Structure of Descemet's membrane
C0011666,bpoc,Descending aorta
C0011980,bpoc,Respiratory Diaphragm
C0012144,bpoc,Structure of diencephalon
C0013303,bpoc,Duodenum
C0013313,bpoc,Dura Mater
C0013443,bpoc,Ear structure
C0013444,bpoc,External auditory canal structure
C0013453,bpoc,External Ear
C0013492,bpoc,Eccrine Glands
C0014133,bpoc,Endocrine Glands
C0014180,bpoc,Endometrium
C0014533,bpoc,Epididymis
C0014540,bpoc,Epiglottis structure
C0014570,bpoc,Epiphysis of bone
C0014876,bpoc,Esophagus
C0015027,bpoc,Ethmoid bone structure
C0015183,bpoc,Eustachian Tube
C0015282,bpoc,Exocrine Glands
C0015385,bpoc,Limb structure
C0015392,bpoc,Eye
C0015420,bpoc,Eyebrow structure
C0015422,bpoc,Eyelash
C0015426,bpoc,Eyelid structure
C0015455,bpoc,Bone structure of face
C0015460,bpoc,Facial Muscles
C0015462,bpoc,Facial nerve structure
C0015560,bpoc,Fallopian Tubes
C0015641,bpoc,Fascia
C0015665,bpoc,Fat Body
C0015731,bpoc,Feathers
C0015801,bpoc,Structure of femoral artery
C0015809,bpoc,Femoral vein
C0015811,bpoc,Femur
C0015813,bpoc,Head of femur
C0015815,bpoc,Structure of neck of femur
C0016068,bpoc,Fibula
C0016129,bpoc,Fingers
C0016504,bpoc,Foot
C0016536,bpoc,Forearm
C0016733,bpoc,frontal lobe
C0016976,bpoc,Gallbladder
C0017067,bpoc,Ganglia
C0017068,bpoc,Autonomic ganglion
C0017069,bpoc,Structure of parasympathetic ganglion
C0017070,bpoc,"Ganglia, Spinal"
C0017071,bpoc,Sympathetic Ganglia
C0017129,bpoc,gastric fundus
C0017130,bpoc,Gastric Glands
C0017420,bpoc,Genitalia
C0017421,bpoc,Female genitalia
C0017422,bpoc,Male Genital Organs
C0017558,bpoc,Gill structure
C0017651,bpoc,Globus Pallidus
C0017679,bpoc,Glossopharyngeal nerve structure
C0018067,bpoc,Gonadal structure
C0018120,bpoc,Ovarian Follicle
C0018283,bpoc,Epiphysial cartilage
C0018427,bpoc,Gyrus Cinguli
C0018494,bpoc,Hair
C0018534,bpoc,Hallux structure
C0018563,bpoc,Hand
C0018597,bpoc,Harderian Gland
C0018787,bpoc,Heart
C0018792,bpoc,Heart Atrium
C0018826,bpoc,Heart Valves
C0018827,bpoc,Heart Ventricle
C0018870,bpoc,Heel
C0019145,bpoc,Hepatic artery
C0019149,bpoc,Common Hepatic Duct
C0019155,bpoc,Structure of hepatic vein
C0019552,bpoc,Hip structure
C0019564,bpoc,Hippocampus (Brain)
C0019908,bpoc,Hoof
C0019939,bpoc,Horns
C0020164,bpoc,Bone structure of humerus
C0020614,bpoc,Hypoglossal nerve structure
C0020663,bpoc,Hypothalamic structure
