cui,type,name
C0000768,cgab,Congenital Abnormality
C0000771,cgab,"Abnormalities, Drug-Induced"
C0000772,cgab,Multiple congenital anomalies
C0000846,cgab,Agenesis
C0001080,cgab,Achondroplasia
C0002447,cgab,Amelia
C0003119,cgab,Anophthalmos
C0003466,cgab,"Anus, Imperforate"
C0003492,cgab,Aortic coarctation
C0003803,cgab,Arnold Chiari Malformation
C0003857,cgab,Congenital arteriovenous malformation
C0005411,cgab,Biliary Atresia
C0005754,cgab,Congenital blindness
C0006281,cgab,Congenital bronchogenic cyst
C0006288,cgab,Bronchopulmonary Sequestration
C0008297,cgab,Choanal Atresia
C0008340,cgab,Choledochal Cyst
C0008626,cgab,Congenital chromosomal disease
C0008924,cgab,Cleft upper lip
C0008925,cgab,Cleft Palate
C0009081,cgab,Congenital clubfoot
C0009363,cgab,Congenital ocular coloboma (disorder)
C0009691,cgab,Congenital cataract
C0009701,cgab,Congenital dislocation
C0009995,cgab,Cor Triatriatum
C0010417,cgab,Cryptorchidism
C0010626,cgab,Embryonic cyst
C0010668,cgab,"Cystic Adenomatoid Malformation of Lung, Congenital"
C0011813,cgab,Dextrocardia
C0012241,cgab,Congenital anomaly of gastrointestinal tract
C0013274,cgab,Patent ductus arteriosus
C0013336,cgab,Dwarfism
C0013364,cgab,"Dysautonomia, Familial"
C0013366,cgab,Dyschondroplasias
C0013481,cgab,Ebstein Anomaly
C0013581,cgab,Ectopia Lentis
C0013589,cgab,Ectromelia
C0014065,cgab,Congenital cerebral hernia
C0014116,cgab,Endocardial Cushion Defects
C0014850,cgab,Esophageal Atresia
C0015393,cgab,Eye Abnormalities
C0016065,cgab,Polyostotic fibrous dysplasia
C0016522,cgab,"Foramen Ovale, Patent"
C0016842,cgab,Congenital pectus excavatum
C0018798,cgab,Congenital Heart Defects
C0018816,cgab,Heart Septal Defects
C0018817,cgab,Atrial Septal Defects
C0018818,cgab,Ventricular Septal Defects
C0020225,cgab,Hydranencephaly
C0020256,cgab,Congenital Hydrocephalus
C0020302,cgab,Hydrophthalmos
C0020636,cgab,underdevelopment
C0022283,cgab,Incontinentia Pigmenti Achromians
C0025037,cgab,Meckel Diverticulum
C0025312,cgab,Meningomyelocele
C0025521,cgab,Inborn Errors of Metabolism
C0025958,cgab,Microcephaly
C0025990,cgab,Micrognathism
C0025995,cgab,Micromelia
C0026010,cgab,Microphthalmos
C0026034,cgab,Microstomia
C0026499,cgab,Monosomy
C0026505,cgab,Monster (disorder)
C0026985,cgab,Myelodysplasia
C0027794,cgab,Neural Tube Defects
C0027806,cgab,Neurenteric Cyst
C0031575,cgab,Phocomelia
C0035313,cgab,Retinal Dysplasia
C0035353,cgab,Congenital retrognathism
C0037221,cgab,Situs Inversus
C0037268,cgab,Skin Abnormalities
C0037917,cgab,Spina Bifida Cystica
C0038475,cgab,Double structure
C0038476,cgab,Supernumerary structure
C0039075,cgab,Syndactyly
C0039685,cgab,Tetralogy of Fallot
C0040759,cgab,Congenital Transposition
C0041428,cgab,"Twins, Conjoined"
C0042063,cgab,Urogenital Abnormalities
C0043346,cgab,Xeroderma Pigmentosum
