cui,type,name
C0002055,inch,Alkalies
C0002154,inch,Alloys
C0002371,inch,aluminum hydroxide
C0002372,inch,aluminum hydroxide gel
C0002374,inch,aluminum oxide
C0002607,inch,ammonia
C0002611,inch,ammonium
C0002615,inch,ammonium chloride
C0002620,inch,ammonium sulfate
C0003522,inch,Apatites
C0004754,inch,barium sulfate
C0005018,inch,bentonite
C0005367,inch,Bicarbonates
C0006020,inch,boric acid
C0006222,inch,Bromides
C0006681,inch,calcium carbonate
C0006686,inch,calcium chloride
C0006701,inch,calcium hydroxide
C0006711,inch,calcium phosphate
C0006712,inch,Calcium Phosphates
C0006717,inch,Calcium Pyrophosphate Dihydrate
C0006720,inch,calcium sulfate
C0006721,inch,Gypsum
C0006726,inch,"Calcium, Dietary"
C0007027,inch,Carbonic Acid
C0008173,inch,Chlorates
C0008203,inch,Chlorides
C0008838,inch,cisplatin
C0009132,inch,Coal dust
C0009359,inch,Gold Colloid
C0010502,inch,Cyanamide
C0010505,inch,Cyanides
C0010511,inch,Cyanogen Bromide
C0011097,inch,Decavanadate
C0011745,inch,Deuterium Oxide
C0013239,inch,Dry Ice
C0013832,inch,Electrolytes
C0016327,inch,Fluorides
C0020231,inch,Hydrazine
C0020259,inch,hydrochloric acid
C0020281,inch,hydrogen peroxide
C0020315,inch,Hydroxides
C0020362,inch,Hydroxylamine
C0020600,inch,hypochlorous acid
C0020746,inch,Ice
C0021966,inch,Iodides
C0022164,inch,Isocyanides
C0022499,inch,kaolin
C0022683,inch,diatomaceous earth
C0024472,inch,magnesium chloride
C0024477,inch,magnesium oxide
C0024480,inch,magnesium sulfate
C0025552,inch,Metals
C0026136,inch,Milk of Calcium
C0026157,inch,Mineral Waters
C0026162,inch,Minerals
C0026504,inch,Monovanadate
C0028167,inch,Nitrogen Oxides
C0028193,inch,nitroprusside
C0028214,inch,Nitrous Acid
C0029356,inch,Orthophosphate
C0029366,inch,Orthovanadate
C0030015,inch,Oxides
C0031068,inch,Periodic Acid
C0031180,inch,Peroxides
C0031603,inch,Phosphates
C0031700,inch,phosphoric acid
C0031730,inch,Phosphotungstic Acid
C0032575,inch,Polyphosphates
C0032825,inch,potassium chloride
C0032831,inch,potassium iodide
C0032838,inch,potassium permanganate
C0034320,inch,Diphosphates
C0034387,inch,Quartz
C0035975,inch,Ruthenium Red
C0036085,inch,"Saline Solution, Hypertonic"
C0036580,inch,selenite
C0037098,inch,silicon dioxide
C0037129,inch,silver nitrate
C0037494,inch,sodium chloride
C0037505,inch,sodium dithionite
C0037508,inch,sodium fluoride
C0037518,inch,sodium hypochlorite
C0037521,inch,sodium iodide
C0037532,inch,sodium nitrite
C0037568,inch,Sodium Vanadate
C0038225,inch,Steam
C0038720,inch,"Sulfates, Inorganic"
C0038750,inch,Sulfites
C0038762,inch,Sulfonic Acids
C0038779,inch,sulfur hexafluoride
C0038782,inch,Sulfur Oxides
C0038784,inch,sulfuric acid
C0039267,inch,talc
C0039950,inch,Thiosulfates
C0041929,inch,uranyl nitrate
C0042305,inch,Vanadates
C0042308,inch,Vanadyl
C0043047,inch,water
C0043491,inch,zinc oxide
C0051508,inch,aluminosilicate
C0051519,inch,aluminum phosphate
C0051522,inch,aluminum sulfate
C0051710,inch,ammonium bromide
C0051719,inch,ammonium hydroxide
C0051721,inch,ammonium molybdate
C0051722,inch,ammonium nitrate
C0051723,inch,ammonium peroxydisulfate
C0051724,inch,ammonium phosphate
C0051752,inch,Amphiboles
C0052070,inch,antimony trioxide
C0052418,inch,arsenite
C0052657,inch,attapulgite
C0052976,inch,barium hydroxide
C0053349,inch,beryllium oxide
C0053786,inch,bismuth oxide
C0053787,inch,bismuth oxychloride
C0053931,inch,bone meal
C0053942,inch,Borax
C0054027,inch,brass
C0054057,inch,brine
C0054413,inch,cadmium nitrate
C0054476,inch,calcium nitrate
C0054739,inch,carboxyl radical
C0055134,inch,cesium chloride
C0055138,inch,cesium sulfate
C0055330,inch,chloramine
C0055370,inch,chlorine dioxide
C0055449,inch,chlorosulfonic acid
C0055617,inch,chromic chloride
C0055625,inch,chromium dioxide
C0055628,inch,chromium oxide
C0055629,inch,chromium sulfate
C0055863,inch,clay
C0056036,inch,cobaltous chloride
C0056301,inch,copper sulfate
C0056598,inch,cupric oxide
C0056599,inch,cupric sulfide
C0058460,inch,disilver oxide
C0059395,inch,Entonox
C0060205,inch,Fenton's reagent
C0060229,inch,ferric chloride
C0060231,inch,ferric citrate
C0060240,inch,ferric oxide
C0060259,inch,ferrite
C0060274,inch,ferumoxytol
C0060275,inch,ferrous chloride
C0060282,inch,ferrous sulfate
C0060631,inch,Fontana-Masson stain
C0061790,inch,gold chloride
C0061791,inch,"gold tetrachloride, acid"
C0061864,inch,granite
C0062185,inch,heliox
C0062612,inch,hexacyanoferrate II
C0063070,inch,hydrazoic acid
C0063088,inch,hydrogen sulfite
C0063105,inch,hydrotalcite
C0063146,inch,Hydroxyl Radical
C0063226,inch,hypobromous acid
C0063474,inch,indium trichloride
C0063855,inch,iridium oxide
C0064711,inch,lead acetate
C0064715,inch,lead azide
C0064720,inch,lead oxide
C0064724,inch,lead tetraacetate
C0064990,inch,calcium oxide
C0065084,inch,lithium aluminum hydride
C0065088,inch,lithium chloride
C0065092,inch,lithium perchlorate
C0065234,inch,Lugol's solution
C0065527,inch,magnesium phosphate
C0065642,inch,manganese chloride
C0065646,inch,manganese monoxide
C0066503,inch,mica
C0066708,inch,monazite
C0066797,inch,mordenite
C0068685,inch,nickel monoxide
C0068853,inch,nitrones
C0068882,inch,nitroxyl
C0069590,inch,ORALIT
C0070417,inch,perhydroxyl radical
C0070451,inch,perlite
C0070936,inch,phosphoryl chloride
C0071213,inch,Plasmalyte A
C0071687,inch,polysulfide
C0071754,inch,potassium bromide
C0071755,inch,potassium carbonate
C0071767,inch,potassium hydroxide
C0071772,inch,potassium nitrate
C0071775,inch,potassium periodate
C0071776,inch,potassium peroxymonosulfuric acid
C0071777,inch,potassium persulfate
C0071778,inch,potassium phosphate
C0072733,inch,ferrous disulfide
C0073386,inch,Ringer's Solution
C0074353,inch,sepiolite
C0074525,inch,silicon nitride
C0074536,inch,silver chloride
C0074719,inch,sodium arsenite
C0074725,inch,sodium bisulfide
C0074726,inch,sodium bisulfite
C0074727,inch,sodium borate
C0074728,inch,sodium borohydride
C0074737,inch,sodium cyanate
C0074738,inch,sodium cyanoborohydride
C0074741,inch,sodium hypophosphite
C0074744,inch,sodium metabisulfite
C0074745,inch,metaperiodate
C0074748,inch,sodium nitrate
C0074752,inch,sodium perchlorate
C0074754,inch,sodium peroxide
C0074757,inch,sodium phosphate
C0074758,inch,tribasic sodium phosphate
C0074759,inch,sodium polymetaphosphate
C0074764,inch,sodium pyrophosphate
C0074767,inch,sodium silicate
C0074769,inch,sodium sulfate
C0074770,inch,sodium sulfide
C0074773,inch,sodium thiocyanate
C0074774,inch,sodium thiosulfate
C0074776,inch,sodium tungstate(VI)
C0074805,inch,soldering flux
C0075159,inch,stannic oxide
C0075585,inch,sulfonyl chloride
C0075608,inch,sulfur trioxide
C0076239,inch,tetrachloroplatinate
C0076498,inch,thionyl chloride
C0076733,inch,titanium dioxide
C0076736,inch,titanium nickelide
C0076740,inch,titanium tetrachloride
C0076933,inch,transplatin
C0077513,inch,tungstate
C0078023,inch,vanadyl sulfate
C0078182,inch,vermiculite
C0078755,inch,Zeolites
C0078774,inch,zinc chloride
C0078784,inch,zinc iodide
C0078794,inch,zinc sulfate
C0078795,inch,zinc sulfide
C0081817,inch,bismuth nitrate
C0083236,inch,lithium hydroxide
C0085875,inch,Bauxite
C0086954,inch,Sapphire
C0086983,inch,Silicates
C0102840,inch,aluminum chloride
C0103081,inch,ammonium perchlorate
C0103202,inch,anatase
C0104238,inch,arsenate
C0104245,inch,arsonate
C0108136,inch,tricalcium phosphate
C0116466,inch,erionite
C0117541,inch,ferric pyrophosphate
C0118075,inch,Folin-Ciocalteau reagent
C0122297,inch,HPA 23
C0122723,inch,hydrazine hydrate
C0127575,inch,Sodium Borocaptate
C0136082,inch,perchlorate
C0137988,inch,aluminum potassium sulfate
C0138038,inch,monobasic potassium phosphate
C0138048,inch,potassium tetrachloroplatinate
C0141060,inch,rutile
C0141925,inch,Selenate
C0142305,inch,silicon tetrafluoride
C0142822,inch,sodium chlorite
C0142906,inch,sodium metaperiodate
C0142923,inch,sodium selenite
C0145055,inch,technetium Tc 99m exametazime
C0145675,inch,thiophosphate
C0145993,inch,Titania
C0146894,inch,triphosphate
C0163355,inch,aqua regia
C0163748,inch,Diosmectite
C0164523,inch,olympia
C0172341,inch,pervanadate
C0172539,inch,selenophosphate
C0175814,inch,Liquid ammonia
C0175960,inch,tetrachlorides
C0175962,inch,Liquid chlorine
C0178522,inch,boronic acid
C0178847,inch,silane
C0205679,inch,montmorrillonite
C0205686,inch,Calcite
C0205688,inch,Limestone
C0205689,inch,Marble
C0205813,inch,Kaolinite
C0205884,inch,Perchlorates
C0205962,inch,Pertechnetate
C0206103,inch,Aluminum Compounds
C0206108,inch,Gold Compounds
C0206443,inch,Vanadium Compounds
C0206446,inch,Tin Compounds
C0208094,inch,Phosphorous pentachloride
C0208291,inch,biotite
C0246249,inch,ferumoxides
C0282591,inch,Mineral Fibers
C0283807,inch,tellurite
C0284241,inch,bromamine
C0286152,inch,perovskite
C0286706,inch,Resovist
C0298030,inch,Martensite
C0298034,inch,Austenite
C0300269,inch,goethite
C0300989,inch,"Cupric salt, NOS"
C0301427,inch,sulphur drug
C0302201,inch,Barium salt
C0302202,inch,bismuth salt
C0302206,inch,Iron salt
C0302210,inch,Gold salt
C0302211,inch,Magnesium salt
C0302821,inch,Contour Alloy
C0302913,inch,Acid radical
C0302917,inch,Lewis Acids
C0302921,inch,Strong acid
C0302923,inch,phosphonic acid
C0302948,inch,phosphorus pentasulfide
C0302950,inch,phosphate salts
C0302951,inch,"Pyrophosphate salt, NOS"
C0302964,inch,Bisulfite salt
C0302965,inch,Sulfate salt
C0302975,inch,boron tribromide
C0303073,inch,Metal fumes
C0303099,inch,Antimony compound (substance)
C0303156,inch,Bismuth compound
C0303186,inch,Copper compound
C0303194,inch,Germanium compound
C0303214,inch,Iron ore
C0303508,inch,Lithium hydride
C0303746,inch,Inorganic dust
C0303749,inch,Bleach
C0303751,inch,Mineral dust
C0303752,inch,Slate
C0303840,inch,Hydroxylamine Hydrochloride
C0304475,inch,Potassium supplement
C0337023,inch,Hot water
C0337024,inch,Molten metal
C0337055,inch,Salt water
C0350411,inch,Oxygen gas
C0351297,inch,Potassium salt
C0351302,inch,sodium salts
C0351669,inch,Zinc salts
C0357197,inch,calcium salts
C0359299,inch,sterile water
C0368666,inch,Ammonia nitrogen
C0368817,inch,Calcium carbonate crystals
C0368819,inch,Calcium phosphate crystals
C0376520,inch,Dietary Iron
C0388852,inch,illite
C0389589,inch,saponite
C0439892,inch,Boiled water
C0445115,inch,Normal saline
C0457555,inch,halide
C0475871,inch,aluminum salts
C0520514,inch,Hematite
C0521939,inch,Selenium supplement
C0527701,inch,hypoiodite
C0537803,inch,selol
C0543134,inch,Balanced salt solution
C0544285,inch,Arsenic trivalent compound
C0544286,inch,Pentavalent arsenic compound
C0556246,inch,sodium hydrogen sulfite
C0581774,inch,Lead electrolyte
C0589328,inch,Copper salt
C0589329,inch,copper(II) nitrate
C0596072,inch,amino group
C0596079,inch,aminophosphonate
C0596259,inch,carbonyl group
C0596917,inch,metal oxide
C0597068,inch,nitrene
C0597565,inch,tertiary amine
C0599120,inch,phosphite ester
C0599533,inch,phosphorothioate
C0607428,inch,boron nitride
C0621573,inch,triethylammonium bicarbonate
C0625930,inch,polyphosphoric acid
C0632310,inch,strontium carbonate
C0638953,inch,phillipsite
C0641555,inch,arsenopyrite
C0645960,inch,sulfate radical
C0646029,inch,aluminum hydroxyphosphate
C0660191,inch,molybdenum trioxide
C0660914,inch,molybdenum disulfide
C0661172,inch,clinoptilolite
C0672472,inch,spinell
C0678717,inch,dioxide
C0682741,inch,mineral nutrients
C0700307,inch,hydroxyl group
C0700918,inch,Slow-K
C0721226,inch,Kato
C0721833,inch,Multi Trace Element
C0721973,inch,nasal saline
C0723196,inch,saline mist
C0723198,inch,Saline Spray
C0723457,inch,Stop brand of fluoride
C0724534,inch,Bacteriostat
C0725101,inch,"alum, potassium"
C0729394,inch,Silica dust
C0729631,inch,Carbon-13
C0733547,inch,Clorox
C0733770,inch,Alhydrogel
C0757156,inch,fortune
C0768119,inch,lanthanum carbonate
C0772024,inch,"sodium phosphate, dibasic"
C0772155,inch,thermal water
C0772313,inch,colloidal silver
C0790233,inch,Distilled water
C0807387,inch,Inorganic phosphorus
C0883264,inch,nitrate and nitrite
C0885614,inch,"Natrium nitrosum, nitrate of sodium, trituration, Homeopathic preparation"
C0885770,inch,beach sand
C0893383,inch,gallium 67 citrate
C0896246,inch,phosphoramidate
C0901364,inch,potassium peroxymonosulfate
C0919332,inch,Magnetite
C0936225,inch,Inorganic arsenic
C0964361,inch,SonoVue
C0969698,inch,Reactive Nitrogen Species
C0991883,inch,purified water
C1099584,inch,lithium tetrafluoroborate
C1170437,inch,normal saline flush
C1170604,inch,Sclerosol
C1177210,inch,cupric cation
C1268859,inch,zinc supplement
C1274086,inch,zinc sulfate monohydrate
C1288290,inch,Shale
C1289967,inch,Hydrochloric acid solution
C1442948,inch,"Plumbum metallicum, homeopathic preparation"
C1456473,inch,Bound copper
C1512523,inch,hydrochloride
C1550678,inch,Water Specimen
C1568662,inch,Pb(Zr(0.52)Ti(0.48))O(3)
C1609291,inch,forsterite
C1610447,inch,nitrosonium ion
C1657051,inch,"Potassium carbonate, anhydrous"
C1875156,inch,Flanders
C2000128,inch,sodium hydride
C2000594,inch,aluminum hydroxyphosphate sulfate
C2266951,inch,Pyrophosphate Analogs
C2350022,inch,Water Vapor
C2718747,inch,Feraheme
C2726663,inch,PERSULFATE
C2742118,inch,cesium carbonate
C2742538,inch,polyoxometalate
C2919405,inch,Tap water
C2959956,inch,Swimming pool water
C3178751,inch,nanoceria
C3179004,inch,Potable Water
C3186047,inch,Iron powder
C3190964,inch,Ammonium Hydroxide Solution
C3254479,inch,brookite
C3256111,inch,ferrosoferric oxide
C3486826,inch,silver cation
C3488333,inch,radium bromide
C3535834,inch,tetrachloroaurate
C3536832,inch,air
C3536923,inch,Silver Compounds
C3536924,inch,selenium compounds
C3813201,inch,Oral Rehydration Solution OS-1
C3825972,inch,Metal fibers
C3833114,inch,aluminum hydride
C3887607,inch,aluminum chloride anhydrous
C4079553,inch,vanadinite
C4282379,inch,ferrihydrite
C4505224,inch,Greenhouse Gases
C4708833,inch,Cold water
C4727246,inch,Platinum Acetylacetonate-Titanium Dioxide Nanoparticles
C4759711,inch,Sand
C5198802,inch,iron sulfide
