cui,type,name
C0001829,ocdi,Agriculture
C0003052,ocdi,Animal Husbandry
C0003184,ocdi,Anthropology
C0003187,ocdi,"Anthropology, Physical"
C0003737,ocdi,Architecture
C0003826,ocdi,Arts
C0003916,ocdi,Artificial Intelligence
C0004117,ocdi,Astronomy
C0004430,ocdi,Aviation
C0004940,ocdi,Behavioral Sciences
C0005477,ocdi,Biochemistry
C0005526,ocdi,Biological Science Disciplines
C0007998,ocdi,"Chemistry, Analytic"
C0009133,ocdi,Coal Mining
C0011298,ocdi,Demography
C0013171,ocdi,Drug Design
C0013546,ocdi,Ecology
C0013556,ocdi,Economics
C0013560,ocdi,Medical Economics
C0014279,ocdi,Engineering
C0015040,ocdi,Ethology
C0017404,ocdi,"Genetics, Population"
C0017447,ocdi,Geography
C0018014,ocdi,Gnotobiotics
C0019664,ocdi,History
C0020157,ocdi,Humanities
C0021423,ocdi,Information Sciences
C0021429,ocdi,Information Theory
C0024488,ocdi,Study of magnetics
C0024934,ocdi,Mathematics
C0025959,ocdi,Microchemistry
C0031534,ocdi,Philosophy
C0031816,ocdi,Physical Sciences
C0031837,ocdi,Physics
C0032382,ocdi,Politics
C0032662,ocdi,Population Control
C0033349,ocdi,"Programming, Linear"
C0035785,ocdi,Robotics
C0036172,ocdi,Sanitation
C0037434,ocdi,Social Sciences
C0037468,ocdi,Sociology
C0037776,ocdi,Specialization
C0038215,ocdi,Science of Statistics
C0039421,ocdi,Technology
C0039808,ocdi,Thermodynamics
C0085081,ocdi,Forestry
C0087066,ocdi,Taxonomy
C0162319,ocdi,Ethnography
C0175860,ocdi,Natural History
C0178478,ocdi,animal care
C0243139,ocdi,science of Cytology and Pathology
C0449829,ocdi,Geometry
C0596422,ocdi,Developmental immunology
C0596532,ocdi,epizootiology
C0597531,ocdi,Structural Biology
C0598465,ocdi,yeast genetics
C0678657,ocdi,Human Biology
C0681977,ocdi,Political science
C0682029,ocdi,Manufacturing Industry
C0868926,ocdi,business management
C0872323,ocdi,Nanotechnology
C1257867,ocdi,Microfluidics
C1257940,ocdi,Forensic Sciences
C1306056,ocdi,Worker
C1328814,ocdi,Nanomedicine
C1328885,ocdi,genetic association
C1510624,ocdi,Pedagogy
C1510823,ocdi,Advocate (person)
C1511535,ocdi,Cost Effective Management
C1513271,ocdi,Microtechnology
C1516731,ocdi,Communication Tools
C1518584,ocdi,Ontology
C1707883,ocdi,Editor
C1709767,ocdi,Publisher
C1883249,ocdi,Surface Chemistry
C2347929,ocdi,Registered Medical Assistant (occupation)
C2348017,ocdi,Curator
C2699264,ocdi,Salesperson
C2717958,ocdi,Bioengineering
C2936469,ocdi,Synthetic Biology
C2936481,ocdi,Molecular Farming
C2936603,ocdi,Phylogeography
C3274765,ocdi,Next-Generation Technology
C3658324,ocdi,Polypharmacology
C3825532,ocdi,Veterinary immunology
C4042899,ocdi,Crop Production
C4046010,ocdi,Soft Robotics
C4277687,ocdi,Biofortification
C4316843,ocdi,Interdisciplinary Research
C4331247,ocdi,Retailer
C4684695,ocdi,Internet Service Provider
C4704771,ocdi,Data Science
C4704772,ocdi,Data Analytics
C4704817,ocdi,Data Visualization
C5197847,ocdi,Computer-Aided Drug Design
