cui,type,name
C0000934,orgf,Acclimatization
C0001400,orgf,"Adaptation, Physiological"
C0001702,orgf,Aerobiosis
C0001811,orgf,Aging
C0002750,orgf,Anaerobiosis
C0003618,orgf,Desire for food
C0003622,orgf,Appetite Regulation
C0004048,orgf,Inspiration function
C0004614,orgf,Bacterial Adhesion
C0005486,orgf,Bioenergetics
C0005511,orgf,Biological Clocks
C0005615,orgf,Birth
C0005823,orgf,Blood Pressure
C0005905,orgf,Physiologic Thermoregulation
C0006106,orgf,Brain Chemistry
C0006147,orgf,Breast Feeding
C0006159,orgf,Breeding
C0007179,orgf,Cardiac Volume
C0008071,orgf,Child Development
C0008810,orgf,Circadian Rhythms
C0008943,orgf,Climacteric
C0009253,orgf,Coitus
C0009637,orgf,Conception
C0011065,orgf,Cessation of life
C0011107,orgf,Decidual Cell Reaction
C0011135,orgf,Defecation
C0011167,orgf,Deglutition
C0012238,orgf,Digestion
C0013123,orgf,Water consumption
C0013470,orgf,Eating
C0013529,orgf,Echolocation
C0013746,orgf,Ejaculation
C0013831,orgf,Electrolyte Balance
C0013937,orgf,Embryo Resorption
C0014653,orgf,Equilibrium
C0014948,orgf,Estrus
C0015264,orgf,Exertion
C0015745,orgf,Feeding behaviors
C0015895,orgf,Fertility
C0015914,orgf,Fertilization
C0015946,orgf,Fetal Movement
C0016284,orgf,Fluid Balance
C0018270,orgf,Growth
C0018271,orgf,Growth and Development function
C0018840,orgf,Heat Loss
C0018841,orgf,Thermogenesis
C0019516,orgf,Hibernation
C0020966,orgf,Cellular Immunity
C0020967,orgf,Humoral Immunity
C0021059,orgf,Immunologic Surveillance
C0021080,orgf,Natural immunosuppression
C0021144,orgf,Inbreeding
C0022701,orgf,Kinesthesis
C0022864,orgf,Labor (Childbirth)
C0023796,orgf,Lipolysis
C0023946,orgf,Locomotion
C0024888,orgf,Chewing
C0025274,orgf,Menarche
C0025329,orgf,Menstrual cycle
C0025344,orgf,Menstruation
C0025516,orgf,"Metabolic Detoxication, Drug"
C0025519,orgf,Metabolism
C0026559,orgf,Morphogenesis
C0026612,orgf,Motor Skills
C0026649,orgf,Movement
C0027842,orgf,Neuroimmunomodulation
C0028161,orgf,Nitrogen Fixation
C0028641,orgf,Nulliparity
C0029260,orgf,Orgasm
C0029957,orgf,Oviposition
C0029976,orgf,"Blastocyst Implantation, natural"
C0030596,orgf,Parthenogenesis
C0031807,orgf,Physical Exertion
C0032961,orgf,Pregnancy
C0032971,orgf,Pregnancy Maintenance
C0033274,orgf,Proestrus
C0033421,orgf,Pronation
C0035150,orgf,Reproduction
C0035152,orgf,"Reproduction, Asexual"
C0035154,orgf,Reproductive Behavior
C0036887,orgf,Sexual Maturation
C0037313,orgf,Sleep
C0037319,orgf,Sleep Stages
C0037361,orgf,Smell Perception
C0037817,orgf,Speech
C0038186,orgf,"Reflex, Startle"
C0038822,orgf,Superfetation
C0038845,orgf,Supination
C0039242,orgf,Tachyphylaxis
C0039478,orgf,Thermosensing
C0042034,orgf,Urination
C0042486,orgf,Venous Blood Pressure
C0042789,orgf,Vision
C0042939,orgf,Voice
C0043050,orgf,"Water Loss, Insensible"
C0043064,orgf,Water-Electrolyte Balance
C0043240,orgf,Wound Healing
C0085759,orgf,Biological Aging
C0086032,orgf,Color Vision
C0149973,orgf,Intrauterine pregnancy
C0162523,orgf,Portal Pressure
C0178477,orgf,Animal Breeding
C0178747,orgf,microorganism growth
C0184532,orgf,Dying Process
C0206159,orgf,Postmenopause
C0220843,orgf,grasp
C0231199,orgf,intolerance function
C0231256,orgf,Body growth
C0231481,orgf,Active movement
C0231795,orgf,Normal respiratory function
C0231800,orgf,"Expiration, function"
C0231896,orgf,Chest movement
