cui,type,name
C0018748,qlco,Health Services Accessibility
C0025115,qlco,Medication Error
C0042295,qlco,Values
C0085801,qlco,"Analysis, Factor"
C0086589,qlco,Surrogate Markers
C0205251,qlco,low
C0332218,qlco,Difficult (qualifier value)
C0392756,qlco,Reduced
C0439849,qlco,Relationships
C0439855,qlco,Complex
C0449910,qlco,Test conditions
C0522476,qlco,Patient affected
C0681374,qlco,Academic Failure
C0870689,qlco,Income Level
C0871181,qlco,psychological needs
C1883725,qlco,Replicate
C3245505,qlco,Potential
